time, signal
0.000000,0.000000
0.000500,0.000193
0.001000,0.000744
0.001500,0.001578
0.002000,0.002580
0.002500,0.003613
0.003000,0.004539
0.003500,0.005241
0.004000,0.005633
0.004500,0.005679
0.005000,0.005390
0.005500,0.004826
0.006000,0.004081
0.006500,0.003270
0.007000,0.002510
0.007500,0.001902
0.008000,0.001520
0.008500,0.001397
0.009000,0.001526
0.009500,0.001863
0.010000,0.002337
0.010500,0.002862
0.011000,0.003357
0.011500,0.003750
0.012000,0.003998
0.012500,0.004086
0.013000,0.004029
0.013500,0.003864
0.014000,0.003643
0.014500,0.003420
0.015000,0.003240
0.015500,0.003131
0.016000,0.003098
0.016500,0.003123
0.017000,0.003173
0.017500,0.003204
0.018000,0.003175
0.018500,0.003056
0.019000,0.002839
0.019500,0.002541
0.020000,0.002201
0.020500,0.001880
0.021000,0.001645
0.021500,0.001559
0.022000,0.001668
0.022500,0.001992
0.023000,0.002516
0.023500,0.003188
0.024000,0.003928
0.024500,0.004636
0.025000,0.005207
0.025500,0.005549
0.026000,0.005597
0.026500,0.005326
0.027000,0.004756
0.027500,0.003952
0.028000,0.003016
0.028500,0.002076
0.029000,0.001260
0.029500,0.000687
0.030000,0.000441
0.030500,0.000559
0.031000,0.001031
0.031500,0.001791
0.032000,0.002734
0.032500,0.003728
0.033000,0.004632
0.033500,0.005320
0.034000,0.005697
0.034500,0.005712
0.035000,0.005369
0.035500,0.004719
0.036000,0.003857
0.036500,0.002907
0.037000,0.002000
0.037500,0.001256
0.038000,0.000770
0.038500,0.000593
0.039000,0.000733
0.039500,0.001152
0.040000,0.001776
0.040500,0.002508
0.041000,0.003241
0.041500,0.003879
0.042000,0.004350
0.042500,0.004613
0.043000,0.004661
0.043500,0.004524
0.044000,0.004253
0.044500,0.003914
0.045000,0.003575
0.045500,0.003290
0.046000,0.003095
0.046500,0.002998
0.047000,0.002985
0.047500,0.003023
0.048000,0.003068
0.048500,0.003079
0.049000,0.003026
0.049500,0.002896
0.050000,0.002702
0.050500,0.002476
0.051000,0.002267
0.051500,0.002129
0.052000,0.002112
0.052500,0.002246
0.053000,0.002540
0.053500,0.002968
0.054000,0.003480
0.054500,0.004002
0.055000,0.004447
0.055500,0.004733
0.056000,0.004796
0.056500,0.004602
0.057000,0.004155
0.057500,0.003499
0.058000,0.002717
0.058500,0.001916
0.059000,0.001214
0.059500,0.000722
0.060000,0.000525
0.060500,0.000670
0.061000,0.001155
0.061500,0.001929
0.062000,0.002896
0.062500,0.003931
0.063000,0.004894
0.063500,0.005653
0.064000,0.006104
0.064500,0.006183
0.065000,0.005878
0.065500,0.005232
0.066000,0.004334
0.066500,0.003305
0.067000,0.002286
0.067500,0.001411
0.068000,0.000789
0.068500,0.000494
0.069000,0.000548
0.069500,0.000924
0.070000,0.001553
0.070500,0.002333
0.071000,0.003145
0.071500,0.003875
0.072000,0.004428
0.072500,0.004742
0.073000,0.004794
0.073500,0.004603
0.074000,0.004221
0.074500,0.003726
0.075000,0.003202
0.075500,0.002731
0.076000,0.002376
0.076500,0.002174
0.077000,0.002131
0.077500,0.002225
0.078000,0.002413
0.078500,0.002642
0.079000,0.002858
0.079500,0.003020
0.080000,0.003108
0.080500,0.003121
0.081000,0.003082
0.081500,0.003030
0.082000,0.003009
0.082500,0.003056
0.083000,0.003198
0.083500,0.003434
0.084000,0.003744
0.084500,0.004079
0.085000,0.004378
0.085500,0.004573
0.086000,0.004605
0.086500,0.004434
0.087000,0.004051
0.087500,0.003480
0.088000,0.002782
0.088500,0.002044
0.089000,0.001369
0.089500,0.000858
0.090000,0.000598
0.090500,0.000644
0.091000,0.001008
0.091500,0.001657
0.092000,0.002513
0.092500,0.003466
0.093000,0.004387
0.093500,0.005146
0.094000,0.005635
0.094500,0.005781
0.095000,0.005559
0.095500,0.004998
0.096000,0.004174
0.096500,0.003202
0.097000,0.002219
0.097500,0.001364
0.098000,0.000755
0.098500,0.000476
0.099000,0.000563
0.099500,0.000999
0.100000,0.001718
0.100500,0.002615
0.101000,0.003564
0.101500,0.004433
0.102000,0.005109
0.102500,0.005507
0.103000,0.005589
0.103500,0.005360
0.104000,0.004870
0.104500,0.004202
0.105000,0.003457
0.105500,0.002739
0.106000,0.002141
0.106500,0.001727
0.107000,0.001527
0.107500,0.001538
0.108000,0.001724
0.108500,0.002027
0.109000,0.002377
0.109500,0.002712
0.110000,0.002980
0.110500,0.003153
0.111000,0.003229
0.111500,0.003227
0.112000,0.003186
0.112500,0.003147
0.113000,0.003152
0.113500,0.003227
0.114000,0.003375
0.114500,0.003581
0.115000,0.003805
0.115500,0.003997
0.116000,0.004103
0.116500,0.004078
0.117000,0.003896
0.117500,0.003559
0.118000,0.003099
0.118500,0.002575
0.119000,0.002065
0.119500,0.001655
0.120000,0.001424
0.120500,0.001429
0.121000,0.001694
0.121500,0.002203
0.122000,0.002901
0.122500,0.003697
0.123000,0.004479
0.123500,0.005129
0.124000,0.005544
0.124500,0.005646
0.125000,0.005402
0.125500,0.004830
0.126000,0.003992
0.126500,0.002995
0.127000,0.001971
0.127500,0.001057
0.128000,0.000381
0.128500,0.000037
0.129000,0.000073
0.129500,0.000485
0.130000,0.001218
0.130500,0.002171
0.131000,0.003214
0.131500,0.004207
0.132000,0.005022
0.132500,0.005556
0.133000,0.005752
0.133500,0.005601
0.134000,0.005141
0.134500,0.004454
0.135000,0.003650
0.135500,0.002845
0.136000,0.002153
0.136500,0.001659
0.137000,0.001415
0.137500,0.001432
0.138000,0.001682
0.138500,0.002102
0.139000,0.002614
0.139500,0.003129
0.140000,0.003572
0.140500,0.003885
0.141000,0.004041
0.141500,0.004041
0.142000,0.003915
0.142500,0.003708
0.143000,0.003477
0.143500,0.003272
0.144000,0.003129
0.144500,0.003064
0.145000,0.003070
0.145500,0.003118
0.146000,0.003170
0.146500,0.003179
0.147000,0.003112
0.147500,0.002948
0.148000,0.002694
0.148500,0.002377
0.149000,0.002051
0.149500,0.001778
0.150000,0.001627
0.150500,0.001651
0.151000,0.001883
0.151500,0.002323
0.152000,0.002934
0.152500,0.003650
0.153000,0.004377
0.153500,0.005012
0.154000,0.005454
0.154500,0.005626
0.155000,0.005485
0.155500,0.005031
0.156000,0.004311
0.156500,0.003412
0.157000,0.002452
0.157500,0.001563
0.158000,0.000869
0.158500,0.000471
0.159000,0.000428
0.159500,0.000751
0.160000,0.001396
0.160500,0.002275
0.161000,0.003265
0.161500,0.004227
0.162000,0.005024
0.162500,0.005548
0.163000,0.005726
0.163500,0.005538
0.164000,0.005015
0.164500,0.004236
0.165000,0.003313
0.165500,0.002377
