time, q_1, q_2, q_3
0.000000,0.010000,0.000000,0.000000
0.000050,0.009999,0.000001,0.000000
0.000100,0.009995,0.000003,0.000000
0.000150,0.009989,0.000006,0.000000
0.000200,0.009980,0.000010,0.000000
0.000250,0.009969,0.000016,0.000000
0.000300,0.009955,0.000023,0.000000
0.000350,0.009939,0.000031,0.000000
0.000400,0.009920,0.000040,0.000000
0.000450,0.009898,0.000051,0.000000
0.000500,0.009875,0.000063,0.000000
0.000550,0.009848,0.000076,0.000000
0.000600,0.009820,0.000090,0.000000
0.000650,0.009789,0.000105,0.000000
0.000700,0.009755,0.000122,0.000000
0.000750,0.009719,0.000140,0.000000
0.000800,0.009681,0.000159,0.000000
0.000850,0.009640,0.000179,0.000001
0.000900,0.009596,0.000201,0.000001
0.000950,0.009551,0.000223,0.000001
0.001000,0.009503,0.000247,0.000001
0.001050,0.009452,0.000272,0.000001
0.001100,0.009400,0.000298,0.000002
0.001150,0.009345,0.000325,0.000002
0.001200,0.009287,0.000353,0.000002
0.001250,0.009228,0.000382,0.000003
0.001300,0.009166,0.000413,0.000003
0.001350,0.009102,0.000444,0.000003
0.001400,0.009035,0.000476,0.000004
0.001450,0.008967,0.000510,0.000005
0.001500,0.008896,0.000544,0.000005
0.001550,0.008823,0.000580,0.000006
0.001600,0.008748,0.000616,0.000007
0.001650,0.008671,0.000653,0.000008
0.001700,0.008591,0.000691,0.000009
0.001750,0.008510,0.000731,0.000010
0.001800,0.008427,0.000771,0.000011
0.001850,0.008341,0.000811,0.000012
0.001900,0.008254,0.000853,0.000013
0.001950,0.008164,0.000896,0.000015
0.002000,0.008073,0.000939,0.000016
0.002050,0.007980,0.000983,0.000018
0.002100,0.007884,0.001028,0.000020
0.002150,0.007788,0.001074,0.000021
0.002200,0.007689,0.001120,0.000023
0.002250,0.007588,0.001167,0.000026
0.002300,0.007486,0.001215,0.000028
0.002350,0.007382,0.001263,0.000030
0.002400,0.007276,0.001312,0.000033
0.002450,0.007168,0.001362,0.000036
0.002500,0.007059,0.001412,0.000039
0.002550,0.006949,0.001462,0.000042
0.002600,0.006836,0.001513,0.000045
0.002650,0.006723,0.001565,0.000048
0.002700,0.006607,0.001617,0.000052
0.002750,0.006491,0.001670,0.000056
0.002800,0.006373,0.001723,0.000060
0.002850,0.006253,0.001776,0.000064
0.002900,0.006132,0.001829,0.000068
0.002950,0.006010,0.001883,0.000073
0.003000,0.005887,0.001938,0.000078
0.003050,0.005762,0.001992,0.000083
0.003100,0.005636,0.002047,0.000088
0.003150,0.005509,0.002102,0.000094
0.003200,0.005381,0.002157,0.000099
0.003250,0.005252,0.002212,0.000105
0.003300,0.005121,0.002268,0.000112
0.003350,0.004990,0.002323,0.000118
0.003400,0.004858,0.002379,0.000125
0.003450,0.004725,0.002434,0.000132
0.003500,0.004591,0.002490,0.000139
0.003550,0.004456,0.002545,0.000147
0.003600,0.004320,0.002601,0.000155
0.003650,0.004184,0.002656,0.000163
0.003700,0.004046,0.002711,0.000171
0.003750,0.003909,0.002766,0.000180
0.003800,0.003770,0.002821,0.000189
0.003850,0.003631,0.002876,0.000199
0.003900,0.003491,0.002931,0.000208
0.003950,0.003351,0.002985,0.000218
0.004000,0.003211,0.003039,0.000229
0.004050,0.003070,0.003092,0.000239
0.004100,0.002928,0.003145,0.000250
0.004150,0.002787,0.003198,0.000261
0.004200,0.002645,0.003251,0.000273
0.004250,0.002502,0.003302,0.000285
0.004300,0.002360,0.003354,0.000297
0.004350,0.002217,0.003405,0.000310
0.004400,0.002074,0.003455,0.000323
0.004450,0.001931,0.003505,0.000336
0.004500,0.001788,0.003554,0.000350
0.004550,0.001645,0.003603,0.000364
0.004600,0.001503,0.003651,0.000379
0.004650,0.001360,0.003698,0.000393
0.004700,0.001217,0.003745,0.000409
0.004750,0.001075,0.003791,0.000424
0.004800,0.000932,0.003836,0.000440
0.004850,0.000790,0.003880,0.000456
0.004900,0.000648,0.003924,0.000473
0.004950,0.000507,0.003966,0.000490
0.005000,0.000366,0.004008,0.000507
0.005050,0.000225,0.004049,0.000525
0.005100,0.000085,0.004089,0.000543
0.005150,-0.000055,0.004128,0.000562
0.005200,-0.000194,0.004166,0.000581
0.005250,-0.000333,0.004203,0.000600
0.005300,-0.000471,0.004239,0.000620
0.005350,-0.000608,0.004274,0.000640
0.005400,-0.000745,0.004308,0.000660
0.005450,-0.000881,0.004340,0.000681
0.005500,-0.001016,0.004372,0.000702
0.005550,-0.001150,0.004403,0.000724
0.005600,-0.001284,0.004432,0.000746
0.005650,-0.001417,0.004460,0.000768
0.005700,-0.001548,0.004487,0.000791
0.005750,-0.001679,0.004513,0.000814
0.005800,-0.001809,0.004537,0.000837
0.005850,-0.001938,0.004561,0.000861
0.005900,-0.002065,0.004583,0.000885
0.005950,-0.002192,0.004603,0.000909
0.006000,-0.002317,0.004623,0.000934
0.006050,-0.002442,0.004641,0.000959
0.006100,-0.002565,0.004657,0.000985
0.006150,-0.002687,0.004673,0.001010
0.006200,-0.002807,0.004687,0.001037
0.006250,-0.002927,0.004699,0.001063
0.006300,-0.003045,0.004710,0.001090
0.006350,-0.003162,0.004720,0.001117
0.006400,-0.003277,0.004728,0.001144
0.006450,-0.003391,0.004735,0.001172
0.006500,-0.003503,0.004740,0.001200
0.006550,-0.003614,0.004744,0.001228
0.006600,-0.003723,0.004747,0.001257
0.006650,-0.003831,0.004747,0.001286
0.006700,-0.003938,0.004747,0.001315
0.006750,-0.004043,0.004744,0.001345
0.006800,-0.004146,0.004741,0.001374
0.006850,-0.004247,0.004736,0.001404
0.006900,-0.004347,0.004729,0.001434
0.006950,-0.004445,0.004720,0.001465
0.007000,-0.004542,0.004710,0.001495
0.007050,-0.004636,0.004699,0.001526
0.007100,-0.004729,0.004686,0.001557
0.007150,-0.004821,0.004671,0.001589
0.007200,-0.004910,0.004655,0.001620
0.007250,-0.004998,0.004637,0.001652
0.007300,-0.005083,0.004618,0.001684
0.007350,-0.005167,0.004597,0.001716
0.007400,-0.005249,0.004574,0.001748
0.007450,-0.005329,0.004550,0.001780
0.007500,-0.005407,0.004524,0.001812
0.007550,-0.005484,0.004497,0.001845
0.007600,-0.005558,0.004468,0.001877
0.007650,-0.005630,0.004438,0.001910
0.007700,-0.005701,0.004406,0.001943
0.007750,-0.005769,0.004372,0.001976
0.007800,-0.005836,0.004337,0.002008
0.007850,-0.005900,0.004300,0.002041
0.007900,-0.005963,0.004262,0.002074
0.007950,-0.006023,0.004222,0.002107
0.008000,-0.006081,0.004180,0.002140
0.008050,-0.006137,0.004137,0.002173
0.008100,-0.006192,0.004093,0.002206
0.008150,-0.006244,0.004047,0.002239
0.008200,-0.006294,0.003999,0.002272
0.008250,-0.006342,0.003950,0.002304
0.008300,-0.006388,0.003899,0.002337
0.008350,-0.006431,0.003847,0.002370
0.008400,-0.006473,0.003794,0.002402
0.008450,-0.006513,0.003738,0.002434
0.008500,-0.006550,0.003682,0.002467
0.008550,-0.006586,0.003624,0.002499
0.008600,-0.006619,0.003565,0.002530
0.008650,-0.006650,0.003504,0.002562
0.008700,-0.006679,0.003442,0.002594
0.008750,-0.006706,0.003378,0.002625
0.008800,-0.006731,0.003313,0.002656
0.008850,-0.006754,0.003247,0.002687
0.008900,-0.006774,0.003180,0.002717
0.008950,-0.006793,0.003111,0.002747
0.009000,-0.006809,0.003040,0.002777
0.009050,-0.006823,0.002969,0.002807
0.009100,-0.006836,0.002896,0.002836
0.009150,-0.006846,0.002822,0.002865
0.009200,-0.006854,0.002747,0.002894
0.009250,-0.006860,0.002671,0.002922
0.009300,-0.006864,0.002594,0.002949
0.009350,-0.006866,0.002515,0.002977
0.009400,-0.006866,0.002435,0.003004
0.009450,-0.006863,0.002354,0.003030
0.009500,-0.006859,0.002272,0.003056
0.009550,-0.006853,0.002189,0.003082
0.009600,-0.006845,0.002105,0.003107
0.009650,-0.006835,0.002020,0.003131
0.009700,-0.006822,0.001935,0.003155
0.009750,-0.006808,0.001848,0.003179
0.009800,-0.006792,0.001760,0.003202
0.009850,-0.006774,0.001671,0.003224
0.009900,-0.006754,0.001582,0.003245
0.009950,-0.006733,0.001491,0.003267
0.010000,-0.006709,0.001400,0.003287
0.010050,-0.006684,0.001308,0.003307
0.010100,-0.006656,0.001215,0.003326
0.010150,-0.006627,0.001122,0.003344
0.010200,-0.006596,0.001027,0.003362
0.010250,-0.006563,0.000933,0.003379
0.010300,-0.006529,0.000837,0.003395
0.010350,-0.006492,0.000741,0.003411
0.010400,-0.006454,0.000644,0.003426
0.010450,-0.006415,0.000547,0.003440
0.010500,-0.006373,0.000449,0.003453
0.010550,-0.006330,0.000351,0.003465
0.010600,-0.006285,0.000253,0.003477
0.010650,-0.006239,0.000154,0.003487
0.010700,-0.006191,0.000054,0.003497
0.010750,-0.006142,-0.000046,0.003506
0.010800,-0.006091,-0.000146,0.003514
0.010850,-0.006038,-0.000246,0.003522
0.010900,-0.005984,-0.000347,0.003528
0.010950,-0.005929,-0.000448,0.003533
0.011000,-0.005872,-0.000549,0.003538
0.011050,-0.005814,-0.000650,0.003541
0.011100,-0.005754,-0.000751,0.003544
0.011150,-0.005693,-0.000853,0.003545
0.011200,-0.005631,-0.000954,0.003546
0.011250,-0.005567,-0.001056,0.003545
0.011300,-0.005502,-0.001157,0.003543
0.011350,-0.005436,-0.001259,0.003541
0.011400,-0.005369,-0.001360,0.003537
