time, signal
0.000000,0.000000
0.000050,0.009999
0.000100,0.009997
0.000150,0.009994
0.000200,0.009990
0.000250,0.009984
0.000300,0.009977
0.000350,0.009969
0.000400,0.009960
0.000450,0.009949
0.000500,0.009937
0.000550,0.009924
0.000600,0.009910
0.000650,0.009894
0.000700,0.009877
0.000750,0.009859
0.000800,0.009840
0.000850,0.009820
0.000900,0.009798
0.000950,0.009775
0.001000,0.009751
0.001050,0.009726
0.001100,0.009699
0.001150,0.009671
0.001200,0.009643
0.001250,0.009613
0.001300,0.009581
0.001350,0.009549
0.001400,0.009516
0.001450,0.009481
0.001500,0.009445
0.001550,0.009408
0.001600,0.009371
0.001650,0.009331
0.001700,0.009291
0.001750,0.009250
0.001800,0.009208
0.001850,0.009164
0.001900,0.009120
0.001950,0.009075
0.002000,0.009028
0.002050,0.008981
0.002100,0.008932
0.002150,0.008883
0.002200,0.008832
0.002250,0.008781
0.002300,0.008728
0.002350,0.008675
0.002400,0.008621
0.002450,0.008566
0.002500,0.008510
0.002550,0.008453
0.002600,0.008395
0.002650,0.008336
0.002700,0.008276
0.002750,0.008216
0.002800,0.008155
0.002850,0.008093
0.002900,0.008030
0.002950,0.007966
0.003000,0.007902
0.003050,0.007837
0.003100,0.007771
0.003150,0.007704
0.003200,0.007637
0.003250,0.007569
0.003300,0.007501
0.003350,0.007431
0.003400,0.007361
0.003450,0.007291
0.003500,0.007220
0.003550,0.007148
0.003600,0.007075
0.003650,0.007003
0.003700,0.006929
0.003750,0.006855
0.003800,0.006781
0.003850,0.006706
0.003900,0.006630
0.003950,0.006554
0.004000,0.006478
0.004050,0.006401
0.004100,0.006324
0.004150,0.006246
0.004200,0.006168
0.004250,0.006090
0.004300,0.006011
0.004350,0.005932
0.004400,0.005853
0.004450,0.005773
0.004500,0.005693
0.004550,0.005613
0.004600,0.005532
0.004650,0.005451
0.004700,0.005371
0.004750,0.005289
0.004800,0.005208
0.004850,0.005127
0.004900,0.005045
0.004950,0.004963
0.005000,0.004881
0.005050,0.004799
0.005100,0.004717
0.005150,0.004744
0.005200,0.004941
0.005250,0.005136
0.005300,0.005329
0.005350,0.005522
0.005400,0.005713
0.005450,0.005902
0.005500,0.006090
0.005550,0.006277
0.005600,0.006461
0.005650,0.006645
0.005700,0.006826
0.005750,0.007005
0.005800,0.007183
0.005850,0.007359
0.005900,0.007533
0.005950,0.007704
0.006000,0.007874
0.006050,0.008042
0.006100,0.008207
0.006150,0.008370
0.006200,0.008531
0.006250,0.008689
0.006300,0.008845
0.006350,0.008998
0.006400,0.009149
0.006450,0.009298
0.006500,0.009444
0.006550,0.009587
0.006600,0.009727
0.006650,0.009865
0.006700,0.010000
0.006750,0.010132
0.006800,0.010261
0.006850,0.010387
0.006900,0.010510
0.006950,0.010630
0.007000,0.010748
0.007050,0.010862
0.007100,0.010973
0.007150,0.011080
0.007200,0.011185
0.007250,0.011287
0.007300,0.011385
0.007350,0.011480
0.007400,0.011571
0.007450,0.011659
0.007500,0.011744
0.007550,0.011826
0.007600,0.011904
0.007650,0.011978
0.007700,0.012049
0.007750,0.012117
0.007800,0.012181
0.007850,0.012241
0.007900,0.012298
0.007950,0.012352
0.008000,0.012402
0.008050,0.012448
0.008100,0.012490
0.008150,0.012529
0.008200,0.012564
0.008250,0.012596
0.008300,0.012624
0.008350,0.012648
0.008400,0.012669
0.008450,0.012686
0.008500,0.012699
0.008550,0.012708
0.008600,0.012714
0.008650,0.012716
0.008700,0.012714
0.008750,0.012709
0.008800,0.012700
0.008850,0.012687
0.008900,0.012671
0.008950,0.012651
0.009000,0.012627
0.009050,0.012599
0.009100,0.012568
0.009150,0.012533
0.009200,0.012495
0.009250,0.012453
0.009300,0.012407
0.009350,0.012357
0.009400,0.012304
0.009450,0.012248
0.009500,0.012188
0.009550,0.012124
0.009600,0.012057
0.009650,0.011986
0.009700,0.011912
0.009750,0.011835
0.009800,0.011754
0.009850,0.011669
0.009900,0.011581
0.009950,0.011490
0.010000,0.011396
0.010050,0.011298
0.010100,0.011197
0.010150,0.011093
0.010200,0.010985
0.010250,0.010875
0.010300,0.010761
0.010350,0.010644
0.010400,0.010524
0.010450,0.010401
0.010500,0.010275
0.010550,0.010147
0.010600,0.010015
0.010650,0.009880
0.010700,0.009743
0.010750,0.009694
0.010800,0.009751
0.010850,0.009806
0.010900,0.009859
0.010950,0.009910
0.011000,0.009958
0.011050,0.010005
0.011100,0.010049
0.011150,0.010091
0.011200,0.010131
0.011250,0.010168
0.011300,0.010203
0.011350,0.010236
0.011400,0.010266
0.011450,0.010294
0.011500,0.010320
0.011550,0.010343
0.011600,0.010364
0.011650,0.010383
0.011700,0.010399
0.011750,0.010412
0.011800,0.010424
0.011850,0.010432
0.011900,0.010439
0.011950,0.010443
0.012000,0.010444
0.012050,0.010443
0.012100,0.010439
0.012150,0.010433
0.012200,0.010424
0.012250,0.010413
0.012300,0.010400
0.012350,0.010383
0.012400,0.010365
0.012450,0.010343
0.012500,0.010320
0.012550,0.010293
0.012600,0.010264
0.012650,0.010233
0.012700,0.010199
0.012750,0.010163
0.012800,0.010124
0.012850,0.010082
0.012900,0.010038
0.012950,0.009992
0.013000,0.009943
0.013050,0.009891
0.013100,0.009837
0.013150,0.009781
0.013200,0.009722
0.013250,0.009660
0.013300,0.009596
0.013350,0.009530
0.013400,0.009461
0.013450,0.009390
0.013500,0.009316
0.013550,0.009240
0.013600,0.009161
0.013650,0.009081
0.013700,0.008997
0.013750,0.008912
0.013800,0.008824
0.013850,0.008734
0.013900,0.008642
0.013950,0.008547
0.014000,0.008450
0.014050,0.008351
0.014100,0.008250
0.014150,0.008146
0.014200,0.008041
0.014250,0.007933
0.014300,0.007823
0.014350,0.007711
0.014400,0.007597
0.014450,0.007481
0.014500,0.007363
0.014550,0.007243
0.014600,0.007122
0.014650,0.007153
0.014700,0.007182
0.014750,0.007207
0.014800,0.007229
0.014850,0.007247
0.014900,0.007261
0.014950,0.007273
0.015000,0.007280
0.015050,0.007284
0.015100,0.007287
