time, q_1, q_2, q_3
0.000000,0.010000,0.005000,-0.005000
0.000050,0.009999,0.005000,-0.004999
0.000100,0.009996,0.004999,-0.004996
0.000150,0.009992,0.004997,-0.004992
0.000200,0.009985,0.004995,-0.004985
0.000250,0.009976,0.004992,-0.004976
0.000300,0.009966,0.004989,-0.004966
0.000350,0.009954,0.004985,-0.004954
0.000400,0.009940,0.004980,-0.004940
0.000450,0.009924,0.004975,-0.004924
0.000500,0.009906,0.004969,-0.004906
0.000550,0.009886,0.004962,-0.004886
0.000600,0.009865,0.004955,-0.004865
0.000650,0.009841,0.004947,-0.004841
0.000700,0.009816,0.004939,-0.004816
0.000750,0.009789,0.004930,-0.004789
0.000800,0.009760,0.004920,-0.004760
0.000850,0.009729,0.004910,-0.004730
0.000900,0.009697,0.004899,-0.004697
0.000950,0.009662,0.004887,-0.004663
0.001000,0.009626,0.004875,-0.004627
0.001050,0.009588,0.004863,-0.004589
0.001100,0.009548,0.004850,-0.004549
0.001150,0.009506,0.004836,-0.004508
0.001200,0.009463,0.004821,-0.004465
0.001250,0.009418,0.004806,-0.004420
0.001300,0.009371,0.004791,-0.004374
0.001350,0.009322,0.004775,-0.004325
0.001400,0.009271,0.004758,-0.004275
0.001450,0.009219,0.004741,-0.004224
0.001500,0.009165,0.004723,-0.004171
0.001550,0.009110,0.004704,-0.004116
0.001600,0.009052,0.004685,-0.004059
0.001650,0.008993,0.004666,-0.004001
0.001700,0.008933,0.004646,-0.003941
0.001750,0.008870,0.004625,-0.003880
0.001800,0.008806,0.004604,-0.003817
0.001850,0.008741,0.004582,-0.003753
0.001900,0.008674,0.004560,-0.003687
0.001950,0.008605,0.004537,-0.003620
0.002000,0.008534,0.004514,-0.003551
0.002050,0.008462,0.004490,-0.003480
0.002100,0.008389,0.004466,-0.003409
0.002150,0.008314,0.004441,-0.003335
0.002200,0.008237,0.004416,-0.003261
0.002250,0.008159,0.004390,-0.003185
0.002300,0.008079,0.004364,-0.003108
0.002350,0.007998,0.004338,-0.003029
0.002400,0.007915,0.004310,-0.002949
0.002450,0.007831,0.004283,-0.002868
0.002500,0.007746,0.004255,-0.002785
0.002550,0.007659,0.004226,-0.002702
0.002600,0.007571,0.004197,-0.002617
0.002650,0.007481,0.004168,-0.002531
0.002700,0.007390,0.004138,-0.002443
0.002750,0.007298,0.004108,-0.002355
0.002800,0.007204,0.004077,-0.002265
0.002850,0.007109,0.004046,-0.002175
0.002900,0.007013,0.004015,-0.002083
0.002950,0.006915,0.003983,-0.001990
0.003000,0.006817,0.003951,-0.001897
0.003050,0.006717,0.003918,-0.001802
0.003100,0.006615,0.003886,-0.001706
0.003150,0.006513,0.003852,-0.001610
0.003200,0.006410,0.003819,-0.001513
0.003250,0.006305,0.003785,-0.001414
0.003300,0.006199,0.003750,-0.001315
0.003350,0.006093,0.003716,-0.001215
0.003400,0.005985,0.003681,-0.001115
0.003450,0.005876,0.003645,-0.001013
0.003500,0.005766,0.003610,-0.000911
0.003550,0.005655,0.003574,-0.000808
0.003600,0.005543,0.003538,-0.000705
0.003650,0.005430,0.003501,-0.000601
0.003700,0.005316,0.003465,-0.000496
0.003750,0.005202,0.003428,-0.000391
0.003800,0.005086,0.003390,-0.000285
0.003850,0.004970,0.003353,-0.000179
0.003900,0.004853,0.003315,-0.000072
0.003950,0.004735,0.003277,0.000035
0.004000,0.004616,0.003239,0.000142
0.004050,0.004496,0.003201,0.000250
0.004100,0.004376,0.003162,0.000359
0.004150,0.004255,0.003123,0.000467
0.004200,0.004133,0.003084,0.000576
0.004250,0.004011,0.003045,0.000685
0.004300,0.003888,0.003006,0.000794
0.004350,0.003764,0.002966,0.000904
0.004400,0.003640,0.002926,0.001014
0.004450,0.003516,0.002886,0.001123
0.004500,0.003391,0.002846,0.001233
0.004550,0.003265,0.002806,0.001343
0.004600,0.003139,0.002766,0.001453
0.004650,0.003012,0.002726,0.001563
0.004700,0.002885,0.002685,0.001673
0.004750,0.002758,0.002645,0.001782
0.004800,0.002630,0.002604,0.001892
0.004850,0.002502,0.002563,0.002001
0.004900,0.002374,0.002522,0.002111
0.004950,0.002245,0.002482,0.002220
0.005000,0.002116,0.002441,0.002329
0.005050,0.001987,0.002400,0.002437
0.005100,0.001858,0.002358,0.002545
0.005150,0.001728,0.002317,0.002653
0.005200,0.001598,0.002276,0.002761
0.005250,0.001469,0.002235,0.002868
0.005300,0.001339,0.002194,0.002974
0.005350,0.001209,0.002153,0.003081
0.005400,0.001079,0.002111,0.003186
0.005450,0.000949,0.002070,0.003292
0.005500,0.000819,0.002029,0.003396
0.005550,0.000689,0.001988,0.003500
0.005600,0.000559,0.001947,0.003603
0.005650,0.000430,0.001906,0.003706
0.005700,0.000300,0.001865,0.003808
0.005750,0.000171,0.001824,0.003909
0.005800,0.000041,0.001783,0.004010
0.005850,-0.000088,0.001742,0.004110
0.005900,-0.000216,0.001701,0.004209
0.005950,-0.000345,0.001660,0.004307
0.006000,-0.000473,0.001620,0.004404
0.006050,-0.000601,0.001579,0.004500
0.006100,-0.000728,0.001539,0.004596
0.006150,-0.000856,0.001498,0.004690
0.006200,-0.000982,0.001458,0.004784
0.006250,-0.001109,0.001418,0.004876
0.006300,-0.001235,0.001378,0.004967
0.006350,-0.001360,0.001338,0.005058
0.006400,-0.001485,0.001298,0.005147
0.006450,-0.001609,0.001258,0.005235
0.006500,-0.001733,0.001219,0.005322
0.006550,-0.001856,0.001179,0.005408
0.006600,-0.001979,0.001140,0.005492
0.006650,-0.002101,0.001101,0.005575
0.006700,-0.002222,0.001062,0.005657
0.006750,-0.002343,0.001023,0.005738
0.006800,-0.002462,0.000985,0.005818
0.006850,-0.002582,0.000946,0.005896
0.006900,-0.002700,0.000908,0.005972
0.006950,-0.002817,0.000870,0.006048
0.007000,-0.002934,0.000832,0.006122
0.007050,-0.003050,0.000794,0.006194
0.007100,-0.003165,0.000757,0.006265
0.007150,-0.003279,0.000720,0.006335
0.007200,-0.003393,0.000683,0.006403
0.007250,-0.003505,0.000646,0.006469
0.007300,-0.003616,0.000609,0.006534
0.007350,-0.003726,0.000573,0.006598
0.007400,-0.003836,0.000536,0.006659
0.007450,-0.003944,0.000500,0.006720
0.007500,-0.004051,0.000465,0.006778
0.007550,-0.004158,0.000429,0.006835
0.007600,-0.004263,0.000394,0.006890
0.007650,-0.004367,0.000359,0.006944
0.007700,-0.004469,0.000324,0.006996
0.007750,-0.004571,0.000289,0.007046
0.007800,-0.004672,0.000255,0.007095
0.007850,-0.004771,0.000221,0.007141
0.007900,-0.004869,0.000187,0.007186
0.007950,-0.004966,0.000153,0.007229
0.008000,-0.005061,0.000120,0.007271
0.008050,-0.005155,0.000086,0.007310
0.008100,-0.005248,0.000053,0.007348
0.008150,-0.005340,0.000021,0.007384
0.008200,-0.005430,-0.000012,0.007418
0.008250,-0.005519,-0.000044,0.007450
0.008300,-0.005607,-0.000076,0.007481
0.008350,-0.005693,-0.000107,0.007509
0.008400,-0.005777,-0.000139,0.007535
0.008450,-0.005861,-0.000170,0.007560
0.008500,-0.005943,-0.000201,0.007583
0.008550,-0.006023,-0.000231,0.007603
0.008600,-0.006102,-0.000262,0.007622
0.008650,-0.006179,-0.000292,0.007639
0.008700,-0.006255,-0.000322,0.007654
0.008750,-0.006329,-0.000351,0.007667
0.008800,-0.006402,-0.000381,0.007678
0.008850,-0.006473,-0.000410,0.007687
0.008900,-0.006543,-0.000439,0.007694
0.008950,-0.006611,-0.000467,0.007699
0.009000,-0.006677,-0.000496,0.007702
0.009050,-0.006742,-0.000524,0.007703
0.009100,-0.006805,-0.000552,0.007702
