time, signal
0.000000,0.000000
0.000050,0.000001
0.000100,0.000004
0.000150,0.000009
0.000200,0.000016
0.000250,0.000025
0.000300,0.000036
0.000350,0.000049
0.000400,0.000064
0.000450,0.000081
0.000500,0.000100
0.000550,0.000121
0.000600,0.000144
0.000650,0.000169
0.000700,0.000195
0.000750,0.000224
0.000800,0.000254
0.000850,0.000287
0.000900,0.000321
0.000950,0.000357
0.001000,0.000395
0.001050,0.000434
0.001100,0.000476
0.001150,0.000519
0.001200,0.000564
0.001250,0.000610
0.001300,0.000658
0.001350,0.000708
0.001400,0.000760
0.001450,0.000813
0.001500,0.000868
0.001550,0.000924
0.001600,0.000981
0.001650,0.001041
0.001700,0.001101
0.001750,0.001163
0.001800,0.001226
0.001850,0.001291
0.001900,0.001357
0.001950,0.001424
0.002000,0.001493
0.002050,0.001562
0.002100,0.001633
0.002150,0.001705
0.002200,0.001778
0.002250,0.001852
0.002300,0.001927
0.002350,0.002003
0.002400,0.002080
0.002450,0.002157
0.002500,0.002236
0.002550,0.002315
0.002600,0.002395
0.002650,0.002476
0.002700,0.002557
0.002750,0.002639
0.002800,0.002722
0.002850,0.002805
0.002900,0.002888
0.002950,0.002972
0.003000,0.003056
0.003050,0.003141
0.003100,0.003225
0.003150,0.003311
0.003200,0.003396
0.003250,0.003481
0.003300,0.003567
0.003350,0.003652
0.003400,0.003738
0.003450,0.003823
0.003500,0.003908
0.003550,0.003993
0.003600,0.004078
0.003650,0.004163
0.003700,0.004248
0.003750,0.004332
0.003800,0.004415
0.003850,0.004499
0.003900,0.004581
0.003950,0.004664
0.004000,0.004745
0.004050,0.004827
0.004100,0.004907
0.004150,0.004987
0.004200,0.005066
0.004250,0.005144
0.004300,0.005221
0.004350,0.005298
0.004400,0.005373
0.004450,0.005448
0.004500,0.005522
0.004550,0.005594
0.004600,0.005666
0.004650,0.005736
0.004700,0.005805
0.004750,0.005873
0.004800,0.005940
0.004850,0.006006
0.004900,0.006070
0.004950,0.006133
0.005000,0.006194
0.005050,0.006254
0.005100,0.006313
0.005150,0.006370
0.005200,0.006425
0.005250,0.006480
0.005300,0.006532
0.005350,0.006583
0.005400,0.006632
0.005450,0.006680
0.005500,0.006726
0.005550,0.006770
0.005600,0.006813
0.005650,0.006853
0.005700,0.006892
0.005750,0.006929
0.005800,0.006965
0.005850,0.006998
0.005900,0.007030
0.005950,0.007060
0.006000,0.007088
0.006050,0.007114
0.006100,0.007138
0.006150,0.007160
0.006200,0.007180
0.006250,0.007198
0.006300,0.007214
0.006350,0.007229
0.006400,0.007241
0.006450,0.007251
0.006500,0.007259
0.006550,0.007266
0.006600,0.007270
0.006650,0.007272
0.006700,0.007273
0.006750,0.007271
0.006800,0.007267
0.006850,0.007261
0.006900,0.007254
0.006950,0.007244
0.007000,0.007232
0.007050,0.007218
0.007100,0.007203
0.007150,0.007185
0.007200,0.007165
0.007250,0.007144
0.007300,0.007120
0.007350,0.007095
0.007400,0.007067
0.007450,0.007038
0.007500,0.007007
0.007550,0.006974
0.007600,0.006939
0.007650,0.006902
0.007700,0.006864
0.007750,0.006824
0.007800,0.006781
0.007850,0.006738
0.007900,0.006692
0.007950,0.006645
0.008000,0.006596
0.008050,0.006546
0.008100,0.006494
0.008150,0.006440
0.008200,0.006385
0.008250,0.006328
0.008300,0.006270
0.008350,0.006210
0.008400,0.006149
0.008450,0.006087
0.008500,0.006023
0.008550,0.005958
0.008600,0.005891
0.008650,0.005823
0.008700,0.005755
0.008750,0.005684
0.008800,0.005613
0.008850,0.005541
0.008900,0.005468
0.008950,0.005393
0.009000,0.005318
0.009050,0.005242
0.009100,0.005165
0.009150,0.005087
0.009200,0.005008
0.009250,0.004928
0.009300,0.004848
0.009350,0.004767
0.009400,0.004686
0.009450,0.004603
0.009500,0.004521
0.009550,0.004438
0.009600,0.004354
0.009650,0.004270
0.009700,0.004186
0.009750,0.004101
0.009800,0.004016
0.009850,0.003931
0.009900,0.003846
0.009950,0.003760
0.010000,0.003675
0.010050,0.003589
0.010100,0.003504
0.010150,0.003418
0.010200,0.003333
0.010250,0.003248
0.010300,0.003163
0.010350,0.003079
0.010400,0.002994
0.010450,0.002910
0.010500,0.002827
0.010550,0.002744
0.010600,0.002661
0.010650,0.002579
0.010700,0.002497
0.010750,0.002417
0.010800,0.002336
0.010850,0.002257
0.010900,0.002178
0.010950,0.002100
0.011000,0.002023
0.011050,0.001947
0.011100,0.001872
0.011150,0.001798
0.011200,0.001724
0.011250,0.001652
0.011300,0.001581
0.011350,0.001511
0.011400,0.001442
0.011450,0.001375
0.011500,0.001309
0.011550,0.001243
0.011600,0.001180
0.011650,0.001117
0.011700,0.001056
0.011750,0.000997
0.011800,0.000939
0.011850,0.000882
0.011900,0.000827
0.011950,0.000774
0.012000,0.000722
0.012050,0.000672
0.012100,0.000623
0.012150,0.000576
0.012200,0.000531
0.012250,0.000487
0.012300,0.000445
0.012350,0.000405
0.012400,0.000367
0.012450,0.000330
0.012500,0.000295
0.012550,0.000263
0.012600,0.000232
0.012650,0.000203
0.012700,0.000175
0.012750,0.000150
0.012800,0.000127
0.012850,0.000105
0.012900,0.000086
0.012950,0.000068
0.013000,0.000053
0.013050,0.000039
0.013100,0.000028
0.013150,0.000018
0.013200,0.000011
0.013250,0.000005
0.013300,0.000002
0.013350,0.000000
0.013400,0.000001
0.013450,0.000003
0.013500,0.000008
0.013550,0.000014
0.013600,0.000022
0.013650,0.000033
0.013700,0.000045
0.013750,0.000060
0.013800,0.000076
0.013850,0.000095
0.013900,0.000115
0.013950,0.000137
0.014000,0.000162
0.014050,0.000188
0.014100,0.000216
0.014150,0.000246
0.014200,0.000278
0.014250,0.000311
0.014300,0.000347
0.014350,0.000384
0.014400,0.000424
0.014450,0.000464
0.014500,0.000507
0.014550,0.000552
0.014600,0.000598
0.014650,0.000645
0.014700,0.000695
0.014750,0.000746
0.014800,0.000799
0.014850,0.000853
0.014900,0.000909
0.014950,0.000966
0.015000,0.001025
0.015050,0.001085
0.015100,0.001146
0.015150,0.001209
0.015200,0.001274
0.015250,0.001339
0.015300,0.001406
0.015350,0.001474
0.015400,0.001544
0.015450,0.001614
0.015500,0.001686
0.015550,0.001759
0.015600,0.001832
0.015650,0.001907
0.015700,0.001983
0.015750,0.002059
0.015800,0.002137
0.015850,0.002215
0.015900,0.002294
0.015950,0.002374
0.016000,0.002454
0.016050,0.002536
0.016100,0.002617
0.016150,0.002700
0.016200,0.002782
0.016250,0.002866
0.016300,0.002950
0.016350,0.003034
0.016400,0.003118
0.016450,0.003203
0.016500,0.003288
0.016550,0.003373
0.016600,0.003458
0.016650,0.003544
0.016700,0.003629
0.016750,0.003715
0.016800,0.003800
0.016850,0.003886
0.016900,0.003971
0.016950,0.004056
0.017000,0.004141
0.017050,0.004225
0.017100,0.004309
0.017150,0.004393
0.017200,0.004477
0.017250,0.004559
0.017300,0.004642
0.017350,0.004724
0.017400,0.004805
0.017450,0.004886
0.017500,0.004966
0.017550,0.005045
0.017600,0.005123
0.017650,0.005201
0.017700,0.005278
0.017750,0.005353
0.017800,0.005428
0.017850,0.005502
0.017900,0.005575
0.017950,0.005647
0.018000,0.005717
0.018050,0.005787
0.018100,0.005855
0.018150,0.005922
0.018200,0.005988
0.018250,0.006053
0.018300,0.006116
0.018350,0.006178
0.018400,0.006238
0.018450,0.006297
0.018500,0.006355
0.018550,0.006411
0.018600,0.006465
0.018650,0.006518
0.018700,0.006570
0.018750,0.006619
0.018800,0.006667
0.018850,0.006714
0.018900,0.006758
0.018950,0.006801
0.019000,0.006843
0.019050,0.006882
0.019100,0.006920
0.019150,0.006956
0.019200,0.006990
0.019250,0.007022
0.019300,0.007052
0.019350,0.007080
0.019400,0.007107
0.019450,0.007131
0.019500,0.007154
0.019550,0.007175
0.019600,0.007193
0.019650,0.007210
0.019700,0.007225
0.019750,0.007238
0.019800,0.007249
0.019850,0.007257
0.019900,0.007264
0.019950,0.007269
0.020000,0.007272
0.020050,0.007273
0.020100,0.007272
0.020150,0.007268
0.020200,0.007263
0.020250,0.007256
0.020300,0.007247
0.020350,0.007235
0.020400,0.007222
0.020450,0.007207
0.020500,0.007190
0.020550,0.007171
0.020600,0.007150
0.020650,0.007127
0.020700,0.007102
0.020750,0.007075
0.020800,0.007046
0.020850,0.007015
0.020900,0.006983
0.020950,0.006948
0.021000,0.006912
0.021050,0.006874
0.021100,0.006834
0.021150,0.006793
0.021200,0.006750
0.021250,0.006704
0.021300,0.006658
0.021350,0.006609
0.021400,0.006559
0.021450,0.006508
0.021500,0.006454
0.021550,0.006400
0.021600,0.006343
0.021650,0.006285
0.021700,0.006226
0.021750,0.006165
0.021800,0.006103
0.021850,0.006040
0.021900,0.005975
0.021950,0.005909
0.022000,0.005842
0.022050,0.005773
0.022100,0.005703
0.022150,0.005632
0.022200,0.005560
0.022250,0.005487
0.022300,0.005413
0.022350,0.005338
0.022400,0.005262
0.022450,0.005185
0.022500,0.005107
0.022550,0.005029
0.022600,0.004949
0.022650,0.004869
0.022700,0.004789
0.022750,0.004707
0.022800,0.004625
0.022850,0.004543
0.022900,0.004460
0.022950,0.004376
0.023000,0.004292
0.023050,0.004208
0.023100,0.004123
0.023150,0.004039
0.023200,0.003954
0.023250,0.003868
0.023300,0.003783
0.023350,0.003698
0.023400,0.003612
0.023450,0.003527
0.023500,0.003441
0.023550,0.003356
0.023600,0.003271
0.023650,0.003186
0.023700,0.003101
0.023750,0.003017
0.023800,0.002933
0.023850,0.002849
0.023900,0.002766
0.023950,0.002683
0.024000,0.002601
0.024050,0.002519
0.024100,0.002438
0.024150,0.002358
0.024200,0.002278
0.024250,0.002199
0.024300,0.002121
0.024350,0.002044
0.024400,0.001967
0.024450,0.001892
0.024500,0.001817
0.024550,0.001744
0.024600,0.001671
0.024650,0.001600
0.024700,0.001530
0.024750,0.001461
0.024800,0.001393
0.024850,0.001326
0.024900,0.001261
0.024950,0.001197
0.025000,0.001134
0.025050,0.001073
0.025100,0.001013
0.025150,0.000954
0.025200,0.000897
0.025250,0.000842
0.025300,0.000788
0.025350,0.000735
0.025400,0.000685
0.025450,0.000636
0.025500,0.000588
0.025550,0.000542
0.025600,0.000498
0.025650,0.000456
0.025700,0.000415
0.025750,0.000377
0.025800,0.000340
0.025850,0.000305
0.025900,0.000271
0.025950,0.000240
0.026000,0.000210
0.026050,0.000182
0.026100,0.000157
0.026150,0.000133
0.026200,0.000111
0.026250,0.000091
0.026300,0.000073
0.026350,0.000057
0.026400,0.000043
0.026450,0.000031
0.026500,0.000021
0.026550,0.000013
0.026600,0.000006
0.026650,0.000002
0.026700,0.000000
0.026750,0.000000
0.026800,0.000002
0.026850,0.000006
0.026900,0.000012
0.026950,0.000020
0.027000,0.000030
0.027050,0.000042
0.027100,0.000056
0.027150,0.000072
0.027200,0.000090
0.027250,0.000110
0.027300,0.000131
0.027350,0.000155
0.027400,0.000181
0.027450,0.000208
0.027500,0.000238
0.027550,0.000269
0.027600,0.000302
0.027650,0.000337
0.027700,0.000374
0.027750,0.000413
0.027800,0.000453
0.027850,0.000496
0.027900,0.000540
0.027950,0.000585
0.028000,0.000633
0.028050,0.000682
0.028100,0.000732
0.028150,0.000784
0.028200,0.000838
0.028250,0.000894
0.028300,0.000950
0.028350,0.001009
0.028400,0.001069
0.028450,0.001130
0.028500,0.001193
0.028550,0.001257
0.028600,0.001322
0.028650,0.001388
0.028700,0.001456
0.028750,0.001525
0.028800,0.001595
0.028850,0.001667
0.028900,0.001739
0.028950,0.001813
0.029000,0.001887
0.029050,0.001962
0.029100,0.002039
0.029150,0.002116
0.029200,0.002194
0.029250,0.002273
0.029300,0.002353
0.029350,0.002433
0.029400,0.002514
0.029450,0.002595
0.029500,0.002678
0.029550,0.002760
0.029600,0.002844
0.029650,0.002927
0.029700,0.003011
0.029750,0.003096
0.029800,0.003180
0.029850,0.003265
0.029900,0.003350
0.029950,0.003436
0.030000,0.003521
0.030050,0.003607
0.030100,0.003692
0.030150,0.003778
0.030200,0.003863
0.030250,0.003948
0.030300,0.004033
0.030350,0.004118
0.030400,0.004203
0.030450,0.004287
0.030500,0.004371
0.030550,0.004454
0.030600,0.004537
0.030650,0.004620
0.030700,0.004702
0.030750,0.004783
0.030800,0.004864
0.030850,0.004944
0.030900,0.005024
0.030950,0.005102
0.031000,0.005180
0.031050,0.005257
0.031100,0.005333
0.031150,0.005408
0.031200,0.005483
0.031250,0.005556
0.031300,0.005628
0.031350,0.005699
0.031400,0.005769
0.031450,0.005837
0.031500,0.005905
0.031550,0.005971
0.031600,0.006036
0.031650,0.006099
0.031700,0.006162
0.031750,0.006222
0.031800,0.006282
0.031850,0.006340
0.031900,0.006396
0.031950,0.006451
0.032000,0.006504
0.032050,0.006556
0.032100,0.006606
0.032150,0.006655
0.032200,0.006702
0.032250,0.006747
0.032300,0.006790
0.032350,0.006832
0.032400,0.006872
0.032450,0.006910
0.032500,0.006946
0.032550,0.006981
0.032600,0.007013
0.032650,0.007044
0.032700,0.007073
0.032750,0.007100
0.032800,0.007125
0.032850,0.007148
0.032900,0.007169
0.032950,0.007189
0.033000,0.007206
0.033050,0.007221
0.033100,0.007235
0.033150,0.007246
0.033200,0.007255
0.033250,0.007263
0.033300,0.007268
