time, signal
-4.980237,0.003951
-4.940711,0.003943
-4.901186,0.003926
-4.861660,0.003902
-4.822134,0.003870
-4.782609,0.003830
-4.743083,0.003782
-4.703557,0.003726
-4.664032,0.003663
-4.624506,0.003593
-4.584980,0.003515
-4.545455,0.003431
-4.505929,0.003340
-4.466403,0.003243
-4.426877,0.003139
-4.387352,0.003030
-4.347826,0.002916
-4.308300,0.002796
-4.268775,0.002672
-4.229249,0.002544
-4.189723,0.002412
-4.150198,0.002277
-4.110672,0.002139
-4.071146,0.001999
-4.031621,0.001857
-3.992095,0.001714
-3.952569,0.001571
-3.913043,0.001428
-3.873518,0.001286
-3.833992,0.001146
-3.794466,0.001009
-3.754941,0.000875
-3.715415,0.000746
-3.675889,0.000623
-3.636364,0.000506
-3.596838,0.000398
-3.557312,0.000299
-3.517787,0.000211
-3.478261,0.000135
-3.438735,0.000075
-3.399209,0.000030
-3.359684,0.000005
-3.320158,0.000001
-3.280632,0.000022
-3.241107,0.000071
-3.201581,0.000152
-3.162055,0.000270
-3.122530,0.000430
-3.083004,0.000639
-3.043478,0.000904
-3.003953,0.001235
-2.964427,0.001642
-2.924901,0.002138
-2.885375,0.002741
-2.845850,0.003471
-2.806324,0.004353
-2.766798,0.005420
-2.727273,0.006714
-2.687747,0.008287
-2.648221,0.010213
-2.608696,0.012586
-2.569170,0.015536
-2.529644,0.019245
-2.490119,0.023971
-2.450593,0.030091
-2.411067,0.038178
-2.371542,0.049122
-2.332016,0.064386
-2.292490,0.086491
-2.252964,0.120094
-2.213439,0.174576
-2.173913,0.271196
-2.134387,0.466910
-2.094862,0.960326
-2.055336,2.883554
-2.015810,35.983152
-1.976285,16.254019
-1.936759,2.315787
-1.897233,0.886244
-1.857708,0.465958
-1.818182,0.286944
-1.778656,0.194192
-1.739130,0.139882
-1.699605,0.105299
-1.660079,0.081890
-1.620553,0.065290
-1.581028,0.053079
-1.541502,0.043829
-1.501976,0.036649
-1.462451,0.030962
-1.422925,0.026382
-1.383399,0.022637
-1.343874,0.019537
-1.304348,0.016944
-1.264822,0.014753
-1.225296,0.012887
-1.185771,0.011286
-1.146245,0.009904
-1.106719,0.008703
-1.067194,0.007656
-1.027668,0.006738
-0.988142,0.005931
-0.948617,0.005218
-0.909091,0.004587
-0.869565,0.004027
-0.830040,0.003530
-0.790514,0.003086
-0.750988,0.002691
-0.711462,0.002338
-0.671937,0.002023
-0.632411,0.001742
-0.592885,0.001491
-0.553360,0.001267
-0.513834,0.001068
-0.474308,0.000891
-0.434783,0.000734
-0.395257,0.000596
-0.355731,0.000475
-0.316206,0.000370
-0.276680,0.000280
-0.237154,0.000203
-0.197628,0.000140
-0.158103,0.000089
-0.118577,0.000050
-0.079051,0.000022
-0.039526,0.000005
0.000000,0.000000
0.039526,0.000005
0.079051,0.000022
0.118577,0.000050
0.158103,0.000089
0.197628,0.000140
0.237154,0.000203
0.276680,0.000280
0.316206,0.000370
0.355731,0.000475
0.395257,0.000596
0.434783,0.000734
0.474308,0.000891
0.513834,0.001068
0.553360,0.001267
0.592885,0.001491
0.632411,0.001742
0.671937,0.002023
0.711462,0.002338
0.750988,0.002691
0.790514,0.003086
0.830040,0.003530
0.869565,0.004027
0.909091,0.004587
0.948617,0.005218
0.988142,0.005931
1.027668,0.006738
1.067194,0.007656
1.106719,0.008703
1.146245,0.009904
1.185771,0.011286
1.225296,0.012887
1.264822,0.014753
1.304348,0.016944
1.343874,0.019537
1.383399,0.022637
1.422925,0.026382
1.462451,0.030962
1.501976,0.036649
1.541502,0.043829
1.581028,0.053079
1.620553,0.065290
1.660079,0.081890
1.699605,0.105299
1.739130,0.139882
1.778656,0.194192
1.818182,0.286944
1.857708,0.465958
1.897233,0.886244
1.936759,2.315787
1.976285,16.254019
2.015810,35.983152
2.055336,2.883554
2.094862,0.960326
2.134387,0.466910
2.173913,0.271196
2.213439,0.174576
2.252964,0.120094
2.292490,0.086491
2.332016,0.064386
2.371542,0.049122
2.411067,0.038178
2.450593,0.030091
2.490119,0.023971
2.529644,0.019245
2.569170,0.015536
2.608696,0.012586
2.648221,0.010213
2.687747,0.008287
2.727273,0.006714
2.766798,0.005420
2.806324,0.004353
2.845850,0.003471
2.885375,0.002741
2.924901,0.002138
2.964427,0.001642
3.003953,0.001235
3.043478,0.000904
3.083004,0.000639
3.122530,0.000430
3.162055,0.000270
3.201581,0.000152
3.241107,0.000071
3.280632,0.000022
3.320158,0.000001
3.359684,0.000005
3.399209,0.000030
3.438735,0.000075
3.478261,0.000135
3.517787,0.000211
3.557312,0.000299
3.596838,0.000398
3.636364,0.000506
3.675889,0.000623
3.715415,0.000746
3.754941,0.000875
3.794466,0.001009
3.833992,0.001146
3.873518,0.001286
3.913043,0.001428
3.952569,0.001571
3.992095,0.001714
4.031621,0.001857
4.071146,0.001999
4.110672,0.002139
4.150198,0.002277
4.189723,0.002412
4.229249,0.002544
4.268775,0.002672
4.308300,0.002796
4.347826,0.002916
4.387352,0.003030
4.426877,0.003139
4.466403,0.003243
4.505929,0.003340
4.545455,0.003431
4.584980,0.003515
4.624506,0.003593
4.664032,0.003663
4.703557,0.003726
4.743083,0.003782
4.782609,0.003830
4.822134,0.003870
4.861660,0.003902
4.901186,0.003926
4.940711,0.003943
4.980237,0.003951
