time, s 
1000000, 0.000000
500000, 165.414734
250000, 91.263107
200000, 51.295945
125000, 208.188478
100000, 146.693429
62500, 225.764112
50000, 151.061583
40000, 191.195048
31250, 194.770076
25000, 155.295867
20000, 162.320744
15625, 188.309049
12500, 185.976316
10000, 188.606647
8000, 176.175754
6250, 166.165343
5000, 181.884264
4000, 169.944821
3125, 176.557042
2500, 174.192164
2000, 169.069300
1600, 166.171049
1250, 162.977714
1000, 157.028214
800, 157.787238
625, 141.361160
500, 139.169487
400, 134.601267
320, 122.195074
250, 110.730503
200, 99.527167
160, 89.267964
125, 77.065419
100, 67.006862
80, 57.430584
64, 48.588307
50, 40.119377
40, 33.406011
32, 27.624993
25, 22.249496
20, 18.203994
16, 14.830031
10, 9.533427
8, 7.700715
5, 4.884249
4, 3.927349
2, 1.985320
1, 1.000000
