time, position, velocity, acceleration
0.000000,1.000000,1000000.000000,-0.000000
0.001000,996612.325312,993045.723401,-0.000000
0.002000,1986103.882122,985763.010427,-0.000000
0.003000,2968149.757704,978156.956862,-0.000000
0.004000,3942429.037687,970232.462807,-0.000000
0.005000,4908625.870436,961994.751917,-0.000000
0.006000,5866429.556798,953448.904570,-0.000000
0.007000,6815534.631626,944600.306687,-0.000000
0.008000,7755641.106296,935454.523854,-0.000000
0.009000,8686454.477277,926016.959710,-0.000000
0.010000,9607685.723710,916293.174476,-0.000000
0.011000,10519051.356239,906288.669798,-0.000000
0.012000,11420273.466999,896009.105499,-0.000000
0.013000,12311079.910395,885460.344686,-0.000000
0.014000,13191204.384615,874648.210606,-0.000000
0.015000,14060386.429116,863578.561210,-0.000000
0.016000,14918371.415487,852257.201627,-0.000000
0.017000,15764910.649575,840690.193524,-0.000000
0.018000,16599761.508730,828883.616898,-0.000000
0.019000,17422687.413421,816843.476815,-0.000000
0.020000,18233457.869470,804575.937345,-0.000000
0.021000,19031848.602294,792087.272091,-0.000000
0.022000,19817641.510481,779383.552824,-0.000000
0.023000,20590624.690549,766471.101888,-0.000000
0.024000,21350592.526710,753356.171129,-0.000000
0.025000,22097345.723299,740045.147384,-0.000000
0.026000,22830691.368115,726544.409415,-0.000000
0.027000,23550442.912962,712860.305202,-0.000000
0.028000,24256420.168070,698999.202253,-0.000000
0.029000,24948449.389915,684967.623955,-0.000000
0.030000,25626363.357379,670772.090390,-0.000000
0.031000,26290001.248360,656418.878599,-0.000000
0.032000,26939208.676337,641914.580849,-0.000000
0.033000,27573837.810056,627265.714190,-0.000000
0.034000,28193747.259357,612478.642713,-0.000000
0.035000,28798802.247360,597560.226689,-0.000000
0.036000,29388874.579295,582516.769688,-0.000000
0.037000,29963842.492851,567354.831322,-0.000000
0.038000,30523590.807636,552081.014414,-0.000000
0.039000,31068010.908902,536701.846243,-0.000000
0.040000,31597000.624286,521223.683298,-0.000000
0.041000,32110464.328880,505653.262054,-0.000000
0.042000,32608312.992990,489997.035628,-0.000000
0.043000,33090463.969328,474261.314697,-0.000000
0.044000,33556841.090061,458452.745639,-0.000000
0.045000,34007374.824842,442577.955774,-0.000000
0.046000,34442002.010796,426643.052365,-0.000000
0.047000,34860665.925441,410654.806540,-0.000000
0.048000,35263316.344665,394619.443574,-0.000000
0.049000,35649909.306067,378543.260276,-0.000000
0.050000,36020407.229053,362432.721926,-0.000000
0.051000,36374778.973153,346294.242334,-0.000000
0.052000,36712999.657396,330133.926012,-0.000000
0.053000,37035050.635960,313958.137103,-0.000000
0.054000,37340919.574695,297773.133784,-0.000000
0.055000,37630600.326598,281585.031236,-0.000000
0.056000,37904092.867834,265399.959424,-0.000000
0.057000,38161403.341873,249224.121701,-0.000000
0.058000,38402543.942074,233063.413870,-0.000000
