time (ms), position (nm), velocity (mm/s), acceleration (Å/ps^2)
0.000000,1.000000,1000000.000000,-0.000000
0.005000,4748799.012067,897765.502749,-0.000000
0.010000,8989585.488191,797447.537039,-0.000000
0.015000,12733871.958864,699763.693226,-0.000000
0.020000,15996520.353305,605336.457841,-0.000000
0.025000,18795280.434936,514698.841599,-0.000000
0.030000,21150346.794737,428296.621116,-0.000000
0.035000,23083937.286035,346494.530522,-0.000000
0.040000,24619897.414655,269580.458787,-0.000000
0.045000,25783324.474081,197769.126241,-0.000000
0.050000,26600217.190485,131208.499495,-0.000000
0.055000,27097152.427656,69984.209794,-0.000000
0.060000,27300988.508806,14125.696566,-0.000000
0.065000,27238597.498624,-36388.374591,-0.000000
0.070000,26936621.740711,-81625.833874,-0.000000
0.075000,26421254.876730,-121695.557339,-0.000000
0.080000,25718048.245156,-156742.779502,-0.000000
0.085000,24851744.233841,-186943.068061,-0.000000
0.090000,23846133.838597,-212498.637021,-0.000000
0.095000,22723933.771403,-233634.249322,-0.000000
0.100000,21506686.720852,-250592.106812,-0.000000
0.105000,20214683.666867,-263628.128058,-0.000000
0.110000,18866901.741410,-273009.439046,-0.000000
0.115000,17480961.557421,-279009.185240,-0.000000
0.120000,16073102.035939,-281904.653222,-0.000000
0.125000,14658169.269434,-281973.595081,-0.000000
0.130000,13249619.584817,-279492.195489,-0.000000
0.135000,11859533.383606,-274732.809480,-0.000000
0.140000,10498640.353577,-267961.686266,-0.000000
0.145000,9176356.193129,-259436.650833,-0.000000
0.150000,7900827.364313,-249406.180555,-0.000000
0.155000,6678979.240510,-238108.959362,-0.000000
0.160000,5516573.731423,-225770.611722,-0.000000
0.165000,4418273.140620,-212604.377048,-0.000000
0.170000,3387703.472206,-198810.680443,-0.000000
0.175000,2427526.396929,-184574.168411,-0.000000
0.180000,1539508.777996,-170067.470192,-0.000000
0.185000,724591.713996,-155447.809949,-0.000000
0.190000,-17034.377441,-140857.870934,0.000000
0.195000,-685858.252962,-126426.362786,0.000000
0.200000,-1282979.153716,-112268.575249,0.000000
0.205000,-1810034.921339,-98484.606275,0.000000
0.210000,-2269133.573560,-85162.387446,0.000000
0.215000,-2662791.950958,-72377.558328,0.000000
0.220000,-2993870.835873,-60192.210372,0.000000
0.225000,-3265512.319150,-48656.951330,0.000000
0.230000,-3481088.683968,-37813.422308,0.000000
0.235000,-3644147.462634,-27690.415829,0.000000
0.240000,-3758361.051113,-18309.333306,0.000000
0.245000,-3827485.147272,-9682.432234,0.000000
0.250000,-3855313.982144,-1813.241275,0.000000
0.255000,-3845640.747579,5301.814447,0.000000
0.260000,-3802226.305010,11671.737092,0.000000
0.265000,-3728768.142072,17312.453208,0.000000
0.270000,-3628871.234917,22244.651905,0.000000
0.275000,-3506026.207600,26493.000532,0.000000
0.280000,-3363589.466234,30086.122340,0.000000
0.285000,-3204764.468101,33056.177096,0.000000
0.290000,-3032589.255955,35436.822808,0.000000
0.295000,-2849924.927628,37264.788309,0.000000
0.300000,-2659447.558197,38577.037008,0.000000
0.305000,-2463641.123516,39413.071450,0.000000
0.310000,-2264792.781171,39811.827711,0.000000
0.315000,-2064994.073104,39812.321375,0.000000
0.320000,-1866140.800908,39453.550349,0.000000
