time (ps), velocity (Å/ps)
0.000000,-0.000002
1000000.000000,-0.000001
2000000.000000,-0.000002
3000000.000000,-0.000003
4000000.000000,-0.000003
5000000.000000,-0.000002
6000000.000000,-0.000001
7000000.000000,-0.000002
8000000.000000,-0.000002
9000000.000000,-0.000002
10000000.000000,-0.000002
11000000.000000,-0.000003
12000000.000000,-0.000003
13000000.000000,-0.000004
14000000.000000,-0.000004
15000000.000000,-0.000005
16000000.000000,-0.000005
17000000.000000,-0.000004
18000000.000000,-0.000005
19000000.000000,-0.000005
20000000.000000,-0.000004
21000000.000000,-0.000004
22000000.000000,-0.000005
23000000.000000,-0.000006
24000000.000000,-0.000006
25000000.000000,-0.000006
26000000.000000,-0.000007
27000000.000000,-0.000009
28000000.000000,-0.000007
29000000.000000,-0.000006
30000000.000000,-0.000007
31000000.000000,-0.000007
32000000.000000,-0.000007
33000000.000000,-0.000008
34000000.000000,-0.000008
35000000.000000,-0.000007
36000000.000000,-0.000006
37000000.000000,-0.000006
38000000.000000,-0.000006
39000000.000000,-0.000006
40000000.000000,-0.000006
41000000.000000,-0.000007
42000000.000000,-0.000007
43000000.000000,-0.000008
44000000.000000,-0.000008
45000000.000000,-0.000008
46000000.000000,-0.000008
47000000.000000,-0.000008
48000000.000000,-0.000009
49000000.000000,-0.000008
50000000.000000,-0.000010
51000000.000000,-0.000010
52000000.000000,-0.000010
53000000.000000,-0.000010
54000000.000000,-0.000010
55000000.000000,-0.000009
56000000.000000,-0.000008
57000000.000000,-0.000010
58000000.000000,-0.000010
59000000.000000,-0.000010
60000000.000000,-0.000010
61000000.000000,-0.000010
62000000.000000,-0.000010
63000000.000000,-0.000009
64000000.000000,-0.000009
65000000.000000,-0.000009
66000000.000000,-0.000009
67000000.000000,-0.000008
68000000.000000,-0.000007
69000000.000000,-0.000009
70000000.000000,-0.000008
71000000.000000,-0.000008
72000000.000000,-0.000009
73000000.000000,-0.000008
74000000.000000,-0.000008
75000000.000000,-0.000009
76000000.000000,-0.000010
77000000.000000,-0.000010
78000000.000000,-0.000011
79000000.000000,-0.000010
80000000.000000,-0.000010
81000000.000000,-0.000011
82000000.000000,-0.000011
83000000.000000,-0.000011
84000000.000000,-0.000011
85000000.000000,-0.000011
86000000.000000,-0.000011
87000000.000000,-0.000010
88000000.000000,-0.000010
89000000.000000,-0.000010
90000000.000000,-0.000010
91000000.000000,-0.000011
92000000.000000,-0.000011
93000000.000000,-0.000012
94000000.000000,-0.000012
95000000.000000,-0.000012
96000000.000000,-0.000013
97000000.000000,-0.000013
98000000.000000,-0.000012
99000000.000000,-0.000012
100000000.000000,-0.000012
101000000.000000,-0.000012
102000000.000000,-0.000012
103000000.000000,-0.000011
104000000.000000,-0.000012
105000000.000000,-0.000010
106000000.000000,-0.000010
107000000.000000,-0.000009
108000000.000000,-0.000009
109000000.000000,-0.000009
110000000.000000,-0.000009
111000000.000000,-0.000009
112000000.000000,-0.000008
113000000.000000,-0.000007
114000000.000000,-0.000007
115000000.000000,-0.000007
116000000.000000,-0.000007
117000000.000000,-0.000007
118000000.000000,-0.000006
119000000.000000,-0.000007
120000000.000000,-0.000007
121000000.000000,-0.000007
122000000.000000,-0.000008
123000000.000000,-0.000006
124000000.000000,-0.000006
125000000.000000,-0.000007
126000000.000000,-0.000006
127000000.000000,-0.000006
128000000.000000,-0.000005
129000000.000000,-0.000005
130000000.000000,-0.000004
131000000.000000,-0.000004
132000000.000000,-0.000004
133000000.000000,-0.000005
134000000.000000,-0.000005
135000000.000000,-0.000005
136000000.000000,-0.000004
137000000.000000,-0.000005
138000000.000000,-0.000005
139000000.000000,-0.000003
140000000.000000,-0.000004
141000000.000000,-0.000005
142000000.000000,-0.000004
143000000.000000,-0.000004
144000000.000000,-0.000004
145000000.000000,-0.000003
146000000.000000,-0.000003
147000000.000000,-0.000002
148000000.000000,-0.000001
149000000.000000,-0.000001
150000000.000000,-0.000000
151000000.000000,-0.000000
152000000.000000,0.000001
153000000.000000,0.000001
154000000.000000,-0.000001
155000000.000000,-0.000002
156000000.000000,-0.000002
157000000.000000,-0.000002
158000000.000000,-0.000002
159000000.000000,-0.000001
160000000.000000,-0.000001
161000000.000000,-0.000001
162000000.000000,-0.000001
163000000.000000,-0.000001
164000000.000000,-0.000000
165000000.000000,0.000000
166000000.000000,-0.000000
167000000.000000,-0.000000
168000000.000000,-0.000001
169000000.000000,-0.000002
170000000.000000,-0.000002
171000000.000000,-0.000001
172000000.000000,-0.000001
173000000.000000,-0.000001
174000000.000000,-0.000003
175000000.000000,-0.000002
176000000.000000,-0.000002
177000000.000000,-0.000003
178000000.000000,-0.000002
179000000.000000,-0.000002
180000000.000000,-0.000002
181000000.000000,-0.000002
182000000.000000,-0.000002
183000000.000000,-0.000002
184000000.000000,-0.000002
185000000.000000,-0.000003
186000000.000000,-0.000003
187000000.000000,-0.000003
188000000.000000,-0.000003
189000000.000000,-0.000003
190000000.000000,-0.000003
191000000.000000,-0.000002
192000000.000000,-0.000001
193000000.000000,-0.000001
194000000.000000,0.000000
195000000.000000,0.000001
196000000.000000,0.000002
197000000.000000,0.000002
198000000.000000,0.000001
199000000.000000,0.000003
200000000.000000,0.000004
201000000.000000,0.000003
202000000.000000,0.000003
203000000.000000,0.000003
204000000.000000,0.000004
205000000.000000,0.000004
206000000.000000,0.000004
207000000.000000,0.000004
208000000.000000,0.000003
209000000.000000,0.000004
210000000.000000,0.000004
211000000.000000,0.000006
212000000.000000,0.000005
213000000.000000,0.000005
214000000.000000,0.000005
215000000.000000,0.000006
216000000.000000,0.000007
217000000.000000,0.000006
218000000.000000,0.000007
219000000.000000,0.000006
220000000.000000,0.000007
221000000.000000,0.000008
222000000.000000,0.000008
223000000.000000,0.000009
224000000.000000,0.000010
225000000.000000,0.000011
226000000.000000,0.000011
227000000.000000,0.000011
228000000.000000,0.000011
229000000.000000,0.000011
230000000.000000,0.000011
231000000.000000,0.000011
232000000.000000,0.000012
233000000.000000,0.000011
234000000.000000,0.000011
235000000.000000,0.000011
236000000.000000,0.000011
237000000.000000,0.000010
238000000.000000,0.000010
239000000.000000,0.000011
240000000.000000,0.000011
241000000.000000,0.000011
242000000.000000,0.000011
243000000.000000,0.000011
244000000.000000,0.000011
245000000.000000,0.000012
246000000.000000,0.000012
247000000.000000,0.000012
248000000.000000,0.000012
249000000.000000,0.000010
250000000.000000,0.000010
251000000.000000,0.000010
252000000.000000,0.000011
253000000.000000,0.000011
254000000.000000,0.000011
255000000.000000,0.000011
256000000.000000,0.000011
257000000.000000,0.000010
258000000.000000,0.000010
259000000.000000,0.000010
260000000.000000,0.000011
261000000.000000,0.000010
262000000.000000,0.000009
263000000.000000,0.000009
264000000.000000,0.000009
265000000.000000,0.000008
266000000.000000,0.000008
267000000.000000,0.000008
268000000.000000,0.000008
269000000.000000,0.000007
270000000.000000,0.000007
271000000.000000,0.000006
272000000.000000,0.000006
273000000.000000,0.000007
274000000.000000,0.000007
275000000.000000,0.000007
276000000.000000,0.000007
277000000.000000,0.000006
278000000.000000,0.000005
279000000.000000,0.000006
280000000.000000,0.000006
281000000.000000,0.000006
282000000.000000,0.000005
283000000.000000,0.000005
284000000.000000,0.000005
285000000.000000,0.000004
286000000.000000,0.000005
287000000.000000,0.000004
288000000.000000,0.000005
289000000.000000,0.000004
290000000.000000,0.000004
291000000.000000,0.000005
292000000.000000,0.000005
293000000.000000,0.000005
294000000.000000,0.000005
295000000.000000,0.000006
296000000.000000,0.000005
297000000.000000,0.000004
298000000.000000,0.000004
299000000.000000,0.000004
300000000.000000,0.000003
301000000.000000,0.000003
302000000.000000,0.000004
303000000.000000,0.000003
304000000.000000,0.000003
305000000.000000,0.000002
306000000.000000,0.000001
307000000.000000,0.000001
308000000.000000,0.000000
309000000.000000,-0.000001
310000000.000000,-0.000000
311000000.000000,-0.000000
312000000.000000,-0.000001
313000000.000000,-0.000001
314000000.000000,-0.000001
315000000.000000,-0.000001
316000000.000000,-0.000002
317000000.000000,-0.000002
318000000.000000,-0.000002
319000000.000000,-0.000001
320000000.000000,-0.000001
321000000.000000,-0.000001
322000000.000000,-0.000002
323000000.000000,-0.000002
324000000.000000,-0.000002
325000000.000000,-0.000002
326000000.000000,-0.000002
327000000.000000,-0.000002
328000000.000000,-0.000002
329000000.000000,-0.000002
330000000.000000,-0.000002
331000000.000000,-0.000002
332000000.000000,-0.000002
333000000.000000,-0.000002
334000000.000000,-0.000002
335000000.000000,-0.000002
336000000.000000,-0.000001
337000000.000000,-0.000001
338000000.000000,-0.000001
339000000.000000,-0.000002
340000000.000000,-0.000003
341000000.000000,-0.000003
342000000.000000,-0.000002
343000000.000000,-0.000002
344000000.000000,-0.000001
345000000.000000,-0.000002
346000000.000000,-0.000003
347000000.000000,-0.000003
348000000.000000,-0.000003
349000000.000000,-0.000003
350000000.000000,-0.000003
351000000.000000,-0.000003
352000000.000000,-0.000003
353000000.000000,-0.000004
354000000.000000,-0.000004
355000000.000000,-0.000006
356000000.000000,-0.000005
357000000.000000,-0.000006
358000000.000000,-0.000006
359000000.000000,-0.000006
360000000.000000,-0.000006
361000000.000000,-0.000005
362000000.000000,-0.000006
363000000.000000,-0.000006
364000000.000000,-0.000007
365000000.000000,-0.000008
366000000.000000,-0.000008
367000000.000000,-0.000008
368000000.000000,-0.000008
369000000.000000,-0.000009
370000000.000000,-0.000008
371000000.000000,-0.000009
372000000.000000,-0.000010
373000000.000000,-0.000008
374000000.000000,-0.000009
375000000.000000,-0.000009
376000000.000000,-0.000007
377000000.000000,-0.000007
378000000.000000,-0.000006
379000000.000000,-0.000006
380000000.000000,-0.000006
381000000.000000,-0.000006
382000000.000000,-0.000005
383000000.000000,-0.000005
384000000.000000,-0.000005
385000000.000000,-0.000006
386000000.000000,-0.000005
387000000.000000,-0.000006
388000000.000000,-0.000006
389000000.000000,-0.000005
390000000.000000,-0.000005
391000000.000000,-0.000005
392000000.000000,-0.000004
393000000.000000,-0.000004
394000000.000000,-0.000005
395000000.000000,-0.000004
396000000.000000,-0.000004
397000000.000000,-0.000004
398000000.000000,-0.000005
399000000.000000,-0.000004
400000000.000000,-0.000004
401000000.000000,-0.000005
402000000.000000,-0.000005
403000000.000000,-0.000004
404000000.000000,-0.000003
405000000.000000,-0.000004
406000000.000000,-0.000004
407000000.000000,-0.000004
408000000.000000,-0.000003
409000000.000000,-0.000003
410000000.000000,-0.000003
411000000.000000,-0.000003
412000000.000000,-0.000003
413000000.000000,-0.000004
414000000.000000,-0.000003
415000000.000000,-0.000004
416000000.000000,-0.000004
417000000.000000,-0.000004
418000000.000000,-0.000004
419000000.000000,-0.000004
420000000.000000,-0.000004
421000000.000000,-0.000004
422000000.000000,-0.000003
423000000.000000,-0.000004
424000000.000000,-0.000002
425000000.000000,-0.000001
426000000.000000,-0.000001
427000000.000000,-0.000002
428000000.000000,-0.000001
429000000.000000,-0.000001
430000000.000000,0.000000
431000000.000000,0.000000
432000000.000000,0.000001
433000000.000000,0.000001
434000000.000000,0.000001
435000000.000000,0.000001
436000000.000000,0.000000
437000000.000000,0.000000
438000000.000000,0.000000
439000000.000000,0.000000
440000000.000000,0.000000
441000000.000000,0.000000
442000000.000000,-0.000000
443000000.000000,-0.000000
444000000.000000,0.000001
445000000.000000,0.000002
446000000.000000,0.000001
447000000.000000,0.000001
448000000.000000,0.000002
449000000.000000,0.000002
450000000.000000,0.000001
451000000.000000,0.000001
452000000.000000,0.000001
453000000.000000,0.000001
454000000.000000,0.000002
455000000.000000,0.000003
456000000.000000,0.000002
457000000.000000,0.000002
458000000.000000,0.000002
459000000.000000,0.000002
460000000.000000,0.000002
461000000.000000,0.000002
462000000.000000,0.000001
463000000.000000,0.000002
464000000.000000,0.000002
465000000.000000,0.000002
466000000.000000,0.000003
467000000.000000,0.000002
468000000.000000,0.000003
469000000.000000,0.000003
470000000.000000,0.000003
471000000.000000,0.000003
472000000.000000,0.000003
473000000.000000,0.000003
474000000.000000,0.000003
475000000.000000,0.000003
476000000.000000,0.000003
477000000.000000,0.000003
478000000.000000,0.000003
479000000.000000,0.000003
480000000.000000,0.000004
481000000.000000,0.000004
482000000.000000,0.000005
483000000.000000,0.000004
484000000.000000,0.000005
485000000.000000,0.000005
486000000.000000,0.000005
487000000.000000,0.000004
488000000.000000,0.000005
489000000.000000,0.000005
490000000.000000,0.000004
491000000.000000,0.000006
492000000.000000,0.000007
493000000.000000,0.000007
494000000.000000,0.000007
495000000.000000,0.000007
496000000.000000,0.000006
497000000.000000,0.000007
498000000.000000,0.000007
499000000.000000,0.000006
500000000.000000,0.000006
501000000.000000,0.000006
502000000.000000,0.000005
503000000.000000,0.000004
504000000.000000,0.000006
505000000.000000,0.000005
506000000.000000,0.000005
507000000.000000,0.000005
508000000.000000,0.000007
509000000.000000,0.000006
510000000.000000,0.000006
511000000.000000,0.000006
512000000.000000,0.000005
513000000.000000,0.000005
514000000.000000,0.000004
515000000.000000,0.000004
516000000.000000,0.000003
517000000.000000,0.000003
518000000.000000,0.000004
519000000.000000,0.000004
520000000.000000,0.000004
521000000.000000,0.000004
522000000.000000,0.000004
523000000.000000,0.000003
524000000.000000,0.000002
525000000.000000,0.000002
526000000.000000,0.000003
527000000.000000,0.000002
528000000.000000,0.000002
529000000.000000,0.000002
530000000.000000,0.000001
531000000.000000,0.000001
532000000.000000,0.000001
533000000.000000,0.000003
534000000.000000,0.000003
535000000.000000,0.000003
536000000.000000,0.000003
537000000.000000,0.000003
538000000.000000,0.000002
539000000.000000,0.000002
540000000.000000,0.000002
541000000.000000,0.000001
542000000.000000,0.000000
543000000.000000,-0.000000
544000000.000000,-0.000002
545000000.000000,-0.000001
546000000.000000,-0.000001
547000000.000000,-0.000000
548000000.000000,-0.000000
549000000.000000,-0.000000
550000000.000000,-0.000000
551000000.000000,-0.000001
552000000.000000,-0.000001
553000000.000000,-0.000001
554000000.000000,0.000000
555000000.000000,0.000001
556000000.000000,0.000001
557000000.000000,0.000001
558000000.000000,0.000001
559000000.000000,0.000001
560000000.000000,0.000002
561000000.000000,0.000001
562000000.000000,0.000001
563000000.000000,0.000001
564000000.000000,-0.000001
565000000.000000,-0.000001
566000000.000000,0.000000
567000000.000000,-0.000000
568000000.000000,-0.000000
569000000.000000,-0.000001
570000000.000000,-0.000000
571000000.000000,-0.000001
572000000.000000,-0.000002
573000000.000000,0.000000
574000000.000000,-0.000000
575000000.000000,-0.000001
576000000.000000,-0.000000
577000000.000000,-0.000000
578000000.000000,-0.000001
579000000.000000,-0.000001
580000000.000000,-0.000001
581000000.000000,-0.000001
582000000.000000,-0.000002
583000000.000000,-0.000001
584000000.000000,-0.000002
585000000.000000,-0.000001
586000000.000000,-0.000002
587000000.000000,-0.000001
588000000.000000,-0.000001
589000000.000000,-0.000001
590000000.000000,-0.000000
591000000.000000,-0.000000
592000000.000000,0.000000
593000000.000000,-0.000000
594000000.000000,-0.000000
595000000.000000,-0.000000
596000000.000000,-0.000001
597000000.000000,-0.000001
598000000.000000,-0.000000
599000000.000000,-0.000000
600000000.000000,0.000001
601000000.000000,0.000001
602000000.000000,0.000003
603000000.000000,0.000002
604000000.000000,0.000003
605000000.000000,0.000002
606000000.000000,0.000002
607000000.000000,0.000002
608000000.000000,0.000003
609000000.000000,0.000003
610000000.000000,0.000003
611000000.000000,0.000003
612000000.000000,0.000002
613000000.000000,0.000002
614000000.000000,0.000003
615000000.000000,0.000003
616000000.000000,0.000003
617000000.000000,0.000002
618000000.000000,0.000003
619000000.000000,0.000003
620000000.000000,0.000004
621000000.000000,0.000004
622000000.000000,0.000004
623000000.000000,0.000003
624000000.000000,0.000003
625000000.000000,0.000002
626000000.000000,0.000001
627000000.000000,0.000001
628000000.000000,-0.000000
629000000.000000,-0.000000
630000000.000000,-0.000000
631000000.000000,-0.000001
632000000.000000,-0.000000
633000000.000000,-0.000000
634000000.000000,-0.000000
635000000.000000,-0.000001
636000000.000000,-0.000001
637000000.000000,-0.000001
638000000.000000,-0.000000
639000000.000000,-0.000001
640000000.000000,-0.000000
641000000.000000,-0.000000
642000000.000000,-0.000002
643000000.000000,-0.000002
644000000.000000,-0.000002
645000000.000000,-0.000002
646000000.000000,-0.000002
647000000.000000,-0.000003
648000000.000000,-0.000002
649000000.000000,-0.000001
650000000.000000,-0.000001
651000000.000000,-0.000001
652000000.000000,-0.000001
653000000.000000,-0.000002
654000000.000000,-0.000002
655000000.000000,-0.000002
656000000.000000,-0.000001
657000000.000000,-0.000002
658000000.000000,-0.000002
659000000.000000,-0.000002
660000000.000000,-0.000002
661000000.000000,-0.000002
662000000.000000,-0.000001
663000000.000000,-0.000002
664000000.000000,-0.000002
665000000.000000,-0.000003
666000000.000000,-0.000002
667000000.000000,-0.000002
668000000.000000,-0.000002
