time (ms), position (nm), velocity (mm/s), acceleration (Å/ps^2)
0.000000,23.306386,-0.037839,-0.000000
0.005000,22.550810,-0.261409,-0.000000
0.010000,21.254703,-0.255503,-0.000000
0.015000,19.815368,-0.318005,-0.000000
0.020000,17.628021,-0.552567,-0.000000
0.025000,15.393982,-0.340464,-0.000000
0.030000,13.587792,-0.379733,-0.000000
0.035000,12.240313,-0.159640,-0.000000
0.040000,10.858483,-0.389643,-0.000000
0.045000,9.113234,-0.307339,-0.000000
0.050000,7.612634,-0.291477,-0.000000
0.055000,6.658715,-0.090774,-0.000000
0.060000,6.665877,0.092187,-0.000000
0.065000,6.536289,-0.141808,-0.000000
0.070000,6.262161,0.031053,-0.000000
0.075000,6.161669,-0.070195,-0.000000
0.080000,6.485299,0.197173,-0.000000
0.085000,7.415169,0.174200,-0.000000
0.090000,8.473799,0.247752,-0.000000
0.095000,9.280087,0.075602,-0.000000
0.100000,10.073026,0.239586,-0.000000
0.105000,10.932371,0.104651,-0.000000
0.110000,12.284357,0.432268,-0.000000
0.115000,14.674743,0.521083,-0.000000
0.120000,16.859031,0.352247,-0.000000
0.125000,18.025445,0.115502,-0.000000
0.130000,18.372037,0.023876,-0.000000
0.135000,18.519794,0.035287,-0.000000
0.140000,18.506250,-0.039756,-0.000000
0.145000,18.513179,0.042124,-0.000000
0.150000,18.199620,-0.165195,-0.000000
0.155000,17.481887,-0.121302,-0.000000
0.160000,17.478270,0.118109,-0.000000
0.165000,18.435843,0.263071,-0.000000
0.170000,20.177532,0.430840,-0.000000
0.175000,21.875695,0.248699,-0.000000
0.180000,23.165740,0.266309,-0.000000
0.185000,23.965209,0.054894,-0.000000
0.190000,23.853081,-0.097956,-0.000000
0.195000,23.581956,-0.010596,-0.000000
0.200000,23.304447,-0.099017,-0.000000
0.205000,22.431755,-0.247603,-0.000000
0.210000,20.619698,-0.473240,-0.000000
0.215000,18.406495,-0.410164,-0.000000
0.220000,16.385390,-0.396200,-0.000000
0.225000,14.194720,-0.477058,-0.000000
0.230000,11.358235,-0.653146,-0.000000
0.235000,8.198595,-0.607939,-0.000000
0.240000,5.570947,-0.441925,-0.000000
0.245000,3.590760,-0.348986,-0.000000
0.250000,2.271232,-0.178969,-0.000000
0.255000,1.247515,-0.229094,-0.000000
0.260000,-0.128410,-0.319198,0.000000
0.265000,-1.786674,-0.342354,0.000000
0.270000,-3.020590,-0.151699,0.000000
0.275000,-4.278902,-0.348819,0.000000
0.280000,-5.946399,-0.316951,0.000000
0.285000,-7.334245,-0.237651,0.000000
0.290000,-8.494001,-0.225383,0.000000
0.295000,-9.303359,-0.098810,0.000000
0.300000,-9.581377,-0.013014,0.000000
0.305000,-9.502237,0.043957,0.000000
0.310000,-8.844548,0.216880,0.000000
0.315000,-7.596932,0.280313,0.000000
0.320000,-5.903391,0.394421,0.000000
0.325000,-3.952678,0.384023,0.000000
0.330000,-2.234516,0.302256,0.000000
0.335000,-0.634804,0.335804,0.000000
0.340000,0.702512,0.199016,-0.000000
0.345000,1.696934,0.197839,-0.000000
0.350000,2.646994,0.181458,-0.000000
0.355000,3.795415,0.276071,-0.000000
0.360000,4.505004,0.009421,-0.000000
0.365000,4.641878,0.044971,-0.000000
0.370000,4.566171,-0.074097,-0.000000
0.375000,4.433834,0.020557,-0.000000
0.380000,4.595816,0.043956,-0.000000
0.385000,4.681976,-0.009049,-0.000000
0.390000,4.342280,-0.125446,-0.000000
0.395000,3.342948,-0.272032,-0.000000
0.400000,1.852224,-0.322375,-0.000000
0.405000,0.518972,-0.210591,-0.000000
0.410000,-0.977799,-0.385220,0.000000
0.415000,-2.666538,-0.289516,0.000000
0.420000,-4.515234,-0.446931,0.000000
0.425000,-6.038919,-0.163587,0.000000
0.430000,-7.252593,-0.319515,0.000000
0.435000,-9.402371,-0.536649,0.000000
0.440000,-12.241607,-0.596023,0.000000
0.445000,-15.462630,-0.688767,0.000000
0.450000,-18.677899,-0.595359,0.000000
0.455000,-21.456525,-0.514466,0.000000
0.460000,-23.187498,-0.179484,0.000000
0.465000,-23.638283,-0.002283,0.000000
0.470000,-23.379382,0.104315,0.000000
0.475000,-22.520391,0.236972,0.000000
0.480000,-21.288633,0.254066,0.000000
0.485000,-20.187971,0.185404,0.000000
0.490000,-19.115543,0.241756,0.000000
0.495000,-18.546810,-0.012944,0.000000
0.500000,-17.961368,0.244091,0.000000
0.505000,-16.391915,0.380765,0.000000
0.510000,-14.888111,0.220439,0.000000
0.515000,-13.940636,0.157951,0.000000
0.520000,-12.792666,0.298738,0.000000
0.525000,-10.794910,0.496600,0.000000
0.530000,-8.137930,0.562956,0.000000
0.535000,-5.879960,0.339871,0.000000
0.540000,-4.085029,0.376012,0.000000
0.545000,-2.075491,0.425428,0.000000
0.550000,0.198875,0.481670,-0.000000
0.555000,2.251528,0.338678,-0.000000
0.560000,4.160743,0.422537,-0.000000
0.565000,6.036514,0.326886,-0.000000
0.570000,7.256728,0.161552,-0.000000
0.575000,8.128049,0.186066,-0.000000
0.580000,8.662156,0.028542,-0.000000
0.585000,9.485355,0.297817,-0.000000
0.590000,11.211101,0.390227,-0.000000
0.595000,13.155097,0.385762,-0.000000
0.600000,15.530101,0.560733,-0.000000
0.605000,18.452739,0.605444,-0.000000
0.610000,21.766686,0.716374,-0.000000
0.615000,24.526430,0.388065,-0.000000
0.620000,26.261254,0.305330,-0.000000
0.625000,27.919377,0.356350,-0.000000
0.630000,29.811572,0.398838,-0.000000
0.635000,31.790937,0.391588,-0.000000
0.640000,33.554404,0.313316,-0.000000
0.645000,34.811525,0.189938,-0.000000
0.650000,35.610343,0.129908,-0.000000
0.655000,35.713986,-0.086142,-0.000000
0.660000,35.221359,-0.109671,-0.000000
0.665000,34.438888,-0.201237,-0.000000
0.670000,33.274361,-0.262405,-0.000000
0.675000,31.241701,-0.545807,-0.000000
0.680000,28.174845,-0.676440,-0.000000
0.685000,24.539424,-0.773036,-0.000000
0.690000,20.697370,-0.759889,-0.000000
0.695000,16.586187,-0.879371,-0.000000
0.700000,11.184714,-1.272535,-0.000000
0.705000,4.633626,-1.340979,-0.000000
0.710000,-2.290270,-1.421312,0.000000
0.715000,-9.667466,-1.521813,0.000000
0.720000,-17.261339,-1.508860,0.000000
0.725000,-24.591545,-1.417384,0.000000
0.730000,-31.901422,-1.499393,0.000000
0.735000,-39.134319,-1.388419,0.000000
0.740000,-46.120130,-1.399868,0.000000
0.745000,-52.660142,-1.212320,0.000000
0.750000,-58.202902,-1.002202,0.000000
0.755000,-62.793118,-0.831949,0.000000
0.760000,-66.483862,-0.643487,0.000000
0.765000,-69.517911,-0.568981,0.000000
