frequencies, power
-199.997778,0.000446
-199.993333,0.000745
-199.988889,0.002203
-199.984445,0.001132
-199.980000,0.000154
-199.975556,0.000308
-199.971111,0.000178
-199.966667,0.001186
-199.962223,0.000146
-199.957778,0.000753
-199.953334,0.001068
-199.948889,0.001219
-199.944445,0.000379
-199.940001,0.000767
-199.935556,0.000601
-199.931112,0.002491
-199.926667,0.001259
-199.922223,0.001168
-199.917779,0.000523
-199.913334,0.000288
-199.908890,0.002515
-199.904446,0.001136
-199.900001,0.001150
-199.895557,0.000226
-199.891112,0.000838
-199.886668,0.000490
-199.882224,0.001600
-199.877779,0.000212
-199.873335,0.000790
-199.868890,0.000905
-199.864446,0.001498
-199.860002,0.000732
-199.855557,0.000429
-199.851113,0.001439
-199.846668,0.000480
-199.842224,0.001282
-199.837780,0.002285
-199.833335,0.002752
-199.828891,0.000546
-199.824446,0.000340
-199.820002,0.000796
-199.815558,0.000383
-199.811113,0.000698
-199.806669,0.000314
-199.802224,0.000087
-199.797780,0.000005
-199.793336,0.000110
-199.788891,0.000026
-199.784447,0.001255
-199.780002,0.000241
-199.775558,0.000083
-199.771114,0.000407
-199.766669,0.000125
-199.762225,0.000183
-199.757780,0.000602
-199.753336,0.000668
-199.748892,0.001442
-199.744447,0.000245
-199.740003,0.000985
-199.735558,0.000774
-199.731114,0.001545
-199.726670,0.000222
-199.722225,0.000089
-199.717781,0.000607
-199.713337,0.002955
-199.708892,0.000223
-199.704448,0.003877
-199.700003,0.000480
-199.695559,0.000909
-199.691115,0.000374
-199.686670,0.000009
-199.682226,0.002699
-199.677781,0.004212
-199.673337,0.001504
-199.668893,0.000813
-199.664448,0.001519
-199.660004,0.000588
-199.655559,0.001901
-199.651115,0.002624
-199.646671,0.000853
-199.642226,0.000088
-199.637782,0.000223
-199.633337,0.000229
-199.628893,0.001033
-199.624449,0.001587
-199.620004,0.001336
-199.615560,0.001309
-199.611115,0.001862
-199.606671,0.001903
-199.602227,0.000109
-199.597782,0.000029
-199.593338,0.001747
-199.588893,0.000419
-199.584449,0.000054
-199.580005,0.000580
-199.575560,0.001921
-199.571116,0.000545
-199.566671,0.000591
-199.562227,0.002117
-199.557783,0.001674
-199.553338,0.000006
-199.548894,0.000585
-199.544450,0.000718
-199.540005,0.002034
-199.535561,0.000306
-199.531116,0.000101
-199.526672,0.000460
-199.522228,0.000712
-199.517783,0.000185
-199.513339,0.002223
-199.508894,0.000064
-199.504450,0.000980
-199.500006,0.000008
-199.495561,0.001166
-199.491117,0.001090
-199.486672,0.000986
-199.482228,0.001172
-199.477784,0.002691
-199.473339,0.003107
-199.468895,0.000615
-199.464450,0.000272
-199.460006,0.000371
-199.455562,0.001727
-199.451117,0.001257
-199.446673,0.000590
-199.442228,0.000538
-199.437784,0.000451
-199.433340,0.000820
-199.428895,0.000011
-199.424451,0.000222
-199.420006,0.001002
-199.415562,0.000420
-199.411118,0.001254
-199.406673,0.000268
-199.402229,0.000177
-199.397784,0.000326
-199.393340,0.000201
-199.388896,0.000341
-199.384451,0.000065
-199.380007,0.000024
-199.375562,0.001166
-199.371118,0.000034
-199.366674,0.000536
-199.362229,0.000348
-199.357785,0.000093
-199.353341,0.000703
-199.348896,0.001334
-199.344452,0.000933
-199.340007,0.000053
-199.335563,0.000541
-199.331119,0.001067
-199.326674,0.000254
-199.322230,0.000121
-199.317785,0.001175
-199.313341,0.001863
-199.308897,0.000123
-199.304452,0.000914
-199.300008,0.000498
-199.295563,0.000241
-199.291119,0.000368
-199.286675,0.001346
-199.282230,0.000543
-199.277786,0.000890
-199.273341,0.002451
-199.268897,0.000276
-199.264453,0.000584
-199.260008,0.000259
-199.255564,0.000694
-199.251119,0.001290
-199.246675,0.000101
-199.242231,0.000873
-199.237786,0.000025
-199.233342,0.000260
-199.228897,0.000128
-199.224453,0.001422
-199.220009,0.001460
-199.215564,0.000432
-199.211120,0.002435
-199.206675,0.000983
-199.202231,0.001558
-199.197787,0.002663
-199.193342,0.000744
-199.188898,0.000615
-199.184454,0.000384
-199.180009,0.002052
-199.175565,0.000701
-199.171120,0.000372
-199.166676,0.000746
-199.162232,0.000279
-199.157787,0.000700
-199.153343,0.000563
-199.148898,0.000598
-199.144454,0.000968
-199.140010,0.001446
-199.135565,0.000596
-199.131121,0.002707
-199.126676,0.000243
-199.122232,0.000124
-199.117788,0.000801
-199.113343,0.000075
-199.108899,0.000407
-199.104454,0.000400
-199.100010,0.000068
-199.095566,0.000345
-199.091121,0.001174
-199.086677,0.001955
-199.082232,0.000876
-199.077788,0.000247
-199.073344,0.000518
-199.068899,0.000181
-199.064455,0.000015
-199.060010,0.000494
-199.055566,0.000157
-199.051122,0.000631
-199.046677,0.004123
-199.042233,0.000116
-199.037788,0.000369
-199.033344,0.000124
-199.028900,0.001200
-199.024455,0.000869
-199.020011,0.000156
-199.015566,0.000034
-199.011122,0.000074
-199.006678,0.000003
-199.002233,0.000149
-198.997789,0.000449
-198.993345,0.000280
-198.988900,0.001741
-198.984456,0.000163
-198.980011,0.000189
-198.975567,0.000485
-198.971123,0.000194
-198.966678,0.000656
-198.962234,0.000402
-198.957789,0.000007
-198.953345,0.000481
-198.948901,0.000090
-198.944456,0.000466
-198.940012,0.000794
-198.935567,0.000721
-198.931123,0.000148
-198.926679,0.002281
-198.922234,0.000065
-198.917790,0.004657
-198.913345,0.002227
-198.908901,0.000289
-198.904457,0.000187
-198.900012,0.000485
-198.895568,0.000635
-198.891123,0.000606
-198.886679,0.001284
-198.882235,0.000156
-198.877790,0.001770
-198.873346,0.000705
-198.868901,0.000920
-198.864457,0.003324
-198.860013,0.000263
-198.855568,0.002444
-198.851124,0.001038
-198.846679,0.003473
-198.842235,0.000532
-198.837791,0.003835
-198.833346,0.002718
-198.828902,0.001197
-198.824458,0.000343
-198.820013,0.000012
-198.815569,0.000442
-198.811124,0.000393
-198.806680,0.000382
-198.802236,0.000940
-198.797791,0.000044
-198.793347,0.001131
-198.788902,0.001043
-198.784458,0.001844
-198.780014,0.003266
-198.775569,0.000998
-198.771125,0.000835
-198.766680,0.001147
-198.762236,0.000388
-198.757792,0.000026
-198.753347,0.001263
-198.748903,0.000845
-198.744458,0.001356
-198.740014,0.001602
-198.735570,0.000173
-198.731125,0.001018
-198.726681,0.001730
-198.722236,0.001037
-198.717792,0.000352
