frequencies, power
-19.999778,0.000446
-19.999333,0.000745
-19.998889,0.002203
-19.998444,0.001132
-19.998000,0.000154
-19.997556,0.000308
-19.997111,0.000178
-19.996667,0.001186
-19.996222,0.000146
-19.995778,0.000753
-19.995333,0.001068
-19.994889,0.001219
-19.994445,0.000379
-19.994000,0.000767
-19.993556,0.000601
-19.993111,0.002491
-19.992667,0.001259
-19.992222,0.001168
-19.991778,0.000523
-19.991333,0.000288
-19.990889,0.002515
-19.990445,0.001136
-19.990000,0.001150
-19.989556,0.000226
-19.989111,0.000838
-19.988667,0.000490
-19.988222,0.001600
-19.987778,0.000212
-19.987333,0.000790
-19.986889,0.000905
-19.986445,0.001498
-19.986000,0.000732
-19.985556,0.000429
-19.985111,0.001439
-19.984667,0.000480
-19.984222,0.001282
-19.983778,0.002285
-19.983334,0.002752
-19.982889,0.000546
-19.982445,0.000340
-19.982000,0.000796
-19.981556,0.000383
-19.981111,0.000698
-19.980667,0.000314
-19.980222,0.000087
-19.979778,0.000005
-19.979334,0.000110
-19.978889,0.000026
-19.978445,0.001255
-19.978000,0.000241
-19.977556,0.000083
-19.977111,0.000407
-19.976667,0.000125
-19.976222,0.000183
-19.975778,0.000602
-19.975334,0.000668
-19.974889,0.001442
-19.974445,0.000245
-19.974000,0.000985
-19.973556,0.000774
-19.973111,0.001545
-19.972667,0.000222
-19.972223,0.000089
-19.971778,0.000607
-19.971334,0.002955
-19.970889,0.000223
-19.970445,0.003877
-19.970000,0.000480
-19.969556,0.000909
-19.969111,0.000374
-19.968667,0.000009
-19.968223,0.002699
-19.967778,0.004212
-19.967334,0.001504
-19.966889,0.000813
-19.966445,0.001519
-19.966000,0.000588
-19.965556,0.001901
-19.965111,0.002624
-19.964667,0.000853
-19.964223,0.000088
-19.963778,0.000223
-19.963334,0.000229
-19.962889,0.001033
-19.962445,0.001587
-19.962000,0.001336
-19.961556,0.001309
-19.961112,0.001862
-19.960667,0.001903
-19.960223,0.000109
-19.959778,0.000029
-19.959334,0.001747
-19.958889,0.000419
-19.958445,0.000054
-19.958000,0.000580
-19.957556,0.001921
-19.957112,0.000545
-19.956667,0.000591
-19.956223,0.002117
-19.955778,0.001674
-19.955334,0.000006
-19.954889,0.000585
-19.954445,0.000718
-19.954001,0.002034
-19.953556,0.000306
-19.953112,0.000101
-19.952667,0.000460
-19.952223,0.000712
-19.951778,0.000185
-19.951334,0.002223
-19.950889,0.000064
-19.950445,0.000980
-19.950001,0.000008
-19.949556,0.001166
-19.949112,0.001090
-19.948667,0.000986
-19.948223,0.001172
-19.947778,0.002691
-19.947334,0.003107
-19.946889,0.000615
-19.946445,0.000272
-19.946001,0.000371
-19.945556,0.001727
-19.945112,0.001257
-19.944667,0.000590
-19.944223,0.000538
-19.943778,0.000451
-19.943334,0.000820
-19.942890,0.000011
-19.942445,0.000222
-19.942001,0.001002
-19.941556,0.000420
-19.941112,0.001254
-19.940667,0.000268
-19.940223,0.000177
-19.939778,0.000326
-19.939334,0.000201
-19.938890,0.000341
-19.938445,0.000065
-19.938001,0.000024
-19.937556,0.001166
-19.937112,0.000034
-19.936667,0.000536
-19.936223,0.000348
-19.935778,0.000093
-19.935334,0.000703
-19.934890,0.001334
-19.934445,0.000933
-19.934001,0.000053
-19.933556,0.000541
-19.933112,0.001067
-19.932667,0.000254
-19.932223,0.000121
-19.931779,0.001175
-19.931334,0.001863
-19.930890,0.000123
-19.930445,0.000914
-19.930001,0.000498
-19.929556,0.000241
-19.929112,0.000368
-19.928667,0.001346
-19.928223,0.000543
-19.927779,0.000890
-19.927334,0.002451
-19.926890,0.000276
-19.926445,0.000584
-19.926001,0.000259
-19.925556,0.000694
-19.925112,0.001290
-19.924668,0.000101
-19.924223,0.000873
-19.923779,0.000025
-19.923334,0.000260
-19.922890,0.000128
-19.922445,0.001422
-19.922001,0.001460
-19.921556,0.000432
-19.921112,0.002435
-19.920668,0.000983
-19.920223,0.001558
-19.919779,0.002663
-19.919334,0.000744
-19.918890,0.000615
-19.918445,0.000384
-19.918001,0.002052
-19.917556,0.000701
-19.917112,0.000372
-19.916668,0.000746
-19.916223,0.000279
-19.915779,0.000700
-19.915334,0.000563
-19.914890,0.000598
-19.914445,0.000968
-19.914001,0.001446
-19.913557,0.000596
-19.913112,0.002707
-19.912668,0.000243
-19.912223,0.000124
-19.911779,0.000801
-19.911334,0.000075
-19.910890,0.000407
-19.910445,0.000400
-19.910001,0.000068
-19.909557,0.000345
-19.909112,0.001174
-19.908668,0.001955
-19.908223,0.000876
-19.907779,0.000247
-19.907334,0.000518
-19.906890,0.000181
-19.906445,0.000015
-19.906001,0.000494
-19.905557,0.000157
-19.905112,0.000631
-19.904668,0.004123
-19.904223,0.000116
-19.903779,0.000369
-19.903334,0.000124
-19.902890,0.001200
-19.902446,0.000869
-19.902001,0.000156
-19.901557,0.000034
-19.901112,0.000074
-19.900668,0.000003
-19.900223,0.000149
-19.899779,0.000449
-19.899334,0.000280
-19.898890,0.001741
-19.898446,0.000163
-19.898001,0.000189
-19.897557,0.000485
-19.897112,0.000194
-19.896668,0.000656
-19.896223,0.000402
-19.895779,0.000007
-19.895334,0.000481
-19.894890,0.000090
-19.894446,0.000466
-19.894001,0.000794
-19.893557,0.000721
-19.893112,0.000148
-19.892668,0.002281
-19.892223,0.000065
-19.891779,0.004657
-19.891335,0.002227
-19.890890,0.000289
-19.890446,0.000187
-19.890001,0.000485
-19.889557,0.000635
-19.889112,0.000606
-19.888668,0.001284
-19.888223,0.000156
-19.887779,0.001770
-19.887335,0.000705
-19.886890,0.000920
-19.886446,0.003324
-19.886001,0.000263
-19.885557,0.002444
-19.885112,0.001038
