frequencies, power
-499.994445,0.000446
-499.983334,0.000745
-499.972223,0.002203
-499.961112,0.001132
-499.950001,0.000154
-499.938890,0.000308
-499.927779,0.000178
-499.916668,0.001186
-499.905557,0.000146
-499.894446,0.000753
-499.883335,0.001068
-499.872224,0.001219
-499.861113,0.000379
-499.850002,0.000767
-499.838891,0.000601
-499.827780,0.002491
-499.816669,0.001259
-499.805558,0.001168
-499.794447,0.000523
-499.783336,0.000288
-499.772225,0.002515
-499.761114,0.001136
-499.750003,0.001150
-499.738892,0.000226
-499.727781,0.000838
-499.716670,0.000490
-499.705559,0.001600
-499.694448,0.000212
-499.683337,0.000790
-499.672226,0.000905
-499.661115,0.001498
-499.650004,0.000732
-499.638893,0.000429
-499.627782,0.001439
-499.616671,0.000480
-499.605560,0.001282
-499.594449,0.002285
-499.583338,0.002752
-499.572227,0.000546
-499.561116,0.000340
-499.550005,0.000796
-499.538894,0.000383
-499.527783,0.000698
-499.516672,0.000314
-499.505561,0.000087
-499.494450,0.000005
-499.483339,0.000110
-499.472228,0.000026
-499.461117,0.001255
-499.450006,0.000241
-499.438895,0.000083
-499.427784,0.000407
-499.416673,0.000125
-499.405562,0.000183
-499.394451,0.000602
-499.383340,0.000668
-499.372229,0.001442
-499.361118,0.000245
-499.350007,0.000985
-499.338896,0.000774
-499.327785,0.001545
-499.316674,0.000222
-499.305563,0.000089
-499.294452,0.000607
-499.283341,0.002955
-499.272230,0.000223
-499.261119,0.003877
-499.250008,0.000480
-499.238897,0.000909
-499.227786,0.000374
-499.216675,0.000009
-499.205564,0.002699
-499.194453,0.004212
-499.183342,0.001504
-499.172231,0.000813
-499.161120,0.001519
-499.150009,0.000588
-499.138898,0.001901
-499.127787,0.002624
-499.116676,0.000853
-499.105565,0.000088
-499.094455,0.000223
-499.083344,0.000229
-499.072233,0.001033
-499.061122,0.001587
-499.050011,0.001336
-499.038900,0.001309
-499.027789,0.001862
-499.016678,0.001903
-499.005567,0.000109
-498.994456,0.000029
-498.983345,0.001747
-498.972234,0.000419
-498.961123,0.000054
-498.950012,0.000580
-498.938901,0.001921
-498.927790,0.000545
-498.916679,0.000591
-498.905568,0.002117
-498.894457,0.001674
-498.883346,0.000006
-498.872235,0.000585
-498.861124,0.000718
-498.850013,0.002034
-498.838902,0.000306
-498.827791,0.000101
-498.816680,0.000460
-498.805569,0.000712
-498.794458,0.000185
-498.783347,0.002223
-498.772236,0.000064
-498.761125,0.000980
-498.750014,0.000008
-498.738903,0.001166
-498.727792,0.001090
-498.716681,0.000986
-498.705570,0.001172
-498.694459,0.002691
-498.683348,0.003107
-498.672237,0.000615
-498.661126,0.000272
-498.650015,0.000371
-498.638904,0.001727
-498.627793,0.001257
-498.616682,0.000590
-498.605571,0.000538
-498.594460,0.000451
-498.583349,0.000820
-498.572238,0.000011
-498.561127,0.000222
-498.550016,0.001002
-498.538905,0.000420
-498.527794,0.001254
-498.516683,0.000268
-498.505572,0.000177
-498.494461,0.000326
-498.483350,0.000201
-498.472239,0.000341
-498.461128,0.000065
-498.450017,0.000024
-498.438906,0.001166
-498.427795,0.000034
-498.416684,0.000536
-498.405573,0.000348
-498.394462,0.000093
-498.383351,0.000703
-498.372240,0.001334
-498.361129,0.000933
-498.350018,0.000053
-498.338907,0.000541
-498.327796,0.001067
-498.316685,0.000254
-498.305574,0.000121
-498.294463,0.001175
-498.283352,0.001863
-498.272241,0.000123
-498.261130,0.000914
-498.250019,0.000498
-498.238908,0.000241
-498.227797,0.000368
-498.216686,0.001346
-498.205575,0.000543
-498.194465,0.000890
-498.183354,0.002451
-498.172243,0.000276
-498.161132,0.000584
-498.150021,0.000259
-498.138910,0.000694
-498.127799,0.001290
-498.116688,0.000101
-498.105577,0.000873
-498.094466,0.000025
-498.083355,0.000260
-498.072244,0.000128
-498.061133,0.001422
-498.050022,0.001460
-498.038911,0.000432
-498.027800,0.002435
-498.016689,0.000983
-498.005578,0.001558
-497.994467,0.002663
-497.983356,0.000744
-497.972245,0.000615
-497.961134,0.000384
-497.950023,0.002052
-497.938912,0.000701
-497.927801,0.000372
-497.916690,0.000746
-497.905579,0.000279
-497.894468,0.000700
-497.883357,0.000563
-497.872246,0.000598
-497.861135,0.000968
-497.850024,0.001446
-497.838913,0.000596
-497.827802,0.002707
-497.816691,0.000243
-497.805580,0.000124
-497.794469,0.000801
-497.783358,0.000075
-497.772247,0.000407
-497.761136,0.000400
-497.750025,0.000068
-497.738914,0.000345
-497.727803,0.001174
-497.716692,0.001955
-497.705581,0.000876
-497.694470,0.000247
-497.683359,0.000518
-497.672248,0.000181
-497.661137,0.000015
-497.650026,0.000494
-497.638915,0.000157
-497.627804,0.000631
-497.616693,0.004123
-497.605582,0.000116
-497.594471,0.000369
-497.583360,0.000124
-497.572249,0.001200
-497.561138,0.000869
-497.550027,0.000156
-497.538916,0.000034
-497.527805,0.000074
-497.516694,0.000003
-497.505583,0.000149
-497.494472,0.000449
-497.483361,0.000280
-497.472250,0.001741
-497.461139,0.000163
-497.450028,0.000189
-497.438917,0.000485
-497.427806,0.000194
-497.416695,0.000656
-497.405584,0.000402
-497.394473,0.000007
-497.383362,0.000481
-497.372251,0.000090
-497.361140,0.000466
-497.350029,0.000794
-497.338918,0.000721
-497.327807,0.000148
-497.316696,0.002281
-497.305585,0.000065
-497.294475,0.004657
-497.283364,0.002227
-497.272253,0.000289
-497.261142,0.000187
-497.250031,0.000485
-497.238920,0.000635
-497.227809,0.000606
-497.216698,0.001284
-497.205587,0.000156
-497.194476,0.001770
-497.183365,0.000705
-497.172254,0.000920
-497.161143,0.003324
-497.150032,0.000263
-497.138921,0.002444
-497.127810,0.001038
-497.116699,0.003473
-497.105588,0.000532
-497.094477,0.003835
-497.083366,0.002718
-497.072255,0.001197
-497.061144,0.000343
-497.050033,0.000012
-497.038922,0.000442
-497.027811,0.000393
-497.016700,0.000382
-497.005589,0.000940
-496.994478,0.000044
-496.983367,0.001131
-496.972256,0.001043
-496.961145,0.001844
-496.950034,0.003266
-496.938923,0.000998
-496.927812,0.000835
-496.916701,0.001147
-496.905590,0.000388
-496.894479,0.000026
-496.883368,0.001263
-496.872257,0.000845
-496.861146,0.001356
-496.850035,0.001602
-496.838924,0.000173
-496.827813,0.001018
-496.816702,0.001730
-496.805591,0.001037
-496.794480,0.000352
-496.783369,0.000993
-496.772258,0.000140
-496.761147,0.000455
-496.750036,0.000558
-496.738925,0.001592
-496.727814,0.000566
-496.716703,0.000572
-496.705592,0.000789
-496.694481,0.000518
-496.683370,0.000384
-496.672259,0.000419
-496.661148,0.000134
-496.650037,0.000539
-496.638926,0.000253
-496.627815,0.000769
-496.616704,0.001828
-496.605593,0.000952
-496.594482,0.000971
-496.583371,0.001489
-496.572260,0.001234
-496.561149,0.000137
-496.550038,0.001088
-496.538927,0.000764
-496.527816,0.000856
-496.516705,0.000189
