frequencies, power
-99.998889,0.000446
-99.996667,0.000745
-99.994445,0.002203
-99.992222,0.001132
-99.990000,0.000154
-99.987778,0.000308
-99.985556,0.000178
-99.983334,0.001186
-99.981111,0.000146
-99.978889,0.000753
-99.976667,0.001068
-99.974445,0.001219
-99.972223,0.000379
-99.970000,0.000767
-99.967778,0.000601
-99.965556,0.002491
-99.963334,0.001259
-99.961112,0.001168
-99.958889,0.000523
-99.956667,0.000288
-99.954445,0.002515
-99.952223,0.001136
-99.950001,0.001150
-99.947778,0.000226
-99.945556,0.000838
-99.943334,0.000490
-99.941112,0.001600
-99.938890,0.000212
-99.936667,0.000790
-99.934445,0.000905
-99.932223,0.001498
-99.930001,0.000732
-99.927779,0.000429
-99.925556,0.001439
-99.923334,0.000480
-99.921112,0.001282
-99.918890,0.002285
-99.916668,0.002752
-99.914445,0.000546
-99.912223,0.000340
-99.910001,0.000796
-99.907779,0.000383
-99.905557,0.000698
-99.903334,0.000314
-99.901112,0.000087
-99.898890,0.000005
-99.896668,0.000110
-99.894446,0.000026
-99.892223,0.001255
-99.890001,0.000241
-99.887779,0.000083
-99.885557,0.000407
-99.883335,0.000125
-99.881112,0.000183
-99.878890,0.000602
-99.876668,0.000668
-99.874446,0.001442
-99.872224,0.000245
-99.870001,0.000985
-99.867779,0.000774
-99.865557,0.001545
-99.863335,0.000222
-99.861113,0.000089
-99.858890,0.000607
-99.856668,0.002955
-99.854446,0.000223
-99.852224,0.003877
-99.850002,0.000480
-99.847779,0.000909
-99.845557,0.000374
-99.843335,0.000009
-99.841113,0.002699
-99.838891,0.004212
-99.836668,0.001504
-99.834446,0.000813
-99.832224,0.001519
-99.830002,0.000588
-99.827780,0.001901
-99.825557,0.002624
-99.823335,0.000853
-99.821113,0.000088
-99.818891,0.000223
-99.816669,0.000229
-99.814447,0.001033
-99.812224,0.001587
-99.810002,0.001336
-99.807780,0.001309
-99.805558,0.001862
-99.803336,0.001903
-99.801113,0.000109
-99.798891,0.000029
-99.796669,0.001747
-99.794447,0.000419
-99.792225,0.000054
-99.790002,0.000580
-99.787780,0.001921
-99.785558,0.000545
-99.783336,0.000591
-99.781114,0.002117
-99.778891,0.001674
-99.776669,0.000006
-99.774447,0.000585
-99.772225,0.000718
-99.770003,0.002034
-99.767780,0.000306
-99.765558,0.000101
-99.763336,0.000460
-99.761114,0.000712
-99.758892,0.000185
-99.756669,0.002223
-99.754447,0.000064
-99.752225,0.000980
-99.750003,0.000008
-99.747781,0.001166
-99.745558,0.001090
-99.743336,0.000986
-99.741114,0.001172
-99.738892,0.002691
-99.736670,0.003107
-99.734447,0.000615
-99.732225,0.000272
-99.730003,0.000371
-99.727781,0.001727
-99.725559,0.001257
-99.723336,0.000590
-99.721114,0.000538
-99.718892,0.000451
-99.716670,0.000820
-99.714448,0.000011
-99.712225,0.000222
-99.710003,0.001002
-99.707781,0.000420
-99.705559,0.001254
-99.703337,0.000268
-99.701114,0.000177
-99.698892,0.000326
-99.696670,0.000201
-99.694448,0.000341
-99.692226,0.000065
-99.690003,0.000024
-99.687781,0.001166
-99.685559,0.000034
-99.683337,0.000536
-99.681115,0.000348
-99.678892,0.000093
-99.676670,0.000703
-99.674448,0.001334
-99.672226,0.000933
-99.670004,0.000053
-99.667781,0.000541
-99.665559,0.001067
-99.663337,0.000254
-99.661115,0.000121
-99.658893,0.001175
-99.656670,0.001863
-99.654448,0.000123
-99.652226,0.000914
-99.650004,0.000498
-99.647782,0.000241
-99.645559,0.000368
-99.643337,0.001346
-99.641115,0.000543
-99.638893,0.000890
-99.636671,0.002451
-99.634449,0.000276
-99.632226,0.000584
-99.630004,0.000259
-99.627782,0.000694
-99.625560,0.001290
-99.623338,0.000101
-99.621115,0.000873
-99.618893,0.000025
-99.616671,0.000260
-99.614449,0.000128
-99.612227,0.001422
-99.610004,0.001460
-99.607782,0.000432
-99.605560,0.002435
-99.603338,0.000983
-99.601116,0.001558
-99.598893,0.002663
-99.596671,0.000744
-99.594449,0.000615
-99.592227,0.000384
-99.590005,0.002052
-99.587782,0.000701
-99.585560,0.000372
-99.583338,0.000746
-99.581116,0.000279
-99.578894,0.000700
-99.576671,0.000563
-99.574449,0.000598
-99.572227,0.000968
-99.570005,0.001446
-99.567783,0.000596
-99.565560,0.002707
-99.563338,0.000243
-99.561116,0.000124
-99.558894,0.000801
-99.556672,0.000075
-99.554449,0.000407
-99.552227,0.000400
-99.550005,0.000068
-99.547783,0.000345
-99.545561,0.001174
-99.543338,0.001955
-99.541116,0.000876
-99.538894,0.000247
-99.536672,0.000518
-99.534450,0.000181
-99.532227,0.000015
-99.530005,0.000494
-99.527783,0.000157
-99.525561,0.000631
-99.523339,0.004123
-99.521116,0.000116
-99.518894,0.000369
-99.516672,0.000124
-99.514450,0.001200
-99.512228,0.000869
-99.510005,0.000156
-99.507783,0.000034
-99.505561,0.000074
-99.503339,0.000003
-99.501117,0.000149
-99.498894,0.000449
-99.496672,0.000280
-99.494450,0.001741
-99.492228,0.000163
-99.490006,0.000189
-99.487783,0.000485
-99.485561,0.000194
-99.483339,0.000656
-99.481117,0.000402
-99.478895,0.000007
-99.476672,0.000481
-99.474450,0.000090
-99.472228,0.000466
-99.470006,0.000794
-99.467784,0.000721
-99.465561,0.000148
-99.463339,0.002281
-99.461117,0.000065
-99.458895,0.004657
-99.456673,0.002227
-99.454451,0.000289
-99.452228,0.000187
-99.450006,0.000485
-99.447784,0.000635
-99.445562,0.000606
-99.443340,0.001284
-99.441117,0.000156
-99.438895,0.001770
-99.436673,0.000705
-99.434451,0.000920
-99.432229,0.003324
-99.430006,0.000263
-99.427784,0.002444
-99.425562,0.001038
-99.423340,0.003473
-99.421118,0.000532
-99.418895,0.003835
-99.416673,0.002718
-99.414451,0.001197
-99.412229,0.000343
-99.410007,0.000012
-99.407784,0.000442
-99.405562,0.000393
-99.403340,0.000382
-99.401118,0.000940
-99.398896,0.000044
-99.396673,0.001131
-99.394451,0.001043
-99.392229,0.001844
-99.390007,0.003266
-99.387785,0.000998
-99.385562,0.000835
-99.383340,0.001147
-99.381118,0.000388
-99.378896,0.000026
-99.376674,0.001263
-99.374451,0.000845
-99.372229,0.001356
-99.370007,0.001602
-99.367785,0.000173
-99.365563,0.001018
-99.363340,0.001730
-99.361118,0.001037
-99.358896,0.000352
-99.356674,0.000993
-99.354452,0.000140
-99.352229,0.000455
-99.350007,0.000558
-99.347785,0.001592
-99.345563,0.000566
-99.343341,0.000572
-99.341118,0.000789
-99.338896,0.000518
-99.336674,0.000384
-99.334452,0.000419
-99.332230,0.000134
-99.330007,0.000539
-99.327785,0.000253
-99.325563,0.000769
-99.323341,0.001828
-99.321119,0.000952
-99.318896,0.000971
-99.316674,0.001489
-99.314452,0.001234
-99.312230,0.000137
-99.310008,0.001088
-99.307785,0.000764
-99.305563,0.000856
-99.303341,0.000189
-99.301119,0.000759
-99.298897,0.000369
-99.296674,0.001335
-99.294452,0.001821
-99.292230,0.002020
-99.290008,0.000199
-99.287786,0.004522
-99.285563,0.000200
-99.283341,0.000581
-99.281119,0.000749
-99.278897,0.000582
-99.276675,0.000528
-99.274453,0.002638
-99.272230,0.001847
-99.270008,0.000412
-99.267786,0.000051
-99.265564,0.000146
