time (ms), velocity (mm/s)
8591.400000,-0.331486
8591.401000,-0.246771
8591.402000,-0.200203
8591.403000,-0.241986
8591.404000,-0.195671
8591.405000,-0.069013
8591.406000,-0.038771
8591.407000,-0.087332
8591.408000,-0.017372
8591.409000,0.023382
8591.410000,0.020952
8591.411000,0.024586
8591.412000,0.049329
8591.413000,0.032817
8591.414000,-0.005586
8591.415000,0.039157
8591.416000,0.167882
8591.417000,0.113125
8591.418000,0.209134
8591.419000,0.244283
8591.420000,0.220365
8591.421000,0.284840
8591.422000,0.290131
8591.423000,0.295415
8591.424000,0.218971
8591.425000,0.355875
8591.426000,0.263334
8591.427000,0.224546
8591.428000,0.241652
8591.429000,0.320120
8591.430000,0.266022
8591.431000,0.273724
8591.432000,0.373191
8591.433000,0.295391
8591.434000,0.340797
8591.435000,0.268702
8591.436000,0.395952
8591.437000,0.381464
8591.438000,0.367609
8591.439000,0.398088
8591.440000,0.376368
8591.441000,0.402825
8591.442000,0.473089
8591.443000,0.481967
8591.444000,0.467002
8591.445000,0.379356
8591.446000,0.305113
8591.447000,0.388726
8591.448000,0.448024
8591.449000,0.406218
8591.450000,0.455869
8591.451000,0.430065
8591.452000,0.443732
8591.453000,0.599391
8591.454000,0.652834
8591.455000,0.711277
8591.456000,0.735556
8591.457000,0.762736
8591.458000,0.683890
8591.459000,0.747596
8591.460000,0.685889
8591.461000,0.778659
8591.462000,0.832515
8591.463000,0.890011
8591.464000,0.958794
8591.465000,0.910470
8591.466000,0.923063
8591.467000,1.016851
8591.468000,0.995634
8591.469000,1.043781
8591.470000,1.037372
8591.471000,1.039220
8591.472000,1.105800
8591.473000,1.147452
8591.474000,1.188572
8591.475000,1.181139
8591.476000,1.240975
8591.477000,1.129090
8591.478000,1.176386
8591.479000,1.162621
8591.480000,1.199460
8591.481000,1.204992
8591.482000,1.272137
8591.483000,1.316501
8591.484000,1.271659
8591.485000,1.215259
8591.486000,1.281173
8591.487000,1.227857
8591.488000,1.251266
8591.489000,1.255028
8591.490000,1.239416
8591.491000,1.113602
8591.492000,1.074681
8591.493000,1.106240
8591.494000,1.008784
8591.495000,0.979183
8591.496000,0.944573
8591.497000,0.962587
8591.498000,0.845278
8591.499000,0.818519
8591.500000,0.843246
8591.501000,0.820585
8591.502000,0.796207
8591.503000,0.740648
8591.504000,0.788719
8591.505000,0.819924
8591.506000,0.863000
8591.507000,0.869447
8591.508000,0.837171
8591.509000,0.801937
8591.510000,0.805189
8591.511000,0.651261
8591.512000,0.564861
8591.513000,0.466068
8591.514000,0.370969
8591.515000,0.314950
8591.516000,0.336745
8591.517000,0.375461
8591.518000,0.513971
8591.519000,0.581186
8591.520000,0.580150
8591.521000,0.579875
8591.522000,0.640253
8591.523000,0.571229
8591.524000,0.701464
8591.525000,0.651486
8591.526000,0.660735
8591.527000,0.649193
8591.528000,0.550363
8591.529000,0.476113
8591.530000,0.430699
8591.531000,0.407622
8591.532000,0.392049
8591.533000,0.357128
8591.534000,0.350248
8591.535000,0.446710
8591.536000,0.423563
8591.537000,0.272733
8591.538000,0.215007
8591.539000,0.204257
8591.540000,0.209761
8591.541000,0.157708
8591.542000,0.270101
8591.543000,0.173287
8591.544000,0.132063
8591.545000,0.134973
8591.546000,0.114369
8591.547000,0.159753
8591.548000,0.108895
8591.549000,0.144025
8591.550000,0.059524
8591.551000,-0.005854
8591.552000,0.017965
8591.553000,-0.041770
8591.554000,0.054920
8591.555000,0.149246
8591.556000,0.099615
