time (ms), velocity (mm/s)
891.000000,-0.866308
891.001000,-0.828251
891.002000,-0.823044
891.003000,-0.730705
891.004000,-0.755147
891.005000,-0.754088
891.006000,-0.766064
891.007000,-0.720236
891.008000,-0.813199
891.009000,-0.854843
891.010000,-0.842674
891.011000,-0.957066
891.012000,-0.889404
891.013000,-0.936088
891.014000,-0.997581
891.015000,-1.031051
891.016000,-1.066334
891.017000,-1.076943
891.018000,-1.042958
891.019000,-1.038789
891.020000,-1.079187
891.021000,-1.049947
891.022000,-1.019449
891.023000,-0.916785
891.024000,-0.972787
891.025000,-1.061635
891.026000,-1.027710
891.027000,-1.076125
891.028000,-1.021917
891.029000,-0.942998
891.030000,-0.985829
891.031000,-0.959899
891.032000,-0.926038
891.033000,-0.832105
891.034000,-0.788171
891.035000,-0.793949
891.036000,-0.770744
891.037000,-0.735131
891.038000,-0.664165
891.039000,-0.626752
891.040000,-0.586402
891.041000,-0.572610
891.042000,-0.597377
891.043000,-0.597869
891.044000,-0.669310
891.045000,-0.569809
891.046000,-0.593160
891.047000,-0.583744
891.048000,-0.532527
891.049000,-0.479569
891.050000,-0.575175
891.051000,-0.527237
891.052000,-0.488721
891.053000,-0.575639
891.054000,-0.514043
891.055000,-0.464488
891.056000,-0.477933
891.057000,-0.480133
891.058000,-0.477277
891.059000,-0.482270
891.060000,-0.284808
891.061000,-0.241449
891.062000,-0.211378
891.063000,-0.253766
891.064000,-0.261494
891.065000,-0.221655
891.066000,-0.305107
891.067000,-0.309532
891.068000,-0.234500
891.069000,-0.346015
891.070000,-0.360283
891.071000,-0.391455
891.072000,-0.244653
891.073000,-0.230448
891.074000,-0.202601
891.075000,-0.083591
891.076000,-0.014121
891.077000,0.041165
891.078000,0.141302
891.079000,0.139670
891.080000,0.123443
891.081000,0.184467
891.082000,0.182979
891.083000,0.217910
891.084000,0.218652
891.085000,0.218196
891.086000,0.169822
891.087000,0.179783
891.088000,0.221735
891.089000,0.199022
891.090000,0.150026
891.091000,0.174475
891.092000,0.086503
891.093000,0.093903
891.094000,-0.005737
891.095000,0.060350
891.096000,0.047513
891.097000,0.090455
891.098000,0.089324
891.099000,0.112846
891.100000,0.138565
891.101000,0.144119
891.102000,0.151408
891.103000,0.180589
891.104000,0.219248
891.105000,0.232853
891.106000,0.285772
891.107000,0.297767
891.108000,0.322457
891.109000,0.341327
891.110000,0.439619
891.111000,0.488077
891.112000,0.474514
891.113000,0.542254
891.114000,0.593708
891.115000,0.560619
891.116000,0.475338
891.117000,0.482777
891.118000,0.454203
891.119000,0.436819
891.120000,0.413469
891.121000,0.369578
891.122000,0.327202
891.123000,0.328787
891.124000,0.268458
891.125000,0.261822
891.126000,0.239262
891.127000,0.277121
891.128000,0.313838
891.129000,0.368716
891.130000,0.347409
891.131000,0.430138
891.132000,0.342547
891.133000,0.370988
891.134000,0.424296
891.135000,0.417446
891.136000,0.379127
891.137000,0.354561
891.138000,0.419930
891.139000,0.408778
891.140000,0.497270
891.141000,0.554547
891.142000,0.525365
891.143000,0.620640
891.144000,0.682325
891.145000,0.776217
891.146000,0.743148
891.147000,0.751055
891.148000,0.829555
891.149000,0.892556
891.150000,0.972964
891.151000,0.900909
891.152000,0.927011
891.153000,0.871422
891.154000,0.752129
891.155000,0.742358
891.156000,0.731346
891.157000,0.760139
891.158000,0.849141
891.159000,0.844015
891.160000,0.862615
891.161000,0.756804
891.162000,0.759407
891.163000,0.778595
891.164000,0.720620
891.165000,0.656141
891.166000,0.642575
891.167000,0.760235
891.168000,0.768500
891.169000,0.706096
891.170000,0.594185
891.171000,0.593274
891.172000,0.564596
891.173000,0.526155
891.174000,0.587070
891.175000,0.564379
891.176000,0.552575
891.177000,0.545124
891.178000,0.541826
891.179000,0.570921
891.180000,0.556830
891.181000,0.562966
891.182000,0.533440
891.183000,0.494726
891.184000,0.629977
891.185000,0.525431
891.186000,0.474634
891.187000,0.564697
891.188000,0.597585
891.189000,0.592541
891.190000,0.512413
891.191000,0.544522
891.192000,0.510332
891.193000,0.514761
891.194000,0.469600
891.195000,0.531467
891.196000,0.475952
891.197000,0.483712
891.198000,0.477452
891.199000,0.520101
891.200000,0.549545
891.201000,0.510100
891.202000,0.457714
891.203000,0.363772
891.204000,0.338336
891.205000,0.370126
891.206000,0.358834
891.207000,0.399426
891.208000,0.304064
891.209000,0.282573
891.210000,0.187393
891.211000,0.162120
891.212000,0.179036
891.213000,0.083798
891.214000,-0.014903
891.215000,-0.007414
891.216000,-0.032932
891.217000,-0.166375
891.218000,-0.124555
891.219000,-0.182707
891.220000,-0.224826
891.221000,-0.326665
891.222000,-0.349525
891.223000,-0.480367
891.224000,-0.526152
891.225000,-0.633626
891.226000,-0.649369
891.227000,-0.588504
891.228000,-0.588102
891.229000,-0.612512
891.230000,-0.636896
891.231000,-0.660120
891.232000,-0.646346
891.233000,-0.657350
891.234000,-0.709022
891.235000,-0.703259
891.236000,-0.715184
891.237000,-0.692331
891.238000,-0.694739
891.239000,-0.712634
891.240000,-0.718703
891.241000,-0.637798
891.242000,-0.687362
891.243000,-0.627441
891.244000,-0.621247
891.245000,-0.627224
891.246000,-0.574969
891.247000,-0.566778
891.248000,-0.524058
891.249000,-0.573226
891.250000,-0.603650
891.251000,-0.540756
891.252000,-0.657698
891.253000,-0.722756
891.254000,-0.819332
891.255000,-0.829986
891.256000,-0.946139
891.257000,-0.981371
891.258000,-0.923321
891.259000,-0.904012
891.260000,-0.866559
891.261000,-0.953831
891.262000,-0.878634
891.263000,-0.755276
891.264000,-0.727950
891.265000,-0.673739
891.266000,-0.707969
891.267000,-0.627423
891.268000,-0.614046
891.269000,-0.724290
891.270000,-0.823888
891.271000,-0.865172
891.272000,-0.830414
891.273000,-0.686093
891.274000,-0.751622
891.275000,-0.689995
891.276000,-0.726761
891.277000,-0.627387
891.278000,-0.699023
891.279000,-0.748138
891.280000,-0.803105
891.281000,-0.727387
891.282000,-0.657491
891.283000,-0.564887
891.284000,-0.527897
891.285000,-0.560591
891.286000,-0.566014
891.287000,-0.603646
891.288000,-0.578418
891.289000,-0.506452
891.290000,-0.475757
891.291000,-0.442805
891.292000,-0.537077
891.293000,-0.410505
891.294000,-0.416475
891.295000,-0.504583
891.296000,-0.473972
891.297000,-0.490169
891.298000,-0.595400
891.299000,-0.586346
891.300000,-0.596789
891.301000,-0.711162
891.302000,-0.727505
891.303000,-0.772308
891.304000,-0.746676
891.305000,-0.663260
891.306000,-0.727941
891.307000,-0.639162
891.308000,-0.653444
891.309000,-0.635627
891.310000,-0.711393
891.311000,-0.673803
891.312000,-0.680404
891.313000,-0.687145
891.314000,-0.663593
891.315000,-0.640557
891.316000,-0.767494
891.317000,-0.738521
891.318000,-0.702354
891.319000,-0.624830
891.320000,-0.560021
891.321000,-0.535800
891.322000,-0.710198
891.323000,-0.720280
891.324000,-0.783341
891.325000,-0.842937
891.326000,-0.810851
891.327000,-0.808167
891.328000,-0.889894
891.329000,-0.926915
891.330000,-0.997415
891.331000,-0.968923
891.332000,-0.932066
891.333000,-0.871811
891.334000,-0.918458
891.335000,-0.978693
891.336000,-1.029481
891.337000,-0.999366
891.338000,-0.871088
891.339000,-0.764294
891.340000,-0.790317
891.341000,-0.826066
891.342000,-0.840710
891.343000,-0.784379
891.344000,-0.774401
891.345000,-0.785601
891.346000,-0.872136
891.347000,-0.832645
891.348000,-0.789727
891.349000,-0.798560
891.350000,-0.773398
891.351000,-0.732000
891.352000,-0.695389
891.353000,-0.652137
891.354000,-0.660265
891.355000,-0.663455
891.356000,-0.615970
891.357000,-0.610960
891.358000,-0.580618
891.359000,-0.546450
891.360000,-0.519593
891.361000,-0.499649
891.362000,-0.440164
891.363000,-0.406616
891.364000,-0.421538
891.365000,-0.176861
891.366000,-0.256335
891.367000,-0.206151
891.368000,-0.237651
891.369000,-0.214912
891.370000,-0.200816
891.371000,-0.192976
891.372000,-0.063943
891.373000,-0.071067
891.374000,0.003282
891.375000,-0.026958
891.376000,0.044995
891.377000,0.011172
891.378000,0.049697
891.379000,0.022571
891.380000,0.049524
891.381000,0.117638
891.382000,0.029753
891.383000,0.086080
891.384000,0.134470
891.385000,0.081725
891.386000,0.131479
891.387000,0.081639
891.388000,0.079518
891.389000,0.159015
891.390000,0.155809
891.391000,0.192617
891.392000,0.224748
891.393000,0.276854
891.394000,0.291304
891.395000,0.341633
891.396000,0.439524
891.397000,0.358315
891.398000,0.358522
891.399000,0.455829
891.400000,0.556343
891.401000,0.597528
891.402000,0.605596
891.403000,0.645009
891.404000,0.708221
891.405000,0.714800
891.406000,0.717306
891.407000,0.717991
891.408000,0.651642
891.409000,0.707755
891.410000,0.699175
891.411000,0.715737
891.412000,0.643093
891.413000,0.752654
891.414000,0.796585
891.415000,0.888561
891.416000,0.797075
891.417000,0.836566
891.418000,0.849479
891.419000,0.783614
891.420000,0.760359
891.421000,0.870171
891.422000,0.934926
891.423000,0.988988
891.424000,0.978799
891.425000,0.926135
891.426000,0.856598
891.427000,0.898641
891.428000,0.898524
891.429000,0.809096
891.430000,0.749325
891.431000,0.732872
891.432000,0.703605
891.433000,0.792999
891.434000,0.685667
891.435000,0.622189
891.436000,0.686801
891.437000,0.731817
891.438000,0.765779
891.439000,0.788509
891.440000,0.895007
891.441000,0.856715
891.442000,0.821713
891.443000,0.904316
891.444000,0.954421
891.445000,0.917268
891.446000,0.878080
891.447000,0.925676
891.448000,0.907188
891.449000,0.850315
891.450000,0.843477
891.451000,0.901122
891.452000,0.905519
891.453000,0.869392
891.454000,0.933108
891.455000,0.790884
891.456000,0.807355
891.457000,0.745294
891.458000,0.627616
891.459000,0.628719
891.460000,0.614275
891.461000,0.555042
891.462000,0.459226
891.463000,0.427372
891.464000,0.419216
891.465000,0.476399
891.466000,0.371250
891.467000,0.292752
891.468000,0.249394
891.469000,0.202431
891.470000,0.260787
891.471000,0.174811
891.472000,0.051178
891.473000,0.119257
891.474000,0.087608
891.475000,0.102083
891.476000,0.159139
891.477000,0.190799
891.478000,0.201853
891.479000,0.129771
891.480000,0.099901
891.481000,0.169499
891.482000,0.194177
891.483000,0.211502
891.484000,0.200895
891.485000,0.115126
