time (ms), velocity (mm/s)
699.300000,-0.214307
699.301000,-0.215785
699.302000,-0.077239
699.303000,-0.137148
699.304000,-0.208636
699.305000,-0.344353
699.306000,-0.502739
699.307000,-0.457139
699.308000,-0.513114
699.309000,-0.494335
699.310000,-0.523339
699.311000,-0.416893
699.312000,-0.428911
699.313000,-0.418315
699.314000,-0.421150
699.315000,-0.239833
699.316000,-0.250872
699.317000,-0.323152
699.318000,-0.480370
699.319000,-0.509838
699.320000,-0.545963
699.321000,-0.391959
699.322000,-0.389669
699.323000,-0.387806
699.324000,-0.315143
699.325000,-0.185853
699.326000,-0.330533
699.327000,-0.551546
699.328000,-0.516557
699.329000,-0.503034
699.330000,-0.445867
699.331000,-0.509979
699.332000,-0.408134
699.333000,-0.275611
699.334000,-0.230589
699.335000,-0.128729
699.336000,-0.179300
699.337000,-0.302481
699.338000,-0.239435
699.339000,-0.071781
699.340000,-0.259337
699.341000,-0.199229
699.342000,-0.280016
699.343000,-0.206872
699.344000,-0.244654
699.345000,-0.269622
699.346000,-0.207307
699.347000,-0.039847
699.348000,0.033538
699.349000,0.201189
699.350000,0.146412
699.351000,0.085293
699.352000,0.093915
699.353000,0.166700
699.354000,0.321881
699.355000,0.437343
699.356000,0.173751
699.357000,0.405997
699.358000,0.339307
699.359000,0.362936
699.360000,0.265950
699.361000,0.418778
699.362000,0.557119
699.363000,0.475592
699.364000,0.538038
699.365000,0.703864
699.366000,0.711503
699.367000,0.660293
699.368000,0.575480
699.369000,0.721030
699.370000,0.675628
699.371000,0.684728
699.372000,0.712199
699.373000,0.788533
699.374000,0.695956
699.375000,0.808358
699.376000,0.784344
699.377000,0.743798
699.378000,0.682432
699.379000,0.666820
699.380000,0.579626
699.381000,0.571352
699.382000,0.651128
699.383000,0.761709
699.384000,0.886885
699.385000,0.825534
699.386000,0.824887
699.387000,0.879100
699.388000,0.981788
699.389000,0.934073
699.390000,0.739646
699.391000,0.864103
699.392000,0.737614
699.393000,0.707127
699.394000,0.888899
699.395000,1.010947
699.396000,0.937830
699.397000,0.920502
699.398000,0.957878
699.399000,0.976258
699.400000,0.889810
699.401000,0.797778
699.402000,0.841776
699.403000,0.892773
699.404000,0.899669
699.405000,0.856959
699.406000,1.036517
699.407000,0.851143
699.408000,0.755159
699.409000,0.846156
699.410000,0.693601
699.411000,0.596633
699.412000,0.661276
699.413000,0.565316
699.414000,0.751755
699.415000,0.661397
699.416000,0.669249
699.417000,0.587842
699.418000,0.463688
