time (ms), velocity (mm/s)
5394.600000,0.075522
5394.601000,-0.030078
5394.602000,0.032727
5394.603000,-0.037648
5394.604000,-0.018834
5394.605000,-0.074601
5394.606000,-0.105603
5394.607000,-0.023642
5394.608000,-0.103196
5394.609000,-0.134403
5394.610000,-0.215771
5394.611000,-0.233826
5394.612000,-0.217336
5394.613000,-0.257461
5394.614000,-0.334558
5394.615000,-0.338309
5394.616000,-0.340043
5394.617000,-0.315646
5394.618000,-0.287169
5394.619000,-0.287234
5394.620000,-0.321953
5394.621000,-0.323788
5394.622000,-0.327468
5394.623000,-0.454807
5394.624000,-0.459986
5394.625000,-0.388826
5394.626000,-0.326917
5394.627000,-0.471712
5394.628000,-0.420474
5394.629000,-0.375454
5394.630000,-0.391050
5394.631000,-0.374862
5394.632000,-0.441499
5394.633000,-0.472765
5394.634000,-0.515449
5394.635000,-0.483973
5394.636000,-0.441895
5394.637000,-0.307984
5394.638000,-0.356979
5394.639000,-0.345434
5394.640000,-0.315182
5394.641000,-0.263137
5394.642000,-0.255309
5394.643000,-0.228544
5394.644000,-0.311471
5394.645000,-0.240132
5394.646000,-0.317709
5394.647000,-0.284071
5394.648000,-0.269772
5394.649000,-0.336595
5394.650000,-0.317367
5394.651000,-0.236976
5394.652000,-0.180782
5394.653000,-0.185490
5394.654000,-0.215447
5394.655000,-0.138607
5394.656000,-0.145359
5394.657000,-0.144890
5394.658000,-0.169648
5394.659000,-0.130578
5394.660000,0.018313
5394.661000,0.096169
5394.662000,0.221534
5394.663000,0.212094
5394.664000,0.178096
5394.665000,0.310889
5394.666000,0.377298
5394.667000,0.485221
5394.668000,0.481997
5394.669000,0.601604
5394.670000,0.560269
5394.671000,0.532786
5394.672000,0.623119
5394.673000,0.584466
5394.674000,0.529901
5394.675000,0.538341
5394.676000,0.506766
5394.677000,0.505450
5394.678000,0.490683
5394.679000,0.438211
5394.680000,0.448276
5394.681000,0.427189
5394.682000,0.333452
5394.683000,0.318738
5394.684000,0.332350
5394.685000,0.415935
5394.686000,0.412192
5394.687000,0.473739
5394.688000,0.432586
5394.689000,0.412025
5394.690000,0.542288
5394.691000,0.649790
5394.692000,0.631463
5394.693000,0.531057
5394.694000,0.501879
5394.695000,0.454081
5394.696000,0.390927
5394.697000,0.335461
5394.698000,0.381931
5394.699000,0.188072
5394.700000,0.274344
5394.701000,0.278439
5394.702000,0.253430
5394.703000,0.269267
5394.704000,0.378195
5394.705000,0.384311
5394.706000,0.408981
5394.707000,0.263732
5394.708000,0.166289
5394.709000,0.115799
5394.710000,0.047972
5394.711000,0.092925
5394.712000,0.108461
5394.713000,0.099760
5394.714000,0.100080
5394.715000,0.196672
5394.716000,0.206060
5394.717000,0.015117
5394.718000,-0.053701
5394.719000,-0.041588
5394.720000,0.071160
5394.721000,-0.006549
5394.722000,0.047381
5394.723000,-0.044903
5394.724000,-0.172345
5394.725000,-0.152051
5394.726000,0.008826
5394.727000,-0.063647
5394.728000,-0.000675
5394.729000,0.031816
5394.730000,-0.065334
5394.731000,0.040719
5394.732000,-0.029835
5394.733000,-0.004593
5394.734000,-0.022707
5394.735000,-0.171007
5394.736000,-0.182273
5394.737000,-0.246268
5394.738000,-0.229016
5394.739000,-0.296593
5394.740000,-0.239183
5394.741000,-0.268061
5394.742000,-0.219117
5394.743000,-0.175516
5394.744000,-0.290977
5394.745000,-0.229169
5394.746000,-0.275381
5394.747000,-0.294413
5394.748000,-0.303110
5394.749000,-0.267225
5394.750000,-0.290091
5394.751000,-0.271326
5394.752000,-0.238456
5394.753000,-0.299994
5394.754000,-0.268538
5394.755000,-0.308237
5394.756000,-0.262599
5394.757000,-0.319370
5394.758000,-0.239973
5394.759000,-0.240881
5394.760000,-0.299995
5394.761000,-0.330374
5394.762000,-0.289737
5394.763000,-0.298746
5394.764000,-0.354959
5394.765000,-0.348563
5394.766000,-0.281518
5394.767000,-0.274248
5394.768000,-0.291884
5394.769000,-0.357587
5394.770000,-0.381760
5394.771000,-0.371723
5394.772000,-0.443362
5394.773000,-0.505239
5394.774000,-0.510443
5394.775000,-0.394104
5394.776000,-0.319881
5394.777000,-0.382256
5394.778000,-0.353410
5394.779000,-0.357201
5394.780000,-0.390606
5394.781000,-0.335026
5394.782000,-0.301993
5394.783000,-0.306194
5394.784000,-0.365916
5394.785000,-0.337803
5394.786000,-0.208892
5394.787000,-0.098158
5394.788000,-0.098160
5394.789000,-0.154139
5394.790000,-0.089335
5394.791000,-0.067848
5394.792000,-0.053503
5394.793000,-0.041363
5394.794000,-0.126491
5394.795000,-0.109506
5394.796000,-0.118356
5394.797000,-0.219472
5394.798000,-0.129044
5394.799000,-0.200639
5394.800000,-0.165289
5394.801000,-0.203213
5394.802000,-0.048866
5394.803000,0.065167
5394.804000,0.105591
5394.805000,0.139817
5394.806000,0.126250
5394.807000,0.153088
5394.808000,0.172222
5394.809000,0.073335
5394.810000,0.082850
5394.811000,0.128423
5394.812000,0.133365
5394.813000,0.159916
5394.814000,0.060588
5394.815000,0.032051
5394.816000,-0.063745
5394.817000,-0.034701
5394.818000,0.081059
5394.819000,0.121934
5394.820000,0.097564
5394.821000,0.095444
5394.822000,0.116710
5394.823000,0.154746
5394.824000,0.058088
5394.825000,-0.111850
5394.826000,-0.089885
5394.827000,-0.071511
5394.828000,-0.010101
5394.829000,-0.006459
5394.830000,0.001091
5394.831000,-0.013071
5394.832000,0.109247
5394.833000,0.091366
5394.834000,0.117271
5394.835000,0.095161
5394.836000,0.091980
5394.837000,0.114876
5394.838000,0.158400
5394.839000,0.183627
5394.840000,0.151278
5394.841000,0.215982
5394.842000,0.190766
5394.843000,0.248197
5394.844000,0.137949
5394.845000,0.128691
5394.846000,0.199971
5394.847000,0.171638
5394.848000,0.181838
5394.849000,0.227582
5394.850000,0.207729
5394.851000,0.113982
5394.852000,0.043307
5394.853000,0.028437
5394.854000,0.014385
5394.855000,0.012446
5394.856000,0.066829
5394.857000,0.166711
5394.858000,0.202312
5394.859000,0.191193
5394.860000,0.220140
5394.861000,0.268348
5394.862000,0.288805
5394.863000,0.305414
5394.864000,0.285597
5394.865000,0.302622
5394.866000,0.300272
5394.867000,0.418393
5394.868000,0.530852
5394.869000,0.577313
5394.870000,0.601419
5394.871000,0.543579
5394.872000,0.500618
5394.873000,0.538109
5394.874000,0.434346
5394.875000,0.461211
5394.876000,0.392807
5394.877000,0.430410
5394.878000,0.535868
5394.879000,0.506129
5394.880000,0.532919
5394.881000,0.504648
5394.882000,0.457747
5394.883000,0.468059
5394.884000,0.457909
5394.885000,0.398673
5394.886000,0.537126
5394.887000,0.541673
5394.888000,0.627464
5394.889000,0.611374
5394.890000,0.548242
5394.891000,0.476328
5394.892000,0.425319
5394.893000,0.438426
