frequencies, power
-10.000000,0.033426
-9.989990,0.009575
-9.979980,0.021097
-9.969970,0.068513
-9.959960,0.221841
-9.949950,0.079329
-9.939940,0.169623
-9.929930,0.079794
-9.919920,0.061341
-9.909910,0.068924
-9.899900,0.008217
-9.889890,0.030148
-9.879880,0.034633
-9.869870,0.006726
-9.859860,0.006204
-9.849850,0.000191
-9.839840,0.051224
-9.829830,0.015084
-9.819820,0.010215
-9.809810,0.024393
-9.799800,0.007192
-9.789790,0.084285
-9.779780,0.004853
-9.769770,0.316543
-9.759760,0.090679
-9.749750,0.092441
-9.739740,0.029583
-9.729730,0.077679
-9.719720,0.001031
-9.709710,0.037636
-9.699700,0.051971
-9.689690,0.197950
-9.679680,0.015631
-9.669670,0.092413
-9.659660,0.025125
-9.649650,0.036335
-9.639640,0.008011
-9.629630,0.001987
-9.619620,0.050641
-9.609610,0.013072
-9.599600,0.072275
-9.589590,0.022245
-9.579580,0.010285
-9.569570,0.069442
-9.559560,0.106934
-9.549550,0.016360
-9.539540,0.025848
-9.529530,0.003265
-9.519520,0.011040
-9.509510,0.088651
-9.499499,0.013777
-9.489489,0.007718
-9.479479,0.022125
-9.469469,0.028986
-9.459459,0.010808
-9.449449,0.190583
-9.439439,0.153585
-9.429429,0.121150
-9.419419,0.076389
-9.409409,0.136568
-9.399399,0.026036
-9.389389,0.017579
-9.379379,0.070991
-9.369369,0.052971
-9.359359,0.022502
-9.349349,0.011267
-9.339339,0.100976
-9.329329,0.086436
-9.319319,0.154923
-9.309309,0.052366
-9.299299,0.028137
-9.289289,0.037930
-9.279279,0.034932
-9.269269,0.081029
-9.259259,0.004466
-9.249249,0.092057
-9.239239,0.000329
-9.229229,0.018531
-9.219219,0.004364
-9.209209,0.026869
-9.199199,0.037199
-9.189189,0.005562
-9.179179,0.037060
-9.169169,0.052105
-9.159159,0.170457
-9.149149,0.009951
-9.139139,0.002245
-9.129129,0.088072
-9.119119,0.087707
-9.109109,0.038241
-9.099099,0.199078
-9.089089,0.004890
-9.079079,0.030792
-9.069069,0.225168
-9.059059,0.006440
-9.049049,0.006166
-9.039039,0.065968
