time (ms), velocity (mm/s)
9190.800000,-0.877772
9190.801000,-0.814512
9190.802000,-0.827437
9190.803000,-0.726073
9190.804000,-0.762001
9190.805000,-0.820625
9190.806000,-0.709689
9190.807000,-0.713764
9190.808000,-0.621372
9190.809000,-0.594322
9190.810000,-0.472145
9190.811000,-0.357257
9190.812000,-0.371774
9190.813000,-0.347981
9190.814000,-0.407834
9190.815000,-0.423248
9190.816000,-0.456022
9190.817000,-0.477103
9190.818000,-0.410660
9190.819000,-0.539782
9190.820000,-0.613300
9190.821000,-0.572679
9190.822000,-0.536125
9190.823000,-0.493064
9190.824000,-0.469282
9190.825000,-0.467499
9190.826000,-0.383618
9190.827000,-0.398347
9190.828000,-0.338850
9190.829000,-0.327785
9190.830000,-0.378136
9190.831000,-0.361444
9190.832000,-0.372053
9190.833000,-0.362785
9190.834000,-0.368808
9190.835000,-0.307358
9190.836000,-0.332487
9190.837000,-0.304861
9190.838000,-0.311690
9190.839000,-0.242125
9190.840000,-0.290486
9190.841000,-0.217526
9190.842000,-0.132568
9190.843000,-0.096809
9190.844000,-0.129803
9190.845000,-0.058202
9190.846000,0.108350
9190.847000,0.081333
9190.848000,0.149944
9190.849000,0.164481
9190.850000,0.233042
9190.851000,0.227461
9190.852000,0.256697
9190.853000,0.210525
9190.854000,0.286178
9190.855000,0.397129
9190.856000,0.467013
9190.857000,0.463587
9190.858000,0.465914
9190.859000,0.584963
9190.860000,0.668463
9190.861000,0.618371
9190.862000,0.618608
9190.863000,0.577565
9190.864000,0.548418
9190.865000,0.513889
9190.866000,0.542641
9190.867000,0.630682
9190.868000,0.674737
9190.869000,0.738021
9190.870000,0.641205
9190.871000,0.628075
9190.872000,0.595741
9190.873000,0.581757
9190.874000,0.603609
9190.875000,0.569416
9190.876000,0.710023
9190.877000,0.638954
9190.878000,0.696950
9190.879000,0.815435
9190.880000,0.874414
9190.881000,0.882088
9190.882000,0.884898
9190.883000,0.841180
9190.884000,0.760862
9190.885000,0.580510
9190.886000,0.646194
9190.887000,0.752162
9190.888000,0.750858
9190.889000,0.771666
9190.890000,0.776918
9190.891000,0.822309
9190.892000,0.920623
9190.893000,1.021818
9190.894000,1.005972
9190.895000,0.984770
9190.896000,0.921490
9190.897000,0.910822
9190.898000,0.770296
9190.899000,0.715616
9190.900000,0.758735
9190.901000,0.822743
9190.902000,0.728916
9190.903000,0.893535
9190.904000,0.875346
9190.905000,0.951070
9190.906000,0.998785
9190.907000,1.087724
9190.908000,0.986767
9190.909000,0.887649
9190.910000,0.946877
9190.911000,0.915573
9190.912000,1.018863
9190.913000,1.103275
9190.914000,1.183488
9190.915000,1.221134
9190.916000,1.272952
9190.917000,1.310652
9190.918000,1.215889
9190.919000,1.141290
9190.920000,1.055240
9190.921000,1.065228
9190.922000,1.093071
9190.923000,0.926564
9190.924000,0.882515
9190.925000,0.909891
9190.926000,0.861769
9190.927000,0.832287
9190.928000,0.714773
9190.929000,0.686213
9190.930000,0.712809
9190.931000,0.739675
9190.932000,0.756007
9190.933000,0.792155
9190.934000,0.763997
9190.935000,0.839924
9190.936000,0.962008
9190.937000,0.929349
9190.938000,0.991528
9190.939000,0.866606
9190.940000,0.950076
9190.941000,0.899689
9190.942000,0.801302
9190.943000,0.638914
9190.944000,0.658667
9190.945000,0.688619
9190.946000,0.757042
9190.947000,0.601329
9190.948000,0.551478
9190.949000,0.548425
9190.950000,0.521311
9190.951000,0.642757
9190.952000,0.559578
9190.953000,0.496791
9190.954000,0.442808
9190.955000,0.457128
9190.956000,0.254942
9190.957000,0.263664
9190.958000,0.265503
9190.959000,0.213378
9190.960000,0.177019
9190.961000,0.237152
9190.962000,0.180806
9190.963000,0.285212
9190.964000,0.305796
9190.965000,0.341019
9190.966000,0.303141
9190.967000,0.493756
9190.968000,0.427991
9190.969000,0.486397
9190.970000,0.601868
9190.971000,0.611689
9190.972000,0.583932
9190.973000,0.494512
9190.974000,0.426668
9190.975000,0.444619
9190.976000,0.500519
9190.977000,0.491259
9190.978000,0.600776
9190.979000,0.581686
9190.980000,0.598557
9190.981000,0.756810
9190.982000,0.643589
9190.983000,0.600295
9190.984000,0.584831
9190.985000,0.576119
9190.986000,0.471450
9190.987000,0.325010
9190.988000,0.258073
9190.989000,0.211374
9190.990000,0.257459
9190.991000,0.227436
9190.992000,0.156405
9190.993000,0.117292
9190.994000,0.062991
9190.995000,0.122076
9190.996000,0.059451
9190.997000,0.059623
9190.998000,0.069291
9190.999000,0.013321
9191.000000,0.049941
9191.001000,0.060701
9191.002000,0.053547
9191.003000,0.021174
9191.004000,-0.092693
9191.005000,0.008851
9191.006000,-0.017211
9191.007000,-0.087766
9191.008000,-0.023016
9191.009000,-0.103812
9191.010000,-0.108166
9191.011000,-0.213167
9191.012000,-0.156114
9191.013000,-0.115392
9191.014000,-0.157300
9191.015000,-0.194921
9191.016000,-0.037675
9191.017000,0.027335
9191.018000,-0.065705
9191.019000,-0.116308
9191.020000,-0.157522
9191.021000,-0.067776
9191.022000,-0.105097
9191.023000,-0.072516
9191.024000,-0.162584
9191.025000,-0.226811
9191.026000,-0.236054
9191.027000,-0.176556
9191.028000,-0.165787
9191.029000,-0.167625
