frequencies, power
-10.000000,0.323297
-9.989990,0.409023
-9.979980,0.011148
-9.969970,0.137702
-9.959960,0.042702
-9.949950,0.008443
-9.939940,0.018358
-9.929930,0.079164
-9.919920,0.072194
-9.909910,0.009069
-9.899900,0.049129
-9.889890,0.398214
-9.879880,0.132325
-9.869870,0.112349
-9.859860,0.167370
-9.849850,0.492991
-9.839840,0.127486
-9.829830,0.019067
-9.819820,0.052209
-9.809810,0.231635
-9.799800,0.212098
-9.789790,0.080419
-9.779780,0.255238
-9.769770,0.002523
-9.759760,0.173457
-9.749750,0.110744
-9.739740,0.057283
-9.729730,0.101205
-9.719720,0.119928
-9.709710,0.193083
-9.699700,0.039165
-9.689690,0.333785
-9.679680,0.148335
-9.669670,0.103407
-9.659660,0.094770
-9.649650,0.031308
-9.639640,0.036412
-9.629630,0.155817
-9.619620,0.085766
-9.609610,0.144894
-9.599600,0.104577
-9.589590,0.208101
-9.579580,0.010680
-9.569570,0.443967
-9.559560,0.218300
-9.549550,0.487788
-9.539540,0.027558
-9.529530,0.045168
-9.519520,0.133066
-9.509510,0.196616
-9.499499,0.146608
-9.489489,0.043353
-9.479479,0.441120
-9.469469,0.007172
-9.459459,0.049884
-9.449449,0.047577
-9.439439,0.004282
-9.429429,0.042481
-9.419419,0.048389
-9.409409,0.162113
-9.399399,0.164125
-9.389389,0.051765
-9.379379,0.124226
-9.369369,0.175589
-9.359359,0.177545
-9.349349,0.068915
-9.339339,0.884791
-9.329329,0.139043
-9.319319,0.381487
-9.309309,0.065184
-9.299299,0.087736
-9.289289,0.066157
-9.279279,0.220601
-9.269269,0.323892
-9.259259,0.053603
-9.249249,0.085586
-9.239239,1.028989
-9.229229,0.031383
-9.219219,0.034759
-9.209209,0.315626
-9.199199,0.300606
-9.189189,0.310894
-9.179179,0.030516
-9.169169,0.429241
-9.159159,0.083402
-9.149149,0.318014
-9.139139,0.196962
-9.129129,0.028779
-9.119119,0.038340
-9.109109,0.059669
-9.099099,0.189465
-9.089089,0.088687
-9.079079,0.140832
-9.069069,0.251310
-9.059059,0.180307
-9.049049,0.062240
-9.039039,0.025099
-9.029029,0.020233
-9.019019,0.266174
-9.009009,0.029390
-8.998999,0.320351
-8.988989,0.248198
-8.978979,0.115654
-8.968969,0.197373
-8.958959,0.334058
-8.948949,0.155296
-8.938939,0.061543
-8.928929,0.152181
-8.918919,0.124135
-8.908909,0.235860
-8.898899,0.029591
-8.888889,0.077775
-8.878879,0.243195
-8.868869,0.565504
-8.858859,0.251717
-8.848849,0.628670
-8.838839,0.157231
-8.828829,0.152386
-8.818819,0.155703
-8.808809,0.127902
-8.798799,0.228787
-8.788789,0.003449
-8.778779,0.025090
-8.768769,0.063280
-8.758759,0.173756
-8.748749,0.014988
-8.738739,0.156159
-8.728729,0.024299
-8.718719,0.149694
-8.708709,0.147237
-8.698699,0.038111
-8.688689,0.008797
-8.678679,0.140659
-8.668669,0.023184
-8.658659,0.061488
-8.648649,0.071979
-8.638639,0.118055
-8.628629,0.120392
-8.618619,0.463838
-8.608609,0.157991
-8.598599,0.013358
-8.588589,0.281367
-8.578579,0.117505
-8.568569,0.063361
-8.558559,0.099498
-8.548549,0.122020
-8.538539,0.200733
-8.528529,0.074256
-8.518519,0.025490
-8.508509,0.473773
-8.498498,0.062043
-8.488488,0.022930
-8.478478,0.257421
-8.468468,0.029381
-8.458458,0.057447
-8.448448,0.324567
-8.438438,0.107408
-8.428428,0.056099
-8.418418,0.476054
-8.408408,0.091181
-8.398398,0.449536
-8.388388,0.009401
-8.378378,0.089147
-8.368368,0.184851
-8.358358,0.135806
-8.348348,0.204945
-8.338338,0.086674
-8.328328,0.042822
-8.318318,0.212844
-8.308308,0.441901
-8.298298,0.130757
-8.288288,0.059842
-8.278278,0.188489
-8.268268,0.060901
-8.258258,0.054915
-8.248248,0.481847
-8.238238,0.087804
-8.228228,0.070413
-8.218218,0.202162
-8.208208,0.276932
-8.198198,0.182547
-8.188188,0.085430
-8.178178,0.308626
-8.168168,0.167568
-8.158158,0.183515
-8.148148,0.164763
-8.138138,0.010688
-8.128128,0.322022
-8.118118,0.063144
-8.108108,0.126396
-8.098098,0.367963
-8.088088,0.048868
-8.078078,0.243638
-8.068068,0.099685
-8.058058,0.046335
-8.048048,0.131665
-8.038038,0.011637
-8.028028,0.026727
-8.018018,0.321783
-8.008008,0.019341
-7.997998,0.045207
-7.987988,0.085763
-7.977978,0.126814
-7.967968,0.063125
-7.957958,0.074071
-7.947948,0.532204
-7.937938,0.064546
-7.927928,0.021812
-7.917918,0.023342
-7.907908,0.212477
-7.897898,0.100074
-7.887888,0.060209
-7.877878,0.218876
-7.867868,0.023865
-7.857858,0.118007
-7.847848,0.024239
-7.837838,0.202718
-7.827828,0.109477
-7.817818,0.058480
-7.807808,0.040742
-7.797798,0.007479
-7.787788,0.041208
-7.777778,0.088638
-7.767768,0.107151
-7.757758,0.303698
-7.747748,0.584009
-7.737738,0.206772
-7.727728,0.548893
-7.717718,0.216733
-7.707708,0.999623
-7.697698,0.354049
-7.687688,0.045352
-7.677678,0.135541
-7.667668,0.019883
-7.657658,0.364966
-7.647648,0.124344
-7.637638,0.449850
-7.627628,0.005962
-7.617618,0.037598
-7.607608,0.296194
-7.597598,0.001901
-7.587588,0.048076
-7.577578,0.018584
-7.567568,0.141380
-7.557558,0.313957
-7.547548,0.023792
-7.537538,0.049625
-7.527528,0.198831
-7.517518,0.027955
-7.507508,0.067641
-7.497497,0.332064
-7.487487,0.655920
-7.477477,0.326754
-7.467467,0.086717
-7.457457,0.041848
-7.447447,0.075301
-7.437437,0.071167
-7.427427,0.118023
-7.417417,0.051875
-7.407407,0.783368
-7.397397,0.238305
-7.387387,0.018121
-7.377377,0.102464
-7.367367,0.060779
-7.357357,0.120993
-7.347347,0.189424
-7.337337,0.216303
-7.327327,0.197978
-7.317317,0.011799
-7.307307,0.074230
-7.297297,0.029631
-7.287287,0.271224
-7.277277,0.157538
-7.267267,0.122034
-7.257257,0.223839
-7.247247,0.179588
-7.237237,0.086869
-7.227227,0.314895
-7.217217,0.010772
-7.207207,0.030853
-7.197197,0.121129
-7.187187,0.065261
-7.177177,0.152341
-7.167167,0.223327
