frequencies, power
-10.000000,0.008832
-9.989990,0.005545
-9.979980,0.095970
-9.969970,0.057165
-9.959960,0.079602
-9.949950,0.116544
-9.939940,0.069080
-9.929930,0.188559
-9.919920,0.096762
-9.909910,0.036697
-9.899900,0.071798
-9.889890,0.035504
-9.879880,0.150259
-9.869870,0.062974
-9.859860,0.023790
-9.849850,0.033490
-9.839840,0.022121
-9.829830,0.033093
-9.819820,0.022066
-9.809810,0.048568
-9.799800,0.024338
-9.789790,0.137455
-9.779780,0.010142
-9.769770,0.153656
-9.759760,0.036991
-9.749750,0.013569
-9.739740,0.020312
-9.729730,0.020571
-9.719720,0.025901
-9.709710,0.122574
-9.699700,0.020184
-9.689690,0.055338
-9.679680,0.000881
-9.669670,0.039263
-9.659660,0.074345
-9.649650,0.082513
-9.639640,0.054128
-9.629630,0.027643
-9.619620,0.062185
-9.609610,0.009015
-9.599600,0.020444
-9.589590,0.005799
-9.579580,0.024301
-9.569570,0.057861
-9.559560,0.098744
-9.549550,0.011183
-9.539540,0.011603
-9.529530,0.025146
-9.519520,0.073781
-9.509510,0.007857
-9.499499,0.195086
-9.489489,0.027227
-9.479479,0.009751
-9.469469,0.011565
-9.459459,0.070590
-9.449449,0.039997
-9.439439,0.120323
-9.429429,0.210488
-9.419419,0.168550
-9.409409,0.051404
-9.399399,0.187435
-9.389389,0.097151
-9.379379,0.003938
-9.369369,0.091400
-9.359359,0.069389
-9.349349,0.003490
-9.339339,0.039423
-9.329329,0.009256
-9.319319,0.011301
-9.309309,0.019128
-9.299299,0.107651
-9.289289,0.002556
-9.279279,0.056923
-9.269269,0.005985
-9.259259,0.015458
-9.249249,0.169223
-9.239239,0.031682
-9.229229,0.034102
-9.219219,0.147061
-9.209209,0.051206
-9.199199,0.025720
-9.189189,0.034827
-9.179179,0.009934
-9.169169,0.024265
-9.159159,0.155067
-9.149149,0.012569
-9.139139,0.182552
-9.129129,0.035983
-9.119119,0.016338
-9.109109,0.033930
-9.099099,0.027310
-9.089089,0.015116
-9.079079,0.008987
-9.069069,0.040934
-9.059059,0.008896
-9.049049,0.120243
-9.039039,0.028130
-9.029029,0.015667
-9.019019,0.037023
-9.009009,0.005155
-8.998999,0.037186
-8.988989,0.025941
-8.978979,0.058812
-8.968969,0.023947
-8.958959,0.027096
-8.948949,0.001486
-8.938939,0.165804
-8.928929,0.083890
-8.918919,0.113908
-8.908909,0.084561
-8.898899,0.007429
-8.888889,0.047895
-8.878879,0.065014
-8.868869,0.023285
-8.858859,0.006078
-8.848849,0.032322
-8.838839,0.048679
-8.828829,0.030566
-8.818819,0.005242
-8.808809,0.052821
-8.798799,0.018956
-8.788789,0.046879
-8.778779,0.003096
-8.768769,0.079924
