time (ms), velocity (mm/s)
2297.700000,1.233774
2297.701000,1.317474
2297.702000,1.347801
2297.703000,1.300801
2297.704000,1.166929
2297.705000,1.165393
2297.706000,1.103866
2297.707000,1.190513
2297.708000,1.183514
2297.709000,1.051354
2297.710000,1.104921
2297.711000,0.988549
2297.712000,1.168338
2297.713000,1.184078
2297.714000,1.112190
2297.715000,1.346325
2297.716000,1.479481
2297.717000,1.377941
2297.718000,1.361179
2297.719000,1.323960
2297.720000,1.248839
2297.721000,1.209260
2297.722000,1.293011
2297.723000,1.320467
2297.724000,1.286115
2297.725000,1.312283
2297.726000,1.285376
2297.727000,1.282264
2297.728000,1.075195
2297.729000,1.046636
2297.730000,1.025777
2297.731000,1.104075
2297.732000,1.078139
2297.733000,1.050099
2297.734000,1.034223
2297.735000,0.964687
2297.736000,0.927605
2297.737000,0.878247
2297.738000,0.689657
2297.739000,0.602260
2297.740000,0.519612
2297.741000,0.436529
2297.742000,0.388803
2297.743000,0.368393
2297.744000,0.389251
2297.745000,0.222710
2297.746000,0.171763
2297.747000,0.088613
2297.748000,-0.088541
2297.749000,-0.133298
2297.750000,-0.236059
2297.751000,-0.524379
2297.752000,-0.635930
2297.753000,-0.454640
2297.754000,-0.472317
2297.755000,-0.536190
2297.756000,-0.534016
2297.757000,-0.331938
2297.758000,-0.406657
2297.759000,-0.423045
2297.760000,-0.378908
2297.761000,-0.311459
2297.762000,-0.477192
2297.763000,-0.436115
2297.764000,-0.551345
2297.765000,-0.605222
2297.766000,-0.414180
2297.767000,-0.560067
2297.768000,-0.794809
2297.769000,-0.771703
2297.770000,-0.821452
2297.771000,-0.772129
2297.772000,-0.822093
2297.773000,-0.869273
2297.774000,-0.756369
2297.775000,-0.724358
2297.776000,-0.645798
2297.777000,-0.616824
2297.778000,-0.577334
2297.779000,-0.485137
2297.780000,-0.621687
2297.781000,-0.626891
2297.782000,-0.600022
2297.783000,-0.599022
2297.784000,-0.541201
2297.785000,-0.467300
2297.786000,-0.547318
2297.787000,-0.541767
2297.788000,-0.751307
2297.789000,-0.941803
2297.790000,-0.915157
2297.791000,-0.999834
2297.792000,-1.079200
2297.793000,-1.193030
2297.794000,-1.166735
2297.795000,-1.244967
2297.796000,-1.294278
2297.797000,-1.339579
2297.798000,-1.368604
2297.799000,-1.446775
2297.800000,-1.511507
2297.801000,-1.455186
2297.802000,-1.638611
2297.803000,-1.597167
2297.804000,-1.607583
2297.805000,-1.342141
2297.806000,-1.301618
