time (ms), velocity (mm/s)
7292.700000,-0.390062
7292.701000,-0.332272
7292.702000,-0.314995
7292.703000,-0.325021
7292.704000,-0.321401
7292.705000,-0.296467
7292.706000,-0.358557
7292.707000,-0.378443
7292.708000,-0.433738
7292.709000,-0.426518
7292.710000,-0.408762
7292.711000,-0.443406
7292.712000,-0.603097
7292.713000,-0.539409
7292.714000,-0.506577
7292.715000,-0.636420
7292.716000,-0.613650
7292.717000,-0.477011
7292.718000,-0.480526
7292.719000,-0.542040
7292.720000,-0.534654
7292.721000,-0.506271
7292.722000,-0.447766
7292.723000,-0.443210
7292.724000,-0.563577
7292.725000,-0.611049
7292.726000,-0.630371
7292.727000,-0.695309
7292.728000,-0.691236
7292.729000,-0.756638
7292.730000,-0.856433
7292.731000,-0.752318
7292.732000,-0.691538
7292.733000,-0.711722
7292.734000,-0.696746
7292.735000,-0.601955
7292.736000,-0.612120
7292.737000,-0.601017
7292.738000,-0.623672
7292.739000,-0.703943
7292.740000,-0.604750
7292.741000,-0.515744
7292.742000,-0.496210
7292.743000,-0.480595
7292.744000,-0.375472
7292.745000,-0.367401
7292.746000,-0.397760
7292.747000,-0.463323
7292.748000,-0.500294
7292.749000,-0.448760
7292.750000,-0.410628
7292.751000,-0.411749
7292.752000,-0.461357
7292.753000,-0.460665
7292.754000,-0.433954
7292.755000,-0.290302
7292.756000,-0.227298
7292.757000,-0.126961
7292.758000,-0.194510
7292.759000,-0.207898
7292.760000,-0.217192
7292.761000,-0.213434
7292.762000,-0.135938
7292.763000,-0.249877
7292.764000,-0.108102
7292.765000,-0.048913
7292.766000,-0.139993
7292.767000,-0.102075
7292.768000,-0.059074
7292.769000,-0.038435
7292.770000,-0.045148
7292.771000,0.020225
7292.772000,0.073785
7292.773000,0.027647
7292.774000,0.026951
7292.775000,0.049228
7292.776000,-0.036177
7292.777000,0.012110
7292.778000,0.049571
7292.779000,0.113383
7292.780000,0.239218
7292.781000,0.310946
7292.782000,0.368522
7292.783000,0.345599
7292.784000,0.329692
7292.785000,0.323453
7292.786000,0.453758
7292.787000,0.324887
7292.788000,0.370561
7292.789000,0.457662
7292.790000,0.619706
7292.791000,0.723164
7292.792000,0.675335
7292.793000,0.654757
7292.794000,0.734908
7292.795000,0.637723
7292.796000,0.674487
7292.797000,0.688063
7292.798000,0.692554
7292.799000,0.778534
7292.800000,0.787217
7292.801000,0.836053
7292.802000,0.818169
7292.803000,0.897679
7292.804000,0.857259
7292.805000,0.799356
7292.806000,0.776275
7292.807000,0.714569
7292.808000,0.669920
7292.809000,0.670589
7292.810000,0.563422
7292.811000,0.548581
7292.812000,0.606847
7292.813000,0.607185
7292.814000,0.597371
7292.815000,0.621294
7292.816000,0.666005
7292.817000,0.718840
7292.818000,0.675387
7292.819000,0.630546
7292.820000,0.656355
7292.821000,0.586979
7292.822000,0.520423
7292.823000,0.529494
7292.824000,0.536949
7292.825000,0.544517
7292.826000,0.613959
7292.827000,0.617596
7292.828000,0.611755
7292.829000,0.671197
7292.830000,0.734200
7292.831000,0.607658
7292.832000,0.623567
7292.833000,0.598201
7292.834000,0.560265
7292.835000,0.605966
7292.836000,0.553631
7292.837000,0.536553
7292.838000,0.473692
7292.839000,0.417640
7292.840000,0.357595
7292.841000,0.319191
7292.842000,0.295450
7292.843000,0.230204
7292.844000,0.193127
7292.845000,0.258606
7292.846000,0.244031
7292.847000,0.255911
7292.848000,0.327087
7292.849000,0.289249
7292.850000,0.196266
7292.851000,0.209767
7292.852000,0.159955
7292.853000,0.159458
7292.854000,0.100190
7292.855000,0.024572
7292.856000,-0.048057
7292.857000,0.015858
7292.858000,0.088085
7292.859000,0.043200
7292.860000,0.165474
7292.861000,0.260908
7292.862000,0.259341
7292.863000,0.312422
7292.864000,0.353009
7292.865000,0.198137
7292.866000,0.193946
7292.867000,0.120173
7292.868000,0.078333
7292.869000,0.058186
7292.870000,0.099352
7292.871000,0.135483
7292.872000,0.040964
7292.873000,0.147083
7292.874000,0.034700
7292.875000,0.079828
7292.876000,0.112050
7292.877000,0.190293
7292.878000,0.281738
7292.879000,0.283159
7292.880000,0.229234
7292.881000,0.206782
7292.882000,0.146978
7292.883000,0.029541
7292.884000,-0.008548
7292.885000,0.072751
7292.886000,0.052789
7292.887000,0.062008
7292.888000,0.037967
7292.889000,0.086236
7292.890000,0.118798
7292.891000,0.195538
7292.892000,0.086295
7292.893000,0.055064
7292.894000,0.023875
7292.895000,0.076408
7292.896000,0.029531
7292.897000,0.030066
7292.898000,0.184239
7292.899000,0.145475
7292.900000,0.187885
7292.901000,0.250894
7292.902000,0.202435
7292.903000,0.210760
7292.904000,0.283579
7292.905000,0.239960
7292.906000,0.150421
7292.907000,0.189702
7292.908000,0.251520
7292.909000,0.204211
7292.910000,0.235585
7292.911000,0.287656
7292.912000,0.241235
7292.913000,0.241655
7292.914000,0.293178
7292.915000,0.223999
7292.916000,0.176307
7292.917000,0.138113
7292.918000,0.138563
7292.919000,0.115217
7292.920000,0.113521
7292.921000,0.043333
7292.922000,-0.014202
7292.923000,0.020156
7292.924000,-0.036932
7292.925000,0.005580
7292.926000,-0.101760
7292.927000,-0.133667
7292.928000,-0.109451
7292.929000,-0.124412
7292.930000,-0.256528
7292.931000,-0.272621
7292.932000,-0.159750
7292.933000,-0.146813
7292.934000,-0.163031
7292.935000,-0.192312
7292.936000,-0.254760
7292.937000,-0.211638
7292.938000,-0.276714
7292.939000,-0.313537
7292.940000,-0.295813
7292.941000,-0.326534
7292.942000,-0.288123
7292.943000,-0.160247
7292.944000,-0.132302
7292.945000,-0.169993
7292.946000,-0.133247
7292.947000,-0.043130
7292.948000,-0.059077
7292.949000,0.041617
7292.950000,0.074754
7292.951000,0.077450
7292.952000,-0.006840
7292.953000,-0.121536
7292.954000,-0.068572
7292.955000,-0.041377
7292.956000,-0.029104
7292.957000,-0.040067
7292.958000,-0.142636
7292.959000,-0.228115
7292.960000,-0.256584
7292.961000,-0.213225
7292.962000,-0.220853
7292.963000,-0.271101
7292.964000,-0.307802
7292.965000,-0.278010
7292.966000,-0.276856
7292.967000,-0.358631
7292.968000,-0.300209
7292.969000,-0.306291
7292.970000,-0.282056
7292.971000,-0.181865
7292.972000,-0.234826
7292.973000,-0.171600
7292.974000,-0.135898
7292.975000,-0.035837
7292.976000,0.049284
7292.977000,0.021633
7292.978000,0.009914
7292.979000,0.010082
7292.980000,-0.018448
7292.981000,0.040807
7292.982000,0.026861
7292.983000,0.095643
7292.984000,0.071187
7292.985000,0.050392
7292.986000,0.048801
7292.987000,0.114916
7292.988000,0.172332
7292.989000,0.221799
7292.990000,0.152439
7292.991000,0.182680
7292.992000,0.221148
7292.993000,0.251804
7292.994000,0.193411
7292.995000,0.309284
7292.996000,0.330157
7292.997000,0.335715
7292.998000,0.264561
7292.999000,0.294785
7293.000000,0.227968
7293.001000,0.319480
7293.002000,0.326280
7293.003000,0.333206
7293.004000,0.407667
7293.005000,0.452967
7293.006000,0.397472
7293.007000,0.304168
7293.008000,0.343476
7293.009000,0.284061
7293.010000,0.289674
7293.011000,0.182622
7293.012000,0.105863
7293.013000,0.079068
7293.014000,0.063087
7293.015000,0.138635
7293.016000,0.239957
7293.017000,0.264095
7293.018000,0.248520
7293.019000,0.226653
7293.020000,0.197493
7293.021000,0.216817
7293.022000,0.198572
7293.023000,0.123399
7293.024000,0.148760
7293.025000,0.104118
7293.026000,0.062541
7293.027000,-0.020282
7293.028000,-0.090947
7293.029000,-0.081237
7293.030000,-0.038651
7293.031000,0.026094
7293.032000,0.109819
7293.033000,0.124405
7293.034000,0.098539
7293.035000,0.086427
7293.036000,0.141151
7293.037000,0.231927
7293.038000,0.128716
7293.039000,0.160302
7293.040000,0.167200
7293.041000,0.187412
7293.042000,0.196917
7293.043000,0.173993
7293.044000,0.226968
7293.045000,0.245579
7293.046000,0.267432
7293.047000,0.335666
7293.048000,0.246913
7293.049000,0.324859
7293.050000,0.340738
7293.051000,0.357640
7293.052000,0.375452
7293.053000,0.302666
7293.054000,0.287279
7293.055000,0.267846
7293.056000,0.335996
7293.057000,0.299057
7293.058000,0.290178
7293.059000,0.299268
7293.060000,0.191461
7293.061000,0.174783
7293.062000,0.183156
7293.063000,0.215384
7293.064000,0.191435
7293.065000,0.322818
7293.066000,0.254394
7293.067000,0.299297
7293.068000,0.331376
7293.069000,0.222048
7293.070000,0.167314
7293.071000,0.256288
7293.072000,0.158741
7293.073000,0.256938
7293.074000,0.285150
7293.075000,0.281506
7293.076000,0.299421
7293.077000,0.227814
7293.078000,0.274058
7293.079000,0.359576
7293.080000,0.269408
7293.081000,0.237858
7293.082000,0.206986
7293.083000,0.203294
7293.084000,0.228355
7293.085000,0.181029
7293.086000,0.175549
7293.087000,0.180407
7293.088000,0.202897
7293.089000,0.134215
7293.090000,0.094145
7293.091000,-0.026487
7293.092000,-0.001881
7293.093000,-0.015918
7293.094000,-0.032552
7293.095000,-0.060135
7293.096000,-0.044914
7293.097000,-0.011536
7293.098000,0.001677
7293.099000,0.009795
7293.100000,-0.095141
7293.101000,-0.086962
7293.102000,-0.124018
7293.103000,-0.162535
7293.104000,-0.221093
7293.105000,-0.140267
7293.106000,-0.223518
7293.107000,-0.290890
7293.108000,-0.218627
7293.109000,-0.173539
7293.110000,-0.229552
7293.111000,-0.263779
7293.112000,-0.284289
7293.113000,-0.278983
7293.114000,-0.220395
7293.115000,-0.205032
7293.116000,-0.236797
7293.117000,-0.298319
7293.118000,-0.285538
7293.119000,-0.309507
7293.120000,-0.433530
7293.121000,-0.462629
7293.122000,-0.512284
7293.123000,-0.543975
7293.124000,-0.514148
7293.125000,-0.527802
7293.126000,-0.469873
7293.127000,-0.516831
7293.128000,-0.538486
7293.129000,-0.531717
7293.130000,-0.479489
7293.131000,-0.567025
7293.132000,-0.572763
7293.133000,-0.526910
7293.134000,-0.602797
7293.135000,-0.558280
7293.136000,-0.612050
7293.137000,-0.661815
7293.138000,-0.696276
7293.139000,-0.635511
7293.140000,-0.723712
7293.141000,-0.783611
7293.142000,-0.808539
7293.143000,-0.861837
7293.144000,-0.883142
7293.145000,-0.824841
7293.146000,-0.739393
7293.147000,-0.692366
7293.148000,-0.697903
7293.149000,-0.673775
7293.150000,-0.713185
7293.151000,-0.767284
7293.152000,-0.784255
7293.153000,-0.790419
7293.154000,-0.774471
7293.155000,-0.751024
7293.156000,-0.658162
7293.157000,-0.607143
7293.158000,-0.565267
7293.159000,-0.628285
7293.160000,-0.554739
7293.161000,-0.579651
7293.162000,-0.521868
7293.163000,-0.469623
7293.164000,-0.624171
7293.165000,-0.587840
7293.166000,-0.535562
7293.167000,-0.456210
7293.168000,-0.484800
7293.169000,-0.420936
7293.170000,-0.410314
7293.171000,-0.376578
7293.172000,-0.396027
7293.173000,-0.440333
7293.174000,-0.419675
7293.175000,-0.388091
7293.176000,-0.331264
7293.177000,-0.283985
7293.178000,-0.278755
7293.179000,-0.172158
7293.180000,-0.223236
7293.181000,-0.126097
7293.182000,-0.081365
7293.183000,-0.020415
7293.184000,0.080724
7293.185000,0.088487
7293.186000,0.087780
7293.187000,0.166610
7293.188000,0.116374
7293.189000,0.138156
7293.190000,0.089027
7293.191000,0.133519
7293.192000,0.039837
7293.193000,0.062620
7293.194000,0.173763
7293.195000,0.188553
7293.196000,0.207760
7293.197000,0.196420
7293.198000,0.193052
7293.199000,0.127650
7293.200000,0.122795
7293.201000,0.147036
7293.202000,0.230307
7293.203000,0.293859
7293.204000,0.278349
7293.205000,0.236627
7293.206000,0.238808
7293.207000,0.341722
7293.208000,0.335737
7293.209000,0.318090
7293.210000,0.224369
7293.211000,0.179702
7293.212000,0.193906
7293.213000,0.112809
7293.214000,0.133518
7293.215000,0.162943
7293.216000,0.206227
7293.217000,0.217638
7293.218000,0.261306
7293.219000,0.283865
7293.220000,0.263691
7293.221000,0.198916
7293.222000,0.213292
7293.223000,0.296040
7293.224000,0.223341
7293.225000,0.218722
7293.226000,0.090696
7293.227000,0.060938
7293.228000,0.073284
7293.229000,0.129327
7293.230000,0.162314
7293.231000,0.200996
7293.232000,0.244385
7293.233000,0.249042
7293.234000,0.215517
7293.235000,0.135904
7293.236000,0.191118
7293.237000,0.176912
7293.238000,0.246031
7293.239000,0.227281
7293.240000,0.175835
7293.241000,0.085780
7293.242000,-0.066899
7293.243000,-0.006043
7293.244000,-0.001860
7293.245000,0.067634
7293.246000,0.186877
7293.247000,0.153750
7293.248000,0.103965
7293.249000,0.223325
7293.250000,0.141507
7293.251000,0.214016
7293.252000,0.180347
7293.253000,0.195755
7293.254000,0.128969
7293.255000,0.171667
7293.256000,0.148712
7293.257000,0.145606
7293.258000,0.150535
7293.259000,0.147129
7293.260000,0.188911
7293.261000,0.222694
7293.262000,0.277864
7293.263000,0.232417
7293.264000,0.225813
7293.265000,0.223521
7293.266000,0.305994
7293.267000,0.362962
7293.268000,0.274730
7293.269000,0.229452
7293.270000,0.289731
7293.271000,0.245923
7293.272000,0.313533
7293.273000,0.333916
7293.274000,0.414038
7293.275000,0.510055
7293.276000,0.563111
7293.277000,0.526173
7293.278000,0.577755
7293.279000,0.580705
7293.280000,0.491129
7293.281000,0.544155
7293.282000,0.532150
7293.283000,0.593584
7293.284000,0.657807
7293.285000,0.682779
7293.286000,0.706354
7293.287000,0.673552
7293.288000,0.730377
7293.289000,0.734068
