time, autocorrelation 
0, 1.000000
1, 0.992996
2, 0.985732
3, 0.978170
4, 0.970349
5, 0.962199
6, 0.953750
7, 0.945028
8, 0.936028
9, 0.926761
10, 0.917220
11, 0.907354
12, 0.897218
13, 0.886813
14, 0.876097
15, 0.865128
16, 0.853887
17, 0.842407
18, 0.830676
19, 0.818706
20, 0.806563
21, 0.794210
22, 0.781621
23, 0.768815
24, 0.755811
25, 0.742633
26, 0.729290
27, 0.715731
28, 0.701993
29, 0.688095
30, 0.674050
31, 0.659816
32, 0.645405
33, 0.630835
34, 0.616138
35, 0.601352
36, 0.586439
37, 0.571417
38, 0.556283
39, 0.541032
40, 0.525708
41, 0.510258
42, 0.494753
43, 0.479210
44, 0.463634
45, 0.447929
46, 0.432148
47, 0.416285
48, 0.400354
49, 0.384390
50, 0.368359
51, 0.352300
52, 0.336233
53, 0.320156
54, 0.304036
55, 0.287943
56, 0.271862
57, 0.255783
58, 0.239718
59, 0.223707
60, 0.207733
61, 0.191800
62, 0.175890
63, 0.160012
64, 0.144211
65, 0.128477
66, 0.112831
67, 0.097266
68, 0.081766
69, 0.066325
70, 0.050951
71, 0.035657
72, 0.020464
73, 0.005350
74, -0.009631
75, -0.024465
76, -0.039247
77, -0.053920
78, -0.068465
79, -0.082841
80, -0.097097
81, -0.111267
82, -0.125300
83, -0.139207
84, -0.152965
85, -0.166563
86, -0.179969
87, -0.193191
88, -0.206275
89, -0.219181
90, -0.231888
91, -0.244435
92, -0.256805
93, -0.269001
94, -0.281036
95, -0.292860
96, -0.304492
97, -0.315938
98, -0.327205
99, -0.338281
100, -0.349133
101, -0.359812
102, -0.370276
103, -0.380540
104, -0.390638
105, -0.400556
106, -0.410279
107, -0.419800
108, -0.429067
109, -0.438152
110, -0.447004
111, -0.455602
112, -0.463959
113, -0.472123
114, -0.480106
115, -0.487867
116, -0.495419
117, -0.502771
118, -0.509900
119, -0.516806
120, -0.523480
121, -0.529850
122, -0.535973
123, -0.541854
124, -0.547531
125, -0.553018
126, -0.558318
127, -0.563333
128, -0.568114
129, -0.572640
130, -0.576907
131, -0.580885
132, -0.584645
133, -0.588147
134, -0.591388
135, -0.594373
136, -0.597110
137, -0.599630
138, -0.601915
139, -0.603944
140, -0.605739
141, -0.607321
142, -0.608641
143, -0.609684
144, -0.610543
145, -0.611168
146, -0.611519
147, -0.611635
148, -0.611481
149, -0.611077
150, -0.610445
151, -0.609584
152, -0.608491
153, -0.607203
154, -0.605696
155, -0.603976
156, -0.602015
157, -0.599846
158, -0.597445
159, -0.594833
160, -0.592018
161, -0.589004
162, -0.585769
163, -0.582325
164, -0.578694
165, -0.574923
166, -0.570976
167, -0.566845
168, -0.562516
169, -0.557982
170, -0.553241
171, -0.548296
172, -0.543174
173, -0.537889
174, -0.532440
175, -0.526849
176, -0.521092
177, -0.515196
178, -0.509192
179, -0.503056
180, -0.496791
181, -0.490352
182, -0.483826
183, -0.477182
184, -0.470388
185, -0.463489
186, -0.456461
187, -0.449331
188, -0.442077
189, -0.434751
190, -0.427321
191, -0.419793
192, -0.412149
193, -0.404431
194, -0.396631
195, -0.388706
196, -0.380672
197, -0.372561
198, -0.364342
199, -0.356028
200, -0.347624
201, -0.339189
202, -0.330679
203, -0.322047
204, -0.313333
205, -0.304570
206, -0.295734
207, -0.286870
208, -0.277984
209, -0.269079
210, -0.260118
211, -0.251151
212, -0.242111
213, -0.233099
214, -0.224092
215, -0.215073
216, -0.206046
217, -0.197001
218, -0.187945
219, -0.178866
220, -0.169818
221, -0.160801
222, -0.151792
223, -0.142784
224, -0.133788
225, -0.124799
226, -0.115826
227, -0.106890
228, -0.097947
229, -0.089047
230, -0.080184
231, -0.071403
232, -0.062661
233, -0.053969
234, -0.045348
235, -0.036756
236, -0.028205
237, -0.019690
238, -0.011209
239, -0.002737
240, 0.005671
241, 0.014028
242, 0.022365
243, 0.030637
244, 0.038858
245, 0.047018
246, 0.055058
247, 0.062980
248, 0.070899
249, 0.078722
250, 0.086502
251, 0.094208
252, 0.101833
253, 0.109392
254, 0.116883
255, 0.124302
256, 0.131652
257, 0.138879
258, 0.146031
259, 0.153081
260, 0.159978
261, 0.166761
262, 0.173440
263, 0.180048
264, 0.186542
265, 0.192949
266, 0.199295
267, 0.205516
268, 0.211657
269, 0.217615
270, 0.223464
271, 0.229214
272, 0.234849
273, 0.240367
274, 0.245766
275, 0.251031
276, 0.256151
277, 0.261160
278, 0.266022
279, 0.270718
280, 0.275353
281, 0.279883
282, 0.284217
283, 0.288413
284, 0.292493
285, 0.296452
286, 0.300273
287, 0.303954
288, 0.307537
289, 0.310966
290, 0.314244
291, 0.317387
292, 0.320385
293, 0.323276
294, 0.325988
295, 0.328575
296, 0.331004
297, 0.333295
298, 0.335439
299, 0.337400
300, 0.339236
301, 0.340981
302, 0.342597
303, 0.344097
304, 0.345476
305, 0.346739
306, 0.347830
307, 0.348774
308, 0.349607
309, 0.350323
310, 0.350912
311, 0.351389
312, 0.351731
313, 0.351971
314, 0.352059
315, 0.352050
316, 0.351885
317, 0.351613
318, 0.351206
319, 0.350670
320, 0.350041
321, 0.349341
322, 0.348532
323, 0.347583
324, 0.346486
325, 0.345277
326, 0.343906
327, 0.342412
328, 0.340793
329, 0.339093
330, 0.337275
331, 0.335345
332, 0.333302
333, 0.331138
334, 0.328920
335, 0.326627
336, 0.324257
337, 0.321775
338, 0.319215
339, 0.316587
340, 0.313865
341, 0.311047
342, 0.308158
343, 0.305195
344, 0.302132
345, 0.298975
346, 0.295732
347, 0.292377
348, 0.288939
349, 0.285423
350, 0.281863
351, 0.278209
352, 0.274485
353, 0.270655
354, 0.266793
355, 0.262801
356, 0.258693
357, 0.254546
358, 0.250347
359, 0.246089
360, 0.241805
361, 0.237467
362, 0.233078
363, 0.228660
364, 0.224165
365, 0.219618
366, 0.214995
367, 0.210319
368, 0.205622
369, 0.200902
370, 0.196096
371, 0.191264
372, 0.186371
373, 0.181469
374, 0.176523
375, 0.171499
376, 0.166401
377, 0.161292
378, 0.156213
379, 0.151119
380, 0.146044
381, 0.140895
382, 0.135704
383, 0.130503
384, 0.125225
385, 0.119903
386, 0.114556
387, 0.109168
388, 0.103793
389, 0.098371
390, 0.092908
391, 0.087433
392, 0.081964
393, 0.076503
394, 0.071069
395, 0.065667
396, 0.060226
397, 0.054802
398, 0.049379
399, 0.043985
400, 0.038573
401, 0.033161
402, 0.027775
403, 0.022374
404, 0.016998
405, 0.011623
406, 0.006288
407, 0.000950
408, -0.004354
409, -0.009625
410, -0.014851
411, -0.020035
412, -0.025187
413, -0.030286
414, -0.035374
415, -0.040418
416, -0.045421
417, -0.050383
418, -0.055250
419, -0.060032
420, -0.064753
421, -0.069385
422, -0.074015
423, -0.078603
424, -0.083141
425, -0.087633
426, -0.092079
427, -0.096452
428, -0.100779
429, -0.105010
430, -0.109186
431, -0.113324
432, -0.117404
433, -0.121463
434, -0.125396
435, -0.129247
436, -0.133048
437, -0.136772
438, -0.140418
439, -0.143949
440, -0.147370
441, -0.150732
442, -0.153992
443, -0.157191
444, -0.160324
445, -0.163377
446, -0.166364
447, -0.169286
448, -0.172161
449, -0.174880
450, -0.177507
451, -0.180001
452, -0.182429
453, -0.184786
454, -0.187093
455, -0.189360
456, -0.191549
457, -0.193660
458, -0.195656
459, -0.197608
460, -0.199445
461, -0.201190
462, -0.202876
463, -0.204435
464, -0.205895
465, -0.207300
466, -0.208685
467, -0.210008
468, -0.211264
469, -0.212427
470, -0.213528
471, -0.214563
472, -0.215540
473, -0.216441
474, -0.217263
475, -0.218022
476, -0.218661
477, -0.219248
478, -0.219723
479, -0.220101
480, -0.220366
481, -0.220558
482, -0.220669
483, -0.220678
484, -0.220648
485, -0.220507
486, -0.220341
487, -0.220081
488, -0.219774
489, -0.219340
490, -0.218851
491, -0.218285
492, -0.217677
493, -0.216999
494, -0.216228
495, -0.215389
496, -0.214451
497, -0.213439
498, -0.212360
499, -0.211224
500, -0.210017
501, -0.208743
502, -0.207366
503, -0.205925
504, -0.204357
505, -0.202739
506, -0.201044
507, -0.199243
508, -0.197391
509, -0.195559
510, -0.193675
511, -0.191738
512, -0.189751
513, -0.187724
514, -0.185668
515, -0.183515
516, -0.181316
517, -0.179056
518, -0.176814
519, -0.174497
520, -0.172135
521, -0.169755
522, -0.167324
523, -0.164892
524, -0.162356
525, -0.159791
526, -0.157175
527, -0.154516
528, -0.151804
529, -0.149050
530, -0.146267
531, -0.143491
532, -0.140704
533, -0.137924
534, -0.135090
535, -0.132235
536, -0.129310
537, -0.126355
538, -0.123387
539, -0.120354
540, -0.117310
541, -0.114241
542, -0.111133
543, -0.108035
544, -0.104921
545, -0.101791
546, -0.098589
547, -0.095372
548, -0.092109
549, -0.088869
550, -0.085593
551, -0.082234
552, -0.078835
553, -0.075450
554, -0.072030
555, -0.068582
556, -0.065138
557, -0.061733
558, -0.058322
559, -0.054868
560, -0.051420
561, -0.047984
562, -0.044622
563, -0.041239
564, -0.037874
565, -0.034558
566, -0.031242
567, -0.027917
568, -0.024619
569, -0.021287
570, -0.018018
571, -0.014762
572, -0.011548
573, -0.008360
574, -0.005151
575, -0.001914
576, 0.001379
577, 0.004652
578, 0.007899
579, 0.011183
580, 0.014447
581, 0.017688
582, 0.020868
583, 0.023996
584, 0.027124
585, 0.030247
586, 0.033355
587, 0.036420
588, 0.039437
589, 0.042465
590, 0.045472
591, 0.048390
592, 0.051264
593, 0.054112
594, 0.056917
595, 0.059712
596, 0.062449
597, 0.065171
598, 0.067857
599, 0.070531
600, 0.073162
601, 0.075716
602, 0.078210
603, 0.080665
604, 0.083067
605, 0.085420
606, 0.087711
607, 0.089973
608, 0.092208
609, 0.094414
610, 0.096604
611, 0.098750
612, 0.100840
613, 0.102914
614, 0.104987
615, 0.106995
616, 0.108951
617, 0.110859
618, 0.112721
619, 0.114510
620, 0.116297
621, 0.118038
622, 0.119706
623, 0.121309
624, 0.122834
625, 0.124352
626, 0.125809
627, 0.127217
628, 0.128586
629, 0.129883
630, 0.131151
631, 0.132339
632, 0.133474
633, 0.134554
634, 0.135568
635, 0.136541
636, 0.137478
637, 0.138337
638, 0.139199
639, 0.140014
640, 0.140759
641, 0.141444
642, 0.142097
643, 0.142748
644, 0.143380
645, 0.144008
646, 0.144557
647, 0.145058
648, 0.145463
649, 0.145795
650, 0.146089
651, 0.146323
652, 0.146483
653, 0.146641
654, 0.146703
655, 0.146691
656, 0.146592
657, 0.146451
658, 0.146252
659, 0.146016
660, 0.145747
661, 0.145432
662, 0.145085
663, 0.144699
664, 0.144258
665, 0.143798
666, 0.143292
667, 0.142722
668, 0.142097
669, 0.141430
670, 0.140692
671, 0.139915
672, 0.139089
673, 0.138207
674, 0.137276
675, 0.136268
676, 0.135239
677, 0.134151
678, 0.132997
679, 0.131793
680, 0.130543
681, 0.129241
682, 0.127945
683, 0.126576
684, 0.125151
685, 0.123684
686, 0.122209
687, 0.120706
688, 0.119195
689, 0.117616
690, 0.115993
691, 0.114356
692, 0.112680
693, 0.110959
694, 0.109168
695, 0.107291
696, 0.105367
697, 0.103390
698, 0.101379
699, 0.099347
700, 0.097225
701, 0.095067
702, 0.092876
703, 0.090660
704, 0.088427
705, 0.086143
706, 0.083840
707, 0.081550
708, 0.079209
709, 0.076832
710, 0.074447
711, 0.072038
712, 0.069603
713, 0.067087
714, 0.064526
715, 0.061968
716, 0.059384
717, 0.056755
718, 0.054126
719, 0.051456
720, 0.048785
721, 0.046057
722, 0.043352
723, 0.040665
724, 0.038028
725, 0.035410
726, 0.032835
727, 0.030258
728, 0.027742
729, 0.025202
730, 0.022668
731, 0.020097
732, 0.017537
733, 0.014978
734, 0.012453
735, 0.009974
736, 0.007523
737, 0.005108
738, 0.002693
739, 0.000219
740, -0.002229
741, -0.004702
742, -0.007153
743, -0.009598
744, -0.012045
745, -0.014468
746, -0.016862
747, -0.019274
748, -0.021634
749, -0.023964
750, -0.026296
751, -0.028607
752, -0.030900
753, -0.033134
754, -0.035327
755, -0.037488
756, -0.039567
757, -0.041558
758, -0.043522
759, -0.045475
760, -0.047389
761, -0.049289
762, -0.051175
763, -0.053027
764, -0.054827
765, -0.056568
766, -0.058256
767, -0.059907
768, -0.061528
769, -0.063066
770, -0.064573
771, -0.066076
772, -0.067531
773, -0.068921
774, -0.070268
775, -0.071560
776, -0.072788
777, -0.073991
778, -0.075149
779, -0.076300
780, -0.077431
781, -0.078552
782, -0.079642
783, -0.080668
784, -0.081619
785, -0.082528
786, -0.083412
787, -0.084257
788, -0.085042
789, -0.085784
790, -0.086527
791, -0.087217
792, -0.087870
793, -0.088450
794, -0.088995
795, -0.089509
796, -0.089964
797, -0.090351
798, -0.090705
799, -0.091014
800, -0.091294
801, -0.091528
802, -0.091717
803, -0.091873
804, -0.092005
805, -0.092071
806, -0.092103
807, -0.092068
808, -0.091997
809, -0.091890
810, -0.091758
811, -0.091558
812, -0.091302
813, -0.090997
814, -0.090645
815, -0.090208
816, -0.089782
817, -0.089348
818, -0.088928
819, -0.088489
820, -0.088042
821, -0.087532
822, -0.086967
823, -0.086419
824, -0.085827
825, -0.085228
826, -0.084587
827, -0.083871
828, -0.083097
829, -0.082294
830, -0.081443
831, -0.080582
832, -0.079681
833, -0.078759
834, -0.077777
835, -0.076776
836, -0.075783
837, -0.074769
838, -0.073742
839, -0.072747
840, -0.071739
841, -0.070697
842, -0.069631
843, -0.068566
844, -0.067482
845, -0.066364
846, -0.065183
847, -0.064024
848, -0.062875
849, -0.061672
850, -0.060476
851, -0.059275
852, -0.058060
853, -0.056818
854, -0.055563
855, -0.054303
856, -0.053090
857, -0.051887
858, -0.050688
859, -0.049502
860, -0.048311
861, -0.047107
862, -0.045861
863, -0.044603
864, -0.043368
865, -0.042108
866, -0.040850
867, -0.039603
868, -0.038390
869, -0.037155
870, -0.035925
871, -0.034692
872, -0.033516
873, -0.032355
874, -0.031243
875, -0.030087
876, -0.028970
877, -0.027877
878, -0.026756
879, -0.025666
880, -0.024537
881, -0.023407
882, -0.022309
883, -0.021191
884, -0.020086
885, -0.019016
886, -0.017915
887, -0.016817
888, -0.015748
889, -0.014675
890, -0.013639
891, -0.012624
892, -0.011596
893, -0.010531
894, -0.009474
895, -0.008414
896, -0.007412
897, -0.006480
898, -0.005504
899, -0.004535
900, -0.003598
901, -0.002690
902, -0.001799
903, -0.000909
904, -0.000025
905, 0.000869
