time, autocorrelation 
0, 1.000000
1, 0.979116
2, 0.958473
3, 0.937968
4, 0.917698
5, 0.897441
6, 0.877279
7, 0.857284
8, 0.837426
9, 0.817733
10, 0.798165
11, 0.778565
12, 0.759081
13, 0.739707
14, 0.720301
15, 0.701031
16, 0.681820
17, 0.662760
18, 0.643796
19, 0.624957
20, 0.606424
21, 0.588069
22, 0.569802
23, 0.551666
24, 0.533698
25, 0.515962
26, 0.498469
27, 0.481044
28, 0.463784
29, 0.446733
30, 0.429909
31, 0.413174
32, 0.396539
33, 0.380052
34, 0.363786
35, 0.347841
36, 0.332083
37, 0.316551
38, 0.301213
39, 0.286042
40, 0.271149
41, 0.256360
42, 0.241872
43, 0.227718
44, 0.213893
45, 0.200090
46, 0.186446
47, 0.172930
48, 0.159563
49, 0.146434
50, 0.133421
51, 0.120625
52, 0.108089
53, 0.095784
54, 0.083599
55, 0.071718
56, 0.060088
57, 0.048651
58, 0.037431
59, 0.026531
60, 0.015879
61, 0.005472
62, -0.004767
63, -0.014823
64, -0.024582
65, -0.034091
66, -0.043305
67, -0.052255
68, -0.061012
69, -0.069614
70, -0.078052
71, -0.086299
72, -0.094311
73, -0.102170
74, -0.109730
75, -0.116960
76, -0.124172
77, -0.131202
78, -0.138010
79, -0.144487
80, -0.150799
81, -0.157062
82, -0.163135
83, -0.169067
84, -0.174805
85, -0.180327
86, -0.185549
87, -0.190513
88, -0.195369
89, -0.200010
90, -0.204385
91, -0.208624
92, -0.212687
93, -0.216597
94, -0.220405
95, -0.223973
96, -0.227363
97, -0.230613
98, -0.233749
99, -0.236751
100, -0.239525
101, -0.242237
102, -0.244772
103, -0.247181
104, -0.249583
105, -0.251937
106, -0.254215
107, -0.256396
108, -0.258338
109, -0.260259
110, -0.262017
111, -0.263553
112, -0.264917
113, -0.266263
114, -0.267632
115, -0.268903
116, -0.270123
117, -0.271328
118, -0.272452
119, -0.273502
120, -0.274451
121, -0.275087
122, -0.275590
123, -0.275973
124, -0.276364
125, -0.276805
126, -0.277309
127, -0.277583
128, -0.277778
129, -0.277843
130, -0.277759
131, -0.277440
132, -0.277105
133, -0.276630
134, -0.276011
135, -0.275259
136, -0.274405
137, -0.273538
138, -0.272607
139, -0.271547
140, -0.270423
141, -0.269298
142, -0.268022
143, -0.266551
144, -0.265161
145, -0.263705
146, -0.262052
147, -0.260324
148, -0.258405
149, -0.256358
150, -0.254246
151, -0.252065
152, -0.249795
153, -0.247553
154, -0.245255
155, -0.242918
156, -0.240450
157, -0.237946
158, -0.235331
159, -0.232660
160, -0.229956
161, -0.227224
162, -0.224389
163, -0.221482
164, -0.218566
165, -0.215776
166, -0.212997
167, -0.210192
168, -0.207319
169, -0.204344
170, -0.201256
171, -0.198053
172, -0.194817
173, -0.191575
174, -0.188319
175, -0.185110
176, -0.181863
177, -0.178653
178, -0.175566
179, -0.172523
180, -0.169518
181, -0.166412
182, -0.163458
183, -0.160550
184, -0.157584
185, -0.154688
186, -0.151776
187, -0.148926
188, -0.146060
189, -0.143325
190, -0.140612
191, -0.137935
192, -0.135228
193, -0.132609
194, -0.130039
195, -0.127385
196, -0.124681
197, -0.122015
198, -0.119284
199, -0.116513
200, -0.113709
201, -0.111047
202, -0.108374
203, -0.105541
204, -0.102657
205, -0.099815
206, -0.096929
207, -0.094126
208, -0.091416
209, -0.088797
210, -0.086148
211, -0.083606
212, -0.080964
213, -0.078516
214, -0.076178
