frequencies, power
-20.000000,0.009490
-19.988889,0.102842
-19.977778,0.087103
-19.966667,0.008343
-19.955556,0.025549
-19.944444,0.032969
-19.933333,0.002227
-19.922222,0.292758
-19.911111,0.059303
-19.900000,0.049013
-19.888889,0.044809
-19.877778,0.097401
-19.866667,0.000644
-19.855556,0.188277
-19.844444,0.010182
-19.833333,0.095864
-19.822222,0.269032
-19.811111,0.296976
-19.800000,0.086411
-19.788889,0.044292
-19.777778,0.095391
-19.766667,0.009439
-19.755556,0.010709
-19.744444,0.018033
-19.733333,0.043250
-19.722222,0.043987
-19.711111,0.059523
-19.700000,0.050412
-19.688889,0.013693
-19.677778,0.139046
-19.666667,0.017190
-19.655556,0.023241
-19.644444,0.070271
-19.633333,0.006288
-19.622222,0.067790
-19.611111,0.078909
-19.600000,0.008709
-19.588889,0.060642
-19.577778,0.210612
-19.566667,0.146643
-19.555556,0.003073
-19.544444,0.033589
-19.533333,0.060810
-19.522222,0.021608
-19.511111,0.064835
-19.500000,0.001813
-19.488889,0.045480
-19.477778,0.005026
-19.466667,0.128436
-19.455556,0.018921
-19.444444,0.003457
-19.433333,0.173254
-19.422222,0.033674
-19.411111,0.149606
-19.400000,0.004842
-19.388889,0.002021
-19.377778,0.015884
-19.366667,0.116809
-19.355556,0.167292
-19.344444,0.016315
-19.333333,0.008431
-19.322222,0.004443
-19.311111,0.059845
-19.300000,0.006527
-19.288889,0.197523
-19.277778,0.034193
-19.266667,0.065665
-19.255556,0.035368
-19.244444,0.178109
-19.233333,0.186705
-19.222222,0.106527
-19.211111,0.005022
-19.200000,0.150437
-19.188889,0.128519
-19.177778,0.010907
-19.166667,0.036284
-19.155556,0.040121
-19.144444,0.048533
-19.133333,0.005458
-19.122222,0.185412
-19.111111,0.003568
-19.100000,0.288193
-19.088889,0.049518
-19.077778,0.005569
-19.066667,0.078410
-19.055556,0.018180
-19.044444,0.389762
-19.033333,0.044554
-19.022222,0.241954
-19.011111,0.109255
-19.000000,0.056729
-18.988889,0.096026
-18.977778,0.143392
-18.966667,0.067108
-18.955556,0.169682
-18.944444,0.020175
-18.933333,0.000032
-18.922222,0.137117
-18.911111,0.024325
-18.900000,0.075841
-18.888889,0.007599
-18.877778,0.097361
-18.866667,0.116702
-18.855556,0.042032
-18.844444,0.103712
-18.833333,0.002114
-18.822222,0.019470
-18.811111,0.039121
-18.800000,0.065601
-18.788889,0.014257
-18.777778,0.074783
-18.766667,0.034415
-18.755556,0.034240
-18.744444,0.020063
-18.733333,0.163759
-18.722222,0.082306
-18.711111,0.379783
-18.700000,0.122181
-18.688889,0.071506
-18.677778,0.011959
-18.666667,0.018912
-18.655556,0.006406
-18.644444,0.138384
-18.633333,0.103152
-18.622222,0.044323
-18.611111,0.155215
-18.600000,0.028359
-18.588889,0.050760
-18.577778,0.017356
-18.566667,0.017710
-18.555556,0.160264
-18.544444,0.152415
-18.533333,0.004066
-18.522222,0.136857
-18.511111,0.174489
-18.500000,0.056691
-18.488889,0.011036
-18.477778,0.003625
-18.466667,0.036736
-18.455556,0.121563
-18.444444,0.123971
-18.433333,0.039972
-18.422222,0.006908
-18.411111,0.012737
-18.400000,0.067511
-18.388889,0.028126
-18.377778,0.085188
-18.366667,0.098574
-18.355556,0.106152
-18.344444,0.225445
-18.333333,0.052668
-18.322222,0.064733
-18.311111,0.106008
-18.300000,0.003550
-18.288889,0.055327
-18.277778,0.046140
-18.266667,0.193487
-18.255556,0.054322
-18.244444,0.084765
-18.233333,0.037228
-18.222222,0.012261
-18.211111,0.324287
-18.200000,0.041584
-18.188889,0.058395
-18.177778,0.037594
-18.166667,0.207580
-18.155556,0.116809
-18.144444,0.111165
-18.133333,0.020682
-18.122222,0.088803
-18.111111,0.048703
-18.100000,0.070702
-18.088889,0.103495
-18.077778,0.082283
-18.066667,0.074098
-18.055556,0.005803
-18.044444,0.078364
-18.033333,0.033307
-18.022222,0.110376
-18.011111,0.086640
-18.000000,0.072901
-17.988889,0.224023
-17.977778,0.065342
-17.966667,0.078233
-17.955556,0.121799
-17.944444,0.035870
-17.933333,0.085995
-17.922222,0.139568
-17.911111,0.036144
-17.900000,0.065185
-17.888889,0.148573
-17.877778,0.026343
-17.866667,0.032550
-17.855556,0.080959
-17.844444,0.078817
-17.833333,0.196922
-17.822222,0.017132
-17.811111,0.018181
-17.800000,0.077262
-17.788889,0.203508
-17.777778,0.019812
-17.766667,0.018331
-17.755556,0.054957
-17.744444,0.146423
-17.733333,0.073224
-17.722222,0.148764
-17.711111,0.043463
-17.700000,0.077122
-17.688889,0.084589
-17.677778,0.134724
-17.666667,0.083284
-17.655556,0.140871
-17.644444,0.107470
-17.633333,0.132527
-17.622222,0.013510
-17.611111,0.019182
-17.600000,0.019258
-17.588889,0.078038
-17.577778,0.012878
-17.566667,0.092916
-17.555556,0.107419
-17.544444,0.036960
-17.533333,0.079767
-17.522222,0.102121
-17.511111,0.008903
-17.500000,0.029090
-17.488889,0.184491
-17.477778,0.189723
-17.466667,0.086359
-17.455556,0.013254
-17.444444,0.030114
-17.433333,0.167876
-17.422222,0.000220
-17.411111,0.203028
-17.400000,0.098051
-17.388889,0.009802
