time, x1, y1, x1, x2, y2, z2, x3, y3, z3
0.000000, -0.027713, 0.013981, 0.251120, 12.297926, 13.903835, 6.113473, 12.024351, 13.995120, 14.318235
0.001000, -0.027946, 0.013996, 0.250833, 12.297772, 13.904012, 6.113480, 12.024374, 13.995308, 14.318109
0.002000, -0.029104, 0.014069, 0.249408, 12.296879, 13.904743, 6.113452, 12.024365, 13.996093, 14.317336
0.003000, -0.030927, 0.014170, 0.247165, 12.295452, 13.905881, 6.113397, 12.024336, 13.997309, 14.316115
0.004000, -0.033337, 0.014277, 0.244201, 12.293549, 13.907387, 6.113318, 12.024294, 13.998911, 14.314515
0.005000, -0.036282, 0.014372, 0.240574, 12.291205, 13.909243, 6.113212, 12.024245, 14.000874, 14.312582
0.006000, -0.039718, 0.014438, 0.236327, 12.288442, 13.911435, 6.113078, 12.024200, 14.003179, 14.310347
0.007000, -0.043606, 0.014461, 0.231500, 12.285280, 13.913956, 6.112914, 12.024166, 14.005814, 14.307840
0.008000, -0.047907, 0.014424, 0.226126, 12.281737, 13.916798, 6.112717, 12.024154, 14.008767, 14.305081
0.009000, -0.052580, 0.014314, 0.220236, 12.277829, 13.919955, 6.112484, 12.024174, 14.012029, 14.302090
0.010000, -0.057586, 0.014118, 0.213863, 12.273574, 13.923422, 6.112211, 12.024239, 14.015589, 14.298882
0.011000, -0.062887, 0.013825, 0.207035, 12.268988, 13.927194, 6.111895, 12.024358, 14.019438, 14.295471
0.012000, -0.068443, 0.013425, 0.199781, 12.264088, 13.931266, 6.111532, 12.024545, 14.023570, 14.291869
0.013000, -0.074218, 0.012908, 0.192128, 12.258893, 13.935633, 6.111117, 12.024810, 14.027975, 14.288086
0.014000, -0.080175, 0.012268, 0.184103, 12.253423, 13.940291, 6.110646, 12.025165, 14.032646, 14.284132
0.015000, -0.086278, 0.011499, 0.175732, 12.247696, 13.945235, 6.110116, 12.025621, 14.037574, 14.280017
0.016000, -0.092494, 0.010596, 0.167039, 12.241733, 13.950462, 6.109521, 12.026188, 14.042750, 14.275750
0.017000, -0.098793, 0.009556, 0.158049, 12.235557, 13.955966, 6.108857, 12.026877, 14.048167, 14.271340
0.018000, -0.105143, 0.008378, 0.148787, 12.229190, 13.961744, 6.108119, 12.027695, 14.053814, 14.266797
0.019000, -0.111515, 0.007059, 0.139277, 12.222653, 13.967793, 6.107303, 12.028652, 14.059682, 14.262129
0.020000, -0.117884, 0.005602, 0.129544, 12.215972, 13.974108, 6.106403, 12.029753, 14.065762, 14.257344
0.021000, -0.124224, 0.004005, 0.119610, 12.209168, 13.980686, 6.105412, 12.031004, 14.072041, 14.252454
0.022000, -0.130513, 0.002272, 0.109499, 12.202265, 13.987524, 6.104325, 12.032411, 14.078511, 14.247466
0.023000, -0.136732, 0.000405, 0.099234, 12.195287, 13.994619, 6.103134, 12.033978, 14.085159, 14.242391
0.024000, -0.142861, -0.001595, 0.088836, 12.188256, 14.001968, 6.101833, 12.035707, 14.091974, 14.237239
0.025000, -0.148886, -0.003724, 0.078325, 12.181196, 14.009568, 6.100416, 12.037601, 14.098944, 14.232020
0.026000, -0.154792, -0.005979, 0.067720, 12.174127, 14.017416, 6.098874, 12.039661, 14.106057, 14.226743
0.027000, -0.160564, -0.008357, 0.057041, 12.167072, 14.025507, 6.097200, 12.041888, 14.113300, 14.221418
