time, T, V, E
0.000000, 0.000000, 0.000000, 0.000000
0.001000, 0.234072, -0.234607, -0.000535
0.002000, 2.560974, -2.440910, 0.120064
0.003000, 5.460268, -4.812205, 0.648063
0.004000, 8.746549, -7.323165, 1.423384
0.005000, 12.283358, -9.952503, 2.330856
0.006000, 15.957825, -12.671437, 3.286388
0.007000, 19.673892, -15.438819, 4.235073
0.008000, 23.350033, -18.219318, 5.130716
0.009000, 26.918455, -20.968371, 5.950084
0.010000, 30.324612, -23.650328, 6.674284
0.011000, 33.525000, -26.232844, 7.292157
0.012000, 36.485365, -28.684583, 7.800782
0.013000, 39.180780, -30.973966, 8.206814
0.014000, 41.595130, -33.083257, 8.511873
0.015000, 43.719849, -34.991795, 8.728054
0.016000, 45.552178, -36.685957, 8.866222
0.017000, 47.093090, -38.154603, 8.938487
0.018000, 48.346080, -39.384027, 8.962053
0.019000, 49.317153, -40.367904, 8.949249
0.020000, 50.015161, -41.102077, 8.913084
0.021000, 50.451519, -41.585520, 8.865999
0.022000, 50.639091, -41.820721, 8.818370
0.023000, 50.591370, -41.813752, 8.777618
0.024000, 50.322656, -41.570562, 8.752093
0.025000, 49.848389, -41.102747, 8.745642
0.026000, 49.184810, -40.421277, 8.763533
0.027000, 48.348845, -39.539562, 8.809283
0.028000, 47.358567, -38.474930, 8.883637
0.029000, 46.233708, -37.245357, 8.988351
0.030000, 44.995815, -35.872180, 9.123635
0.031000, 43.667945, -34.377584, 9.290361
0.032000, 42.274455, -32.784778, 9.489677
0.033000, 40.840600, -31.122637, 9.717963
0.034000, 39.391951, -29.415511, 9.976440
0.035000, 37.953989, -27.690173, 10.263816
0.036000, 36.551560, -25.973089, 10.578471
0.037000, 35.208268, -24.288989, 10.919280
0.038000, 33.945744, -22.662718, 11.283026
0.039000, 32.783081, -21.113348, 11.669733
0.040000, 31.736529, -19.659035, 12.077494
0.041000, 30.819258, -18.316773, 12.502485
0.042000, 30.041199, -17.097902, 12.943297
0.043000, 29.409046, -16.010355, 13.398691
0.044000, 28.926383, -15.061624, 13.864758
0.045000, 28.593734, -14.255387, 14.338348
0.046000, 28.408587, -13.590293, 14.818294
