time, T, V, E
0.000000, 0.000000, 0.000000, 0.000000
0.001000, 0.231738, -0.232320, -0.000582
0.002000, 1.908025, -1.780284, 0.127742
0.003000, 4.120812, -3.819147, 0.301665
0.004000, 6.730820, -6.223023, 0.507798
0.005000, 9.626205, -8.897004, 0.729202
0.006000, 12.708105, -11.753728, 0.954377
0.007000, 15.888010, -14.717936, 1.170074
0.008000, 19.087541, -17.722940, 1.364602
0.009000, 22.238567, -20.707347, 1.531221
0.010000, 25.283124, -23.622638, 1.660486
0.011000, 28.172965, -26.423178, 1.749787
0.012000, 30.868945, -29.073456, 1.795489
0.013000, 33.340719, -31.543923, 1.796796
0.014000, 35.566436, -33.811748, 1.754688
0.015000, 37.532133, -35.861616, 1.670517
0.016000, 39.230779, -37.682010, 1.548768
0.017000, 40.660436, -39.270970, 1.389466
0.018000, 41.822538, -40.624039, 1.198499
0.019000, 42.721734, -41.739037, 0.982696
0.020000, 43.365883, -42.620359, 0.745525
0.021000, 43.765484, -43.271664, 0.493820
0.022000, 43.932781, -43.701478, 0.231304
0.023000, 43.881091, -43.917129, -0.036038
0.024000, 43.624464, -43.928425, -0.303961
0.025000, 43.177001, -43.742947, -0.565947
0.026000, 42.552975, -43.372300, -0.819325
0.027000, 41.767540, -42.826358, -1.058818
0.028000, 40.836751, -42.119767, -1.283016
0.029000, 39.777599, -41.264482, -1.486882
0.030000, 38.608101, -40.276439, -1.668338
0.031000, 37.347214, -39.171457, -1.824244
0.032000, 36.015007, -37.968514, -1.953507
0.033000, 34.632593, -36.687178, -2.054584
0.034000, 33.221818, -35.348590, -2.126772
0.035000, 31.804895, -33.975815, -2.170920
0.036000, 30.403961, -32.589891, -2.185930
0.037000, 29.040752, -31.214372, -2.173620
0.038000, 27.736112, -29.870434, -2.134322
0.039000, 26.509478, -28.579397, -2.069919
0.040000, 25.378449, -27.361301, -1.982852
0.041000, 24.358392, -26.233183, -1.874792
0.042000, 23.462144, -25.210044, -1.747901
0.043000, 22.699749, -24.303592, -1.603843
0.044000, 22.078196, -23.525717, -1.447521
0.045000, 21.601294, -22.880086, -1.278792
0.046000, 21.269670, -22.374584, -1.104914
0.047000, 21.080821, -22.007042, -0.926220
0.048000, 21.029258, -21.774338, -0.745079
0.049000, 21.106766, -21.671444, -0.564678
0.050000, 21.302733, -21.689932, -0.387199
0.051000, 21.604480, -21.819858, -0.215378
0.052000, 21.997736, -22.048282, -0.050547
0.053000, 22.467034, -22.361961, 0.105073
0.054000, 22.996114, -22.745730, 0.250384
0.055000, 23.568475, -23.183843, 0.384632
0.056000, 24.167838, -23.660658, 0.507180
0.057000, 24.778510, -24.161186, 0.617325
0.058000, 25.385762, -24.671211, 0.714551
0.059000, 25.976135, -25.175918, 0.800217
0.060000, 26.537437, -25.664669, 0.872768
0.061000, 27.058770, -26.124120, 0.934650
0.062000, 27.530876, -26.544792, 0.986084
0.063000, 27.946430, -26.918696, 1.027734
0.064000, 28.299980, -27.239442, 1.060538
0.065000, 28.587684, -27.502018, 1.085666
0.066000, 28.807121, -27.701123, 1.105998
0.067000, 28.957187, -27.835990, 1.121197
0.068000, 29.037985, -27.904202, 1.133783
0.069000, 29.050709, -27.905573, 1.145136
0.070000, 28.997654, -27.841464, 1.156189
0.071000, 28.882144, -27.714917, 1.167228
0.072000, 28.708462, -27.528431, 1.180031
0.073000, 28.481697, -27.284038, 1.197660
0.074000, 28.207568, -26.988515, 1.219053
0.075000, 27.892171, -26.646638, 1.245533
0.076000, 27.541791, -26.264578, 1.277213
0.077000, 27.162873, -25.847925, 1.314949
0.078000, 26.761869, -25.402334, 1.359535
0.079000, 26.345144, -24.933910, 1.411233
0.080000, 25.918998, -24.449258, 1.469741
0.081000, 25.489658, -23.954099, 1.535560
0.082000, 25.063267, -23.453323, 1.609944
0.083000, 24.645867, -22.954983, 1.690884
0.084000, 24.243146, -22.463553, 1.779593
0.085000, 23.860383, -21.987021, 1.873362
0.086000, 23.502506, -21.527243, 1.975264
0.087000, 23.173957, -21.091013, 2.082944
0.088000, 22.878655, -20.683884, 2.194771
0.089000, 22.619971, -20.307968, 2.312003
0.090000, 22.400710, -19.967576, 2.433133
0.091000, 22.223170, -19.664631, 2.558539
0.092000, 22.089089, -19.401365, 2.687724
0.093000, 21.999593, -19.179878, 2.819714
0.094000, 21.955231, -19.001853, 2.953378
0.095000, 21.955988, -18.867523, 3.088465
0.096000, 22.001263, -18.777105, 3.224158
0.097000, 22.089906, -18.731062, 3.358844
0.098000, 22.220287, -18.728278, 3.492009
0.099000, 22.390447, -18.768064, 3.622384
0.100000, 22.598074, -18.847232, 3.750842
0.101000, 22.840500, -18.964316, 3.876184
0.102000, 23.114908, -19.117214, 3.997694
0.103000, 23.418383, -19.303073, 4.115309
0.104000, 23.747844, -19.521101, 4.226744
0.105000, 24.099975, -19.765322, 4.334653
0.106000, 24.471150, -20.036057, 4.435093
0.107000, 24.857461, -20.328172, 4.529289
0.108000, 25.254868, -20.637548, 4.617320
0.109000, 25.659299, -20.959978, 4.699320
0.110000, 26.066635, -21.292622, 4.774012
0.111000, 26.472774, -21.631188, 4.841585
0.112000, 26.873709, -21.972275, 4.901435
0.113000, 27.265644, -22.311221, 4.954423
0.114000, 27.645075, -22.645343, 4.999732
0.115000, 28.008858, -22.969839, 5.039020
0.116000, 28.354110, -23.282858, 5.071252
0.117000, 28.678090, -23.579710, 5.098379
