time, x1, y1, x1, x2, y2, z2, x3, y3, z3
0.000000, -0.009704, -0.147512, 0.029708, 12.001983, 14.254610, 6.254872, 11.999084, 14.250246, 14.317210
0.001000, -0.009872, -0.147381, 0.029681, 13.847310, 4.167412, 6.291815, 11.999042, 14.249999, 14.317025
0.002000, -0.010824, -0.146634, 0.029529, 13.849712, 4.168480, 6.288107, 11.998661, 14.248428, 14.315807
0.003000, -0.012328, -0.145546, 0.029243, 13.853442, 4.170115, 6.282371, 11.998049, 14.246079, 14.313982
0.004000, -0.014326, -0.144229, 0.028801, 13.858322, 4.172209, 6.274935, 11.997236, 14.243160, 14.311715
0.005000, -0.016784, -0.142758, 0.028185, 13.864236, 4.174681, 6.266023, 11.996243, 14.239811, 14.309114
0.006000, -0.019673, -0.141184, 0.027383, 13.871082, 4.177459, 6.255821, 11.995087, 14.236133, 14.306259
0.007000, -0.022966, -0.139547, 0.026389, 13.878772, 4.180473, 6.244496, 11.993781, 14.232202, 14.303213
0.008000, -0.026638, -0.137875, 0.025203, 13.887219, 4.183656, 6.232204, 11.992338, 14.228078, 14.300025
0.009000, -0.030664, -0.136193, 0.023826, 13.896344, 4.186946, 6.219088, 11.990769, 14.223808, 14.296737
0.010000, -0.035020, -0.134516, 0.022259, 13.906073, 4.190283, 6.205280, 11.989084, 14.219432, 14.293381
0.011000, -0.039683, -0.132858, 0.020509, 13.916341, 4.193613, 6.190900, 11.987295, 14.214981, 14.289986
0.012000, -0.044628, -0.131228, 0.018582, 13.927087, 4.196886, 6.176058, 11.985413, 14.210479, 14.286575
0.013000, -0.049830, -0.129632, 0.016484, 13.938257, 4.200055, 6.160856, 11.983448, 14.205948, 14.283168
0.014000, -0.055266, -0.128075, 0.014222, 13.949799, 4.203081, 6.145389, 11.981414, 14.201405, 14.279781
0.015000, -0.060911, -0.126557, 0.011805, 13.961665, 4.205926, 6.129743, 11.979322, 14.196864, 14.276426
0.016000, -0.066739, -0.125080, 0.009240, 13.973814, 4.208556, 6.113997, 11.977185, 14.192334, 14.273114
0.017000, -0.072724, -0.123642, 0.006534, 13.986209, 4.210944, 6.098222, 11.975015, 14.187826, 14.269853
0.018000, -0.078843, -0.122241, 0.003695, 13.998814, 4.213064, 6.082484, 11.972826, 14.183347, 14.266648
0.019000, -0.085068, -0.120874, 0.000731, 14.011596, 4.214896, 6.066843, 11.970629, 14.178903, 14.263504
0.020000, -0.091373, -0.119537, -0.002352, 14.024525, 4.216422, 6.051354, 11.968438, 14.174498, 14.260425
0.021000, -0.097735, -0.118226, -0.005548, 14.037571, 4.217630, 6.036064, 11.966267, 14.170138, 14.257412
0.022000, -0.104126, -0.116937, -0.008849, 14.050709, 4.218511, 6.021020, 11.964127, 14.165826, 14.254466
0.023000, -0.110523, -0.115666, -0.012250, 14.063914, 4.219055, 6.006260, 11.962032, 14.161569, 14.251587
0.024000, -0.116900, -0.114410, -0.015746, 14.077158, 4.219257, 5.991825, 11.959993, 14.157371, 14.248773
0.025000, -0.123233, -0.113165, -0.019332, 14.090412, 4.219113, 5.977754, 11.958021, 14.153240, 14.246023
0.026000, -0.129498, -0.111929, -0.023003, 14.103646, 4.218620, 5.964084, 11.956128, 14.149183, 14.243333
0.027000, -0.135672, -0.110699, -0.026755, 14.116826, 4.217779, 5.950853, 11.954323, 14.145208, 14.240701
0.028000, -0.141735, -0.109473, -0.030582, 14.129922, 4.216596, 5.938098, 11.952615, 14.141326, 14.238123
0.029000, -0.147664, -0.108249, -0.034481, 14.142900, 4.215077, 5.925854, 11.951016, 14.137547, 14.235595
0.030000, -0.153443, -0.107026, -0.038449, 14.155728, 4.213234, 5.914155, 11.949532, 14.133881, 14.233114
0.031000, -0.159055, -0.105804, -0.042482, 14.168373, 4.211083, 5.903035, 11.948174, 14.130341, 14.230676
0.032000, -0.164483, -0.104583, -0.046577, 14.180803, 4.208641, 5.892523, 11.946951, 14.126941, 14.228279
0.033000, -0.169715, -0.103363, -0.050732, 14.192984, 4.205934, 5.882651, 11.945871, 14.123694, 14.225918
0.034000, -0.174738, -0.102144, -0.054943, 14.204886, 4.202991, 5.873448, 11.944944, 14.120614, 14.223590
0.035000, -0.179542, -0.100928, -0.059208, 14.216476, 4.199845, 5.864942, 11.944178, 14.117716, 14.221292
0.036000, -0.184119, -0.099717, -0.063525, 14.227726, 4.196533, 5.857161, 11.943583, 14.115014, 14.219021
0.037000, -0.188464, -0.098511, -0.067892, 14.238609, 4.193095, 5.850129, 11.943167, 14.112525, 14.216773
0.038000, -0.192570, -0.097312, -0.072308, 14.249102, 4.189574, 5.843871, 11.942939, 14.110262, 14.214546
0.039000, -0.196436, -0.096124, -0.076769, 14.259181, 4.186013, 5.838408, 11.942906, 14.108240, 14.212336
0.040000, -0.200059, -0.094949, -0.081275, 14.268829, 4.182458, 5.833760, 11.943079, 14.106474, 14.210141
0.041000, -0.203437, -0.093790, -0.085823, 14.278027, 4.178955, 5.829945, 11.943465, 14.104977, 14.207957
0.042000, -0.206572, -0.092651, -0.090411, 14.286762, 4.175551, 5.826976, 11.944074, 14.103762, 14.205781
0.043000, -0.209464, -0.091534, -0.095036, 14.295021, 4.172290, 5.824866, 11.944915, 14.102842, 14.203612
0.044000, -0.212114, -0.090444, -0.099694, 14.302793, 4.169220, 5.823623, 11.945997, 14.102229, 14.201445
0.045000, -0.214525, -0.089385, -0.104382, 14.310071, 4.166381, 5.823254, 11.947328, 14.101934, 14.199280
0.046000, -0.216699, -0.088360, -0.109095, 14.316849, 4.163815, 5.823761, 11.948919, 14.101967, 14.197114
0.047000, -0.218638, -0.087373, -0.113828, 14.323124, 4.161556, 5.825141, 11.950779, 14.102339, 14.194944
0.048000, -0.220347, -0.086427, -0.118574, 14.328894, 4.159635, 5.827389, 11.952916, 14.103058, 14.192769
0.049000, -0.221827, -0.085527, -0.123327, 14.334160, 4.158076, 5.830491, 11.955340, 14.104131, 14.190588
0.050000, -0.223084, -0.084676, -0.128080, 14.338925, 4.156897, 5.834429, 11.958058, 14.105566, 14.188400
0.051000, -0.224120, -0.083875, -0.132826, 14.343191, 4.156110, 5.839181, 11.961079, 14.107367, 14.186204
0.052000, -0.224940, -0.083128, -0.137556, 14.346965, 4.155719, 5.844718, 11.964411, 14.109539, 14.183999
0.053000, -0.225546, -0.082436, -0.142261, 14.350252, 4.155721, 5.851004, 11.968060, 14.112085, 14.181786
0.054000, -0.225945, -0.081800, -0.146933, 14.353061, 4.156106, 5.858003, 11.972033, 14.115009, 14.179564
0.055000, -0.226140, -0.081221, -0.151563, 14.355399, 4.156859, 5.865672, 11.976337, 14.118310, 14.177334
0.056000, -0.226135, -0.080699, -0.156141, 14.357277, 4.157958, 5.873965, 11.980978, 14.121991, 14.175097
0.057000, -0.225935, -0.080235, -0.160658, 14.358705, 4.159375, 5.882833, 11.985961, 14.126048, 14.172854
0.058000, -0.225544, -0.079828, -0.165106, 14.359695, 4.161079, 5.892228, 11.991291, 14.130482, 14.170607
0.059000, -0.224967, -0.079478, -0.169474, 14.360260, 4.163033, 5.902099, 11.996972, 14.135288, 14.168357
0.060000, -0.224207, -0.079184, -0.173753, 14.360416, 4.165198, 5.912391, 12.003010, 14.140463, 14.166107
0.061000, -0.223270, -0.078946, -0.177934, 14.360177, 4.167531, 5.923049, 12.009408, 14.146001, 14.163861
0.062000, -0.222160, -0.078762, -0.182008, 14.359562, 4.169988, 5.934019, 12.016168, 14.151894, 14.161620
0.063000, -0.220881, -0.078631, -0.185965, 14.358590, 4.172522, 5.945246, 12.023294, 14.158136, 14.159390
0.064000, -0.219437, -0.078552, -0.189795, 14.357282, 4.175086, 5.956674, 12.030788, 14.164718, 14.157175
0.065000, -0.217834, -0.078524, -0.193489, 14.355658, 4.177634, 5.968249, 12.038650, 14.171629, 14.154980
0.066000, -0.216076, -0.078545, -0.197036, 14.353744, 4.180118, 5.979919, 12.046881, 14.178858, 14.152813
0.067000, -0.214167, -0.078613, -0.200428, 14.351565, 4.182490, 5.991632, 12.055477, 14.186393, 14.150678
0.068000, -0.212113, -0.078727, -0.203653, 14.349146, 4.184706, 6.003338, 12.064438, 14.194219, 14.148585
0.069000, -0.209920, -0.078884, -0.206701, 14.346517, 4.186718, 6.014988, 12.073758, 14.202323, 14.146541
0.070000, -0.207592, -0.079084, -0.209562, 14.343708, 4.188482, 6.026534, 12.083431, 14.210690, 14.144555
0.071000, -0.205135, -0.079323, -0.212227, 14.340750, 4.189953, 6.037930, 12.093451, 14.219303, 14.142637
0.072000, -0.202557, -0.079601, -0.214684, 14.337676, 4.191087, 6.049131, 12.103811, 14.228146, 14.140796
0.073000, -0.199862, -0.079915, -0.216926, 14.334518, 4.191842, 6.060095, 12.114502, 14.237203, 14.139044
0.074000, -0.197059, -0.080264, -0.218942, 14.331312, 4.192178, 6.070779, 12.125515, 14.246457, 14.137391
0.075000, -0.194155, -0.080646, -0.220724, 14.328090, 4.192059, 6.081147, 12.136839, 14.255890, 14.135849
0.076000, -0.191157, -0.081060, -0.222264, 14.324886, 4.191450, 6.091164, 12.148465, 14.265485, 14.134431
0.077000, -0.188075, -0.081505, -0.223555, 14.321733, 4.190318, 6.100797, 12.160378, 14.275224, 14.133148
0.078000, -0.184917, -0.081980, -0.224591, 14.318662, 4.188635, 6.110017, 12.172566, 14.285091, 14.132015
0.079000, -0.181694, -0.082484, -0.225366, 14.315703, 4.186373, 6.118795, 12.185013, 14.295068, 14.131044
0.080000, -0.178415, -0.083017, -0.225876, 14.312884, 4.183507, 6.127106, 12.197706, 14.305140, 14.130249
0.081000, -0.175092, -0.083580, -0.226119, 14.310232, 4.180016, 6.134930, 12.210626, 14.315290, 14.129642
0.082000, -0.171736, -0.084172, -0.226092, 14.307769, 4.175883, 6.142247, 12.223756, 14.325502, 14.129238
0.083000, -0.168359, -0.084795, -0.225796, 14.305517, 4.171096, 6.149043, 12.237076, 14.335761, 14.129051
0.084000, -0.164976, -0.085451, -0.225232, 14.303494, 4.165647, 6.155308, 12.250565, 14.346053, 14.129093
0.085000, -0.161598, -0.086141, -0.224403, 14.301715, 4.159531, 6.161036, 12.264199, 14.356364, 14.129379
0.086000, -0.158241, -0.086867, -0.223314, 14.300191, 4.152750, 6.166222, 12.277953, 14.366681, 14.129920
0.087000, -0.154920, -0.087632, -0.221970, 14.298933, 4.145311, 6.170869, 12.291799, 14.376992, 14.130730
0.088000, -0.151649, -0.088440, -0.220379, 14.297947, 4.137222, 6.174980, 12.305707, 14.387283, 14.131823
0.089000, -0.148445, -0.089294, -0.218551, 14.297235, 4.128500, 6.178564, 12.319645, 14.397544, 14.133211
0.090000, -0.145325, -0.090199, -0.216494, 14.296798, 4.119160, 6.181631, 12.333577, 14.407764, 14.134911
0.091000, -0.142307, -0.091160, -0.214223, 14.296634, 4.109225, 6.184194, 12.347465, 14.417931, 14.136935
0.092000, -0.139407, -0.092183, -0.211750, 14.296739, 4.098718, 6.186268, 12.361273, 14.428034, 14.139299
0.093000, -0.136643, -0.093273, -0.209090, 14.297108, 4.087667, 6.187869, 12.374960, 14.438063, 14.142016
0.094000, -0.134034, -0.094437, -0.206260, 14.297733, 4.076100, 6.189012, 12.388487, 14.448007, 14.145100
0.095000, -0.131598, -0.095681, -0.203276, 14.298608, 4.064048, 6.189716, 12.401812, 14.457856, 14.148562
0.096000, -0.129354, -0.097012, -0.200157, 14.299724, 4.051543, 6.189997, 12.414894, 14.467598, 14.152415
0.097000, -0.127318, -0.098438, -0.196924, 14.301075, 4.038621, 6.189871, 12.427691, 14.477222, 14.156668
0.098000, -0.125510, -0.099966, -0.193598, 14.302652, 4.025317, 6.189355, 12.440161, 14.486718, 14.161328
0.099000, -0.123946, -0.101603, -0.190200, 14.304448, 4.011668, 6.188463, 12.452259, 14.496072, 14.166402
0.100000, -0.122646, -0.103358, -0.186754, 14.306456, 3.997710, 6.187209, 12.463940, 14.505269, 14.171891
0.101000, -0.121625, -0.105238, -0.183284, 14.308671, 3.983481, 6.185605, 12.475155, 14.514293, 14.177794
0.102000, -0.120900, -0.107251, -0.179816, 14.311087, 3.969016, 6.183660, 12.485859, 14.523129, 14.184106
0.103000, -0.120485, -0.109406, -0.176373, 14.313697, 3.954351, 6.181380, 12.496002, 14.531756, 14.190819
0.104000, -0.120395, -0.111709, -0.172983, 14.316499, 3.939521, 6.178771, 12.505538, 14.540155, 14.197923
0.105000, -0.120644, -0.114170, -0.169670, 14.319487, 3.924561, 6.175834, 12.514419, 14.548304, 14.205403
0.106000, -0.121241, -0.116797, -0.166461, 14.322659, 3.909504, 6.172571, 12.522600, 14.556182, 14.213241
0.107000, -0.122198, -0.119597, -0.163379, 14.326013, 3.894383, 6.168982, 12.530038, 14.563765, 14.221415
0.108000, -0.123522, -0.122578, -0.160451, 14.329545, 3.879230, 6.165066, 12.536692, 14.571028, 14.229901
0.109000, -0.125219, -0.125747, -0.157700, 14.333254, 3.864075, 6.160820, 12.542525, 14.577948, 14.238669
0.110000, -0.127291, -0.129111, -0.155149, 14.337139, 3.848946, 6.156241, 12.547504, 14.584498, 14.247688
0.111000, -0.129741, -0.132673, -0.152821, 14.341197, 3.833870, 6.151326, 12.551598, 14.590652, 14.256922
0.112000, -0.132567, -0.136440, -0.150735, 14.345430, 3.818868, 6.146069, 12.554783, 14.596384, 14.266332
0.113000, -0.135764, -0.140412, -0.148913, 14.349835, 3.803960, 6.140466, 12.557039, 14.601666, 14.275876
0.114000, -0.139326, -0.144593, -0.147373, 14.354412, 3.789164, 6.134510, 12.558352, 14.606471, 14.285506
0.115000, -0.143244, -0.148983, -0.146133, 14.359161, 3.774494, 6.128199, 12.558714, 14.610769, 14.295176
0.116000, -0.147505, -0.153580, -0.145207, 14.364079, 3.759964, 6.121529, 12.558122, 14.614536, 14.304835
0.117000, -0.152094, -0.158383, -0.144612, 14.369164, 3.745584, 6.114498, 12.556583, 14.617742, 14.314431
0.118000, -0.156994, -0.163386, -0.144358, 14.374412, 3.731364, 6.107105, 12.554107, 14.620364, 14.323912
0.119000, -0.162184, -0.168583, -0.144457, 14.379821, 3.717311, 6.099350, 12.550710, 14.622376, 14.333223
0.120000, -0.167642, -0.173968, -0.144919, 14.385385, 3.703430, 6.091235, 12.546417, 14.623755, 14.342312
0.121000, -0.173342, -0.179530, -0.145750, 14.391101, 3.689726, 6.082764, 12.541257, 14.624482, 14.351127
0.122000, -0.179258, -0.185259, -0.146956, 14.396961, 3.676201, 6.073940, 12.535262, 14.624538, 14.359619
0.123000, -0.185360, -0.191140, -0.148541, 14.402959, 3.662858, 6.064771, 12.528472, 14.623909, 14.367740
0.124000, -0.191617, -0.197161, -0.150507, 14.409088, 3.649698, 6.055265, 12.520928, 14.622580, 14.375447
0.125000, -0.197997, -0.203305, -0.152854, 14.415339, 3.636722, 6.045432, 12.512679, 14.620545, 14.382698
0.126000, -0.204468, -0.209556, -0.155580, 14.421704, 3.623932, 6.035284, 12.503773, 14.617795, 14.389458
