time, T, V, E
0.000000, 0.000000, -47.409977, -47.409977
0.001000, 0.248500, -47.659019, -47.410519
0.002000, 2.626813, -49.942212, -47.315398
0.003000, 5.602221, -52.395853, -46.793632
0.004000, 8.979897, -54.991127, -46.011231
0.005000, 12.615057, -57.701774, -45.086717
0.006000, 16.387370, -60.494439, -44.107069
0.007000, 20.194852, -63.328164, -43.133312
0.008000, 23.952366, -66.162910, -42.210544
0.009000, 27.590604, -68.958845, -41.368241
0.010000, 31.054319, -71.679266, -40.624947
0.011000, 34.299823, -74.291436, -39.991614
0.012000, 37.293582, -76.765356, -39.471775
0.013000, 40.011753, -79.075410, -39.063657
0.014000, 42.439488, -81.201678, -38.762190
0.015000, 44.569517, -83.126513, -38.556996
0.016000, 46.400128, -84.835358, -38.435230
0.017000, 47.933096, -86.317816, -38.384720
0.018000, 49.172559, -87.561787, -38.389228
0.019000, 50.125311, -88.561737, -38.436425
0.020000, 50.801230, -89.310130, -38.508900
0.021000, 51.212819, -89.806903, -38.594084
0.022000, 51.373839, -90.056352, -38.682513
0.023000, 51.298166, -90.060098, -38.761932
0.024000, 50.999768, -89.824230, -38.824463
0.025000, 50.493390, -89.357599, -38.864210
0.026000, 49.794804, -88.669100, -38.874296
0.027000, 48.920912, -87.774562, -38.853651
0.028000, 47.890061, -86.689868, -38.799807
0.029000, 46.722205, -85.431702, -38.709497
0.030000, 45.439034, -84.020869, -38.581835
0.031000, 44.064150, -82.480811, -38.416661
0.032000, 42.623178, -80.837845, -38.214667
0.033000, 41.143522, -79.120156, -37.976634
0.034000, 39.653734, -77.356518, -37.702784
0.035000, 38.182663, -75.578254, -37.395591
0.036000, 36.758377, -73.815237, -37.056860
0.037000, 35.407448, -72.095552, -36.688104
0.038000, 34.154344, -70.447203, -36.292859
0.039000, 33.020696, -68.894798, -35.874101
0.040000, 32.024751, -67.459099, -35.434348
0.041000, 31.180873, -66.157130, -34.976258
0.042000, 30.499111, -65.003063, -34.503951
0.043000, 29.985043, -64.005873, -34.020830
0.044000, 29.639810, -63.170632, -33.530822
0.045000, 29.460364, -62.496847, -33.036483
0.046000, 29.439832, -61.981386, -32.541555
0.047000, 29.567984, -61.618907, -32.050923
0.048000, 29.831861, -61.399619, -31.567758
0.049000, 30.216342, -61.310172, -31.093830
0.050000, 30.704760, -61.335547, -30.630787
0.051000, 31.279552, -61.462789, -30.183237
0.052000, 31.922937, -61.673972, -29.751035
0.053000, 32.617362, -61.953679, -29.336317
0.054000, 33.345968, -62.284276, -28.938309
0.055000, 34.093059, -62.652509, -28.559450
0.056000, 34.844065, -63.043369, -28.199304
0.057000, 35.585687, -63.442669, -27.856983
0.058000, 36.306187, -63.838330, -27.532143
0.059000, 36.995043, -64.220768, -27.225725
0.060000, 37.642894, -64.576499, -26.933605
0.061000, 38.241834, -64.898628, -26.656794
0.062000, 38.785265, -65.177454, -26.392189
0.063000, 39.267845, -65.407416, -26.139570
0.064000, 39.685313, -65.581671, -25.896358
0.065000, 40.034457, -65.696802, -25.662344
0.066000, 40.313085, -65.749390, -25.436305
0.067000, 40.519696, -65.737260, -25.217564
0.068000, 40.653436, -65.655534, -25.002099
0.069000, 40.714368, -65.505292, -24.790924
0.070000, 40.703775, -65.286473, -24.582698
0.071000, 40.624222, -65.004124, -24.379901
0.072000, 40.479269, -64.657851, -24.178583
0.073000, 40.273155, -64.251561, -23.978406
0.074000, 40.010764, -63.790266, -23.779502
0.075000, 39.697566, -63.278663, -23.581097
0.076000, 39.339656, -62.722795, -23.383139
0.077000, 38.943532, -62.129132, -23.185600
0.078000, 38.516053, -61.503894, -22.987842
0.079000, 38.064540, -60.853060, -22.788520
0.080000, 37.596699, -60.183780, -22.587080
0.081000, 37.120590, -59.504662, -22.384072
0.082000, 36.644361, -58.822612, -22.178251
0.083000, 36.176073, -58.145050, -21.968977
0.084000, 35.723395, -57.478219, -21.754824
0.085000, 35.293144, -56.831414, -21.538269
0.086000, 34.891175, -56.207308, -21.316133
0.087000, 34.522474, -55.610913, -21.088440
0.088000, 34.191246, -55.045925, -20.854679
0.089000, 33.900900, -54.514177, -20.613278
0.090000, 33.654143, -54.018760, -20.364617
0.091000, 33.453145, -53.560434, -20.107289
0.092000, 33.299651, -53.140885, -19.841233
0.093000, 33.195129, -52.762270, -19.567141
0.094000, 33.140763, -52.427123, -19.286360
0.095000, 33.137405, -52.134831, -18.997426
0.096000, 33.185647, -51.886581, -18.700934
0.097000, 33.285904, -51.684558, -18.398654
0.098000, 33.438240, -51.529497, -18.091257
0.099000, 33.642126, -51.422392, -17.780266
0.100000, 33.896404, -51.361116, -17.464712
0.101000, 34.199294, -51.347862, -17.148568
0.102000, 34.548303, -51.379125, -16.830822
0.103000, 34.940325, -51.453589, -16.513264
0.104000, 35.371916, -51.570352, -16.198436
0.105000, 35.839340, -51.727647, -15.888308
0.106000, 36.338311, -51.920800, -15.582489
0.107000, 36.863689, -52.146698, -15.283009
0.108000, 37.409582, -52.400195, -14.990613
0.109000, 37.969651, -52.674926, -14.705275
0.110000, 38.537287, -52.965681, -14.428394
0.111000, 39.105805, -53.267539, -14.161734
0.112000, 39.668499, -53.575429, -13.906930
0.113000, 40.218666, -53.879179, -13.660513
0.114000, 40.749811, -54.175600, -13.425789
0.115000, 41.255698, -54.456194, -13.200496
0.116000, 41.730505, -54.716481, -12.985975
0.117000, 42.169170, -54.949359, -12.780189
0.118000, 42.567414, -55.151225, -12.583811
0.119000, 42.921562, -55.316012, -12.394450
0.120000, 43.228517, -55.439798, -12.211281
0.121000, 43.485895, -55.521287, -12.035391
0.122000, 43.691904, -55.555839, -11.863935
0.123000, 43.845440, -55.542239, -11.696799
