time, x1, y1, x1, x2, y2, z2, x3, y3, z3
0.000000, -0.000092, 0.022545, 0.102470, 11.830097, 14.346574, 6.283310, 11.835245, 13.893147, 14.245930
0.001000, 0.000119, 0.022472, 0.102314, 13.964099, 4.275822, 6.146294, 11.835401, 13.893318, 14.245883
0.002000, 0.001290, 0.022068, 0.101446, 13.965960, 4.273572, 6.145709, 11.836120, 13.894090, 14.245442
0.003000, 0.003043, 0.021422, 0.100085, 13.968877, 4.270073, 6.144793, 11.837184, 13.895292, 14.244787
0.004000, 0.005235, 0.020551, 0.098292, 13.972741, 4.265507, 6.143594, 11.838515, 13.896887, 14.243997
0.005000, 0.007775, 0.019464, 0.096105, 13.977483, 4.259988, 6.142140, 11.840066, 13.898859, 14.243128
0.006000, 0.010596, 0.018165, 0.093558, 13.983050, 4.253606, 6.140454, 11.841802, 13.901195, 14.242220
0.007000, 0.013647, 0.016662, 0.090676, 13.989388, 4.246438, 6.138552, 11.843700, 13.903887, 14.241303
0.008000, 0.016884, 0.014958, 0.087487, 13.996446, 4.238554, 6.136449, 11.845742, 13.906927, 14.240400
0.009000, 0.020272, 0.013058, 0.084010, 14.004174, 4.230018, 6.134160, 11.847917, 13.910309, 14.239529
0.010000, 0.023781, 0.010967, 0.080267, 14.012520, 4.220891, 6.131695, 11.850217, 13.914024, 14.238702
0.011000, 0.027384, 0.008689, 0.076272, 14.021436, 4.211230, 6.129067, 11.852638, 13.918066, 14.237927
0.012000, 0.031056, 0.006226, 0.072039, 14.030872, 4.201087, 6.126286, 11.855179, 13.922424, 14.237208
0.013000, 0.034776, 0.003582, 0.067582, 14.040779, 4.190515, 6.123363, 11.857838, 13.927091, 14.236548
0.014000, 0.038524, 0.000757, 0.062911, 14.051108, 4.179564, 6.120308, 11.860619, 13.932056, 14.235945
0.015000, 0.042281, -0.002245, 0.058037, 14.061811, 4.168279, 6.117130, 11.863522, 13.937309, 14.235395
0.016000, 0.046029, -0.005422, 0.052968, 14.072842, 4.156703, 6.113839, 11.866553, 13.942840, 14.234895
0.017000, 0.049751, -0.008774, 0.047716, 14.084154, 4.144878, 6.110446, 11.869716, 13.948636, 14.234436
