time, x1, y1, x1, x2, y2, z2, x3, y3, z3
0.000000, 0.213410, 0.124613, -0.206486, 11.829972, 13.885988, 5.931130, 12.110093, 14.075989, 14.143840
0.001000, 0.213082, 0.124384, -0.206387, 11.830370, 13.886363, 5.931301, 12.110207, 14.076066, 14.143736
0.002000, 0.211431, 0.123231, -0.205884, 11.832249, 13.888105, 5.932103, 12.110651, 14.076301, 14.143060
0.003000, 0.208839, 0.121420, -0.205112, 11.835177, 13.890825, 5.933354, 12.111335, 14.076671, 14.142010
0.004000, 0.205425, 0.119033, -0.204120, 11.839022, 13.894409, 5.935001, 12.112232, 14.077181, 14.140666
0.005000, 0.201261, 0.116118, -0.202941, 11.843700, 13.898787, 5.937010, 12.113326, 14.077841, 14.139084
0.006000, 0.196406, 0.112718, -0.201600, 11.849145, 13.903905, 5.939358, 12.114605, 14.078658, 14.137309
0.007000, 0.190911, 0.108868, -0.200118, 11.855299, 13.909714, 5.942022, 12.116055, 14.079640, 14.135380
0.008000, 0.184821, 0.104599, -0.198512, 11.862110, 13.916170, 5.944980, 12.117661, 14.080790, 14.133330
0.009000, 0.178179, 0.099943, -0.196796, 11.869527, 13.923230, 5.948212, 12.119410, 14.082112, 14.131187
0.010000, 0.171028, 0.094928, -0.194983, 11.877503, 13.930853, 5.951697, 12.121287, 14.083609, 14.128976
0.011000, 0.163407, 0.089583, -0.193083, 11.885991, 13.938998, 5.955415, 12.123275, 14.085280, 14.126722
0.012000, 0.155355, 0.083934, -0.191104, 11.894947, 13.947626, 5.959345, 12.125358, 14.087124, 14.124442
0.013000, 0.146910, 0.078008, -0.189054, 11.904326, 13.956694, 5.963465, 12.127520, 14.089136, 14.122155
0.014000, 0.138106, 0.071831, -0.186939, 11.914087, 13.966164, 5.967754, 12.129743, 14.091312, 14.119876
0.015000, 0.128978, 0.065424, -0.184763, 11.924187, 13.975997, 5.972191, 12.132011, 14.093647, 14.117619
0.016000, 0.119558, 0.058813, -0.182530, 11.934588, 13.986152, 5.976753, 12.134306, 14.096131, 14.115396
0.017000, 0.109876, 0.052016, -0.180243, 11.945252, 13.996592, 5.981421, 12.136613, 14.098758, 14.113218
0.018000, 0.099962, 0.045055, -0.177906, 11.956142, 14.007280, 5.986173, 12.138916, 14.101517, 14.111094
0.019000, 0.089843, 0.037948, -0.175520, 11.967226, 14.018182, 5.990988, 12.141199, 14.104397, 14.109033
0.020000, 0.079545, 0.030713, -0.173087, 11.978470, 14.029264, 5.995846, 12.143446, 14.107388, 14.107043
0.021000, 0.069091, 0.023367, -0.170610, 11.989842, 14.040495, 6.000728, 12.145643, 14.110476, 14.105131
0.022000, 0.058506, 0.015924, -0.168091, 12.001311, 14.051847, 6.005612, 12.147777, 14.113647, 14.103306
0.023000, 0.047813, 0.008401, -0.165531, 12.012846, 14.063291, 6.010480, 12.149835, 14.116890, 14.101575
