time, T, V, E
0.000000, 0.000000, 0.000000, 0.000000
0.001000, 0.249786, -0.250363, -0.000577
0.002000, 2.244670, -2.556169, -0.311499
0.003000, 4.795019, -4.967169, -0.172150
0.004000, 7.726894, -7.480275, 0.246619
0.005000, 10.910580, -10.084878, 0.825702
0.006000, 14.238800, -12.758757, 1.480043
0.007000, 17.620644, -15.474302, 2.146343
0.008000, 20.979359, -18.197655, 2.781704
0.009000, 24.251078, -20.895480, 3.355598
0.010000, 27.383753, -23.536602, 3.847151
0.011000, 30.336131, -26.090024, 4.246107
0.012000, 33.075883, -28.528265, 4.547618
0.013000, 35.578471, -30.828399, 4.750072
0.014000, 37.827020, -32.968132, 4.858888
0.015000, 39.811425, -34.928390, 4.883035
0.016000, 41.527518, -36.694126, 4.833392
0.017000, 42.975759, -38.256899, 4.718860
0.018000, 44.158928, -39.602713, 4.556215
0.019000, 45.081610, -40.724546, 4.357064
0.020000, 45.751234, -41.617674, 4.133560
0.021000, 46.178088, -42.282983, 3.895104
0.022000, 46.374460, -42.722009, 3.652451
0.023000, 46.353569, -42.938170, 3.415400
0.024000, 46.128726, -42.938284, 3.190443
0.025000, 45.713120, -42.732513, 2.980607
0.026000, 45.120152, -42.324434, 2.795718
0.027000, 44.363906, -41.727990, 2.635917
0.028000, 43.459480, -40.954913, 2.504567
0.029000, 42.423177, -40.020245, 2.402932
0.030000, 41.272671, -38.940119, 2.332552
0.031000, 40.026948, -37.732815, 2.294133
0.032000, 38.706048, -36.420403, 2.285645
0.033000, 37.330858, -35.022375, 2.308483
0.034000, 35.922801, -33.562038, 2.360763
0.035000, 34.503506, -32.060593, 2.442913
0.036000, 33.094487, -30.542099, 2.552387
0.037000, 31.716790, -29.027510, 2.689279
0.038000, 30.390583, -27.538467, 2.852116
0.039000, 29.134754, -26.096162, 3.038592
0.040000, 27.966591, -24.719062, 3.247529
0.041000, 26.901454, -23.422727, 3.478727
0.042000, 25.952447, -22.223450, 3.728997
0.043000, 25.130111, -21.135240, 3.994871
0.044000, 24.442210, -20.167553, 4.274657
0.045000, 23.893632, -19.326131, 4.567501
0.046000, 23.486387, -18.615645, 4.870742
0.047000, 23.219671, -18.037844, 5.181827
0.048000, 23.089980, -17.591526, 5.498455
0.049000, 23.091219, -17.275175, 5.816045
0.050000, 23.214886, -17.081318, 6.133568
0.051000, 23.450359, -17.001881, 6.448478
0.052000, 23.785229, -17.026226, 6.759003
0.053000, 24.205658, -17.143548, 7.062110
0.054000, 24.696785, -17.341012, 7.355773
0.055000, 25.243185, -17.604324, 7.638861
0.056000, 25.829276, -17.918705, 7.910571
0.057000, 26.439877, -18.270389, 8.169488
0.058000, 27.060671, -18.644895, 8.415775
0.059000, 27.678433, -19.030156, 8.648277
0.060000, 28.281237, -19.412731, 8.868506
0.061000, 28.858437, -19.781684, 9.076753
0.062000, 29.400682, -20.128265, 9.272417
0.063000, 29.900073, -20.442502, 9.457571
0.064000, 30.350163, -20.716907, 9.633256
0.065000, 30.745932, -20.946150, 9.799782
0.066000, 31.083810, -21.124490, 9.959320
0.067000, 31.361705, -21.249311, 10.112394
0.068000, 31.578958, -21.318027, 10.260931
0.069000, 31.736089, -21.329539, 10.406551
0.070000, 31.834453, -21.285738, 10.548715
0.071000, 31.876250, -21.187001, 10.689249
0.072000, 31.864599, -21.035808, 10.828791
0.073000, 31.803495, -20.835204, 10.968291
0.074000, 31.697624, -20.590030, 11.107594
0.075000, 31.552127, -20.303730, 11.248397
0.076000, 31.372213, -19.983104, 11.389109
0.077000, 31.162877, -19.632309, 11.530567
0.078000, 30.928845, -19.254655, 11.674190
0.079000, 30.674578, -18.854659, 11.819918
0.080000, 30.404336, -18.436797, 11.967539
0.081000, 30.122218, -18.005346, 12.116872
0.082000, 29.832182, -17.563539, 12.268643
0.083000, 29.538024, -17.115420, 12.422604
0.084000, 29.243260, -16.663943, 12.579317
0.085000, 28.951085, -16.211541, 12.739544
0.086000, 28.664474, -15.762310, 12.902165
0.087000, 28.386369, -15.317024, 13.069345
0.088000, 28.119767, -14.879422, 13.240345
0.089000, 27.867766, -14.453951, 13.413815
0.090000, 27.633611, -14.042000, 13.591611
0.091000, 27.420681, -13.647209, 13.773471
0.092000, 27.232333, -13.274051, 13.958283
0.093000, 27.071866, -12.925066, 14.146799
0.094000, 26.942586, -12.604443, 14.338143
0.095000, 26.847788, -12.313747, 14.534041
0.096000, 26.790593, -12.058610, 14.731983
0.097000, 26.773830, -11.841519, 14.932311
0.098000, 26.799921, -11.664951, 15.134970
0.099000, 26.870718, -11.530679, 15.340039
0.100000, 26.987457, -11.442300, 15.545157
0.101000, 27.150847, -11.400103, 15.750743
0.102000, 27.360977, -11.404899, 15.956078
0.103000, 27.617122, -11.456139, 16.160983
0.104000, 27.917689, -11.555228, 16.362461
0.105000, 28.259944, -11.699975, 16.559970
0.106000, 28.640056, -11.886026, 16.754030
0.107000, 29.053368, -12.110583, 16.942785
0.108000, 29.494505, -12.369128, 17.125377
0.109000, 29.957618, -12.655940, 17.301678
0.110000, 30.436501, -12.965800, 17.470702
0.111000, 30.924745, -13.291822, 17.632923
0.112000, 31.416002, -13.630535, 17.785467
0.113000, 31.904003, -13.973670, 17.930332
0.114000, 32.382624, -14.316007, 18.066617
0.115000, 32.846278, -14.651508, 18.194771
0.116000, 33.289960, -14.975992, 18.313968
0.117000, 33.709052, -15.283358, 18.425694
0.118000, 34.099454, -15.569605, 18.529849
0.119000, 34.457796, -15.830833, 18.626964
0.120000, 34.781337, -16.063778, 18.717559
0.121000, 35.067810, -16.264845, 18.802965
0.122000, 35.315416, -16.432494, 18.882922
0.123000, 35.522952, -16.565537, 18.957415
0.124000, 35.689945, -16.661904, 19.028040
0.125000, 35.816373, -16.719391, 19.096982
0.126000, 35.902248, -16.739863, 19.162385
0.127000, 35.947818, -16.721604, 19.226214
0.128000, 35.953949, -16.665232, 19.288717
0.129000, 35.922001, -16.573661, 19.348341
0.130000, 35.853682, -16.444160, 19.409522
0.131000, 35.751063, -16.279935, 19.471128
0.132000, 35.616757, -16.082524, 19.534232
0.133000, 35.453966, -15.853827, 19.600139
0.134000, 35.266089, -15.599296, 19.666792
0.135000, 35.056436, -15.319282, 19.737154
0.136000, 34.828475, -15.021250, 19.807225
0.137000, 34.585877, -14.704138, 19.881739
0.138000, 34.332573, -14.372883, 19.959690
0.139000, 34.072811, -14.032293, 20.040518
0.140000, 33.811004, -13.686003, 20.125002
0.141000, 33.551687, -13.338983, 20.212704
0.142000, 33.299389, -12.994508, 20.304881
0.143000, 33.058533, -12.657789, 20.400743
0.144000, 32.833482, -12.333760, 20.499722
