time, x1, y1, x1, x2, y2, z2, x3, y3, z3
0.000000, -0.216944, -0.105499, -0.123797, 12.198798, 13.980337, 6.137928, 12.053681, 13.923571, 14.226860
0.001000, -0.216616, -0.105255, -0.123429, 12.198650, 13.980330, 6.137936, 12.053506, 13.923906, 14.226771
0.002000, -0.214963, -0.104022, -0.121580, 12.197773, 13.980148, 6.137910, 12.052500, 13.925441, 14.226175
0.003000, -0.212520, -0.102201, -0.118825, 12.196381, 13.979884, 6.137860, 12.050910, 13.927836, 14.225263
0.004000, -0.209513, -0.099962, -0.115403, 12.194539, 13.979590, 6.137789, 12.048817, 13.930993, 14.224117
0.005000, -0.206089, -0.097420, -0.111469, 12.192284, 13.979307, 6.137696, 12.046272, 13.934850, 14.222794
0.006000, -0.202355, -0.094657, -0.107139, 12.189647, 13.979066, 6.137582, 12.043317, 13.939359, 14.221337
0.007000, -0.198396, -0.091738, -0.102497, 12.186652, 13.978895, 6.137446, 12.039986, 13.944477, 14.219779
0.008000, -0.194274, -0.088711, -0.097614, 12.183322, 13.978817, 6.137285, 12.036313, 13.950166, 14.218148
0.009000, -0.190043, -0.085619, -0.092544, 12.179678, 13.978852, 6.137095, 12.032332, 13.956389, 14.216467
0.010000, -0.185740, -0.082493, -0.087329, 12.175743, 13.979018, 6.136872, 12.028073, 13.963112, 14.214756
0.011000, -0.181397, -0.079360, -0.082009, 12.171538, 13.979330, 6.136609, 12.023570, 13.970299, 14.213031
0.012000, -0.177039, -0.076245, -0.076612, 12.167082, 13.979804, 6.136300, 12.018854, 13.977918, 14.211307
0.013000, -0.172687, -0.073164, -0.071167, 12.162397, 13.980452, 6.135938, 12.013955, 13.985937, 14.209595
0.014000, -0.168357, -0.070134, -0.065696, 12.157504, 13.981289, 6.135515, 12.008904, 13.994326, 14.207904
0.015000, -0.164061, -0.067168, -0.060218, 12.152422, 13.982327, 6.135021, 12.003729, 14.003055, 14.206245
0.016000, -0.159808, -0.064277, -0.054753, 12.147171, 13.983579, 6.134449, 11.998458, 14.012096, 14.204622
0.017000, -0.155608, -0.061470, -0.049316, 12.141772, 13.985056, 6.133789, 11.993118, 14.021419, 14.203041
0.018000, -0.151465, -0.058755, -0.043922, 12.136244, 13.986771, 6.133032, 11.987735, 14.030999, 14.201506
0.019000, -0.147383, -0.056139, -0.038585, 12.130606, 13.988735, 6.132169, 11.982333, 14.040808, 14.200021
0.020000, -0.143366, -0.053627, -0.033318, 12.124877, 13.990960, 6.131191, 11.976935, 14.050820, 14.198589
0.021000, -0.139416, -0.051223, -0.028133, 12.119077, 13.993459, 6.130088, 11.971565, 14.061006, 14.197211
0.022000, -0.135534, -0.048931, -0.023042, 12.113222, 13.996242, 6.128850, 11.966244, 14.071340, 14.195889
0.023000, -0.131719, -0.046756, -0.018056, 12.107332, 13.999324, 6.127470, 11.960995, 14.081796, 14.194623
0.024000, -0.127972, -0.044699, -0.013188, 12.101422, 14.002715, 6.125938, 11.955838, 14.092347, 14.193415
0.025000, -0.124292, -0.042762, -0.008448, 12.095511, 14.006428, 6.124247, 11.950795, 14.102966, 14.192264
0.026000, -0.120677, -0.040947, -0.003847, 12.089614, 14.010476, 6.122388, 11.945887, 14.113625, 14.191170
