time, T, V, E
0.000000, 0.000000, -44.869056, -44.869056
0.001000, 0.262502, -45.132123, -44.869622
0.002000, 2.681746, -47.956432, -45.274686
0.003000, 5.695589, -50.825031, -45.129442
0.004000, 9.095475, -53.729712, -44.634236
0.005000, 12.731232, -56.662045, -43.930813
0.006000, 16.483070, -59.606545, -43.123476
0.007000, 20.252843, -62.536440, -42.283597
0.008000, 23.959840, -65.423317, -41.463477
0.009000, 27.538083, -68.238333, -40.700251
0.010000, 30.934550, -70.950310, -40.015760
0.011000, 34.107693, -73.532832, -39.425139
0.012000, 37.026581, -75.960098, -38.933517
0.013000, 39.670077, -78.211549, -38.541472
0.014000, 42.025595, -80.270558, -38.244963
0.015000, 44.087568, -82.122521, -38.034953
0.016000, 45.855982, -83.757167, -37.901185
0.017000, 47.334709, -85.165465, -37.830756
0.018000, 48.530281, -86.343012, -37.812731
0.019000, 49.451648, -87.282573, -37.830925
0.020000, 50.109493, -87.984319, -37.874826
0.021000, 50.515904, -88.448788, -37.932884
0.022000, 50.684430, -88.676431, -37.992001
0.023000, 50.629339, -88.674473, -38.045134
0.024000, 50.365507, -88.450644, -38.085137
0.025000, 49.908662, -88.012833, -38.104171
0.026000, 49.275453, -87.372744, -38.097291
0.027000, 48.483604, -86.544223, -38.060619
0.028000, 47.552085, -85.545020, -37.992935
0.029000, 46.501187, -84.392623, -37.891436
0.030000, 45.352145, -83.108574, -37.756429
0.031000, 44.126849, -81.712163, -37.585314
0.032000, 42.847660, -80.229680, -37.382020
0.033000, 41.537206, -78.683658, -37.146452
0.034000, 40.218087, -77.096653, -36.878566
0.035000, 38.912373, -75.492856, -36.580483
0.036000, 37.641103, -73.894404, -36.253301
0.037000, 36.424009, -72.322683, -35.898674
0.038000, 35.279273, -70.799435, -35.520162
0.039000, 34.223151, -69.342452, -35.119301
0.040000, 33.269527, -67.967938, -34.698411
0.041000, 32.429511, -66.689161, -34.259650
0.042000, 31.711213, -65.517160, -33.805947
0.043000, 31.119583, -64.460487, -33.340904
0.044000, 30.656267, -63.522452, -32.866184
0.045000, 30.319766, -62.703913, -32.384147
0.046000, 30.105850, -62.005366, -31.899516
0.047000, 30.008012, -61.422711, -31.414698
0.048000, 30.017910, -60.949732, -30.931821
0.049000, 30.125904, -60.578299, -30.452395
0.050000, 30.321403, -60.301139, -29.979735
0.051000, 30.592983, -60.107998, -29.515015
