time, T, V, E
0.000000, 0.000000, -32.453068, -32.453068
0.001000, 32.958354, -32.425282, 0.533072
0.002000, 33.310043, -32.394926, 0.915116
0.003000, 33.649612, -32.359067, 1.290545
0.004000, 33.974829, -32.315905, 1.658924
0.005000, 34.283824, -32.262971, 2.020853
0.006000, 34.575232, -32.198553, 2.376678
0.007000, 34.848125, -32.121248, 2.726877
0.008000, 35.102104, -32.030393, 3.071711
0.009000, 35.337338, -31.926435, 3.410903
0.010000, 35.554480, -31.809736, 3.744744
0.011000, 35.754599, -31.680650, 4.073949
0.012000, 35.939022, -31.538699, 4.400323
0.013000, 36.109266, -31.386593, 4.722674
0.014000, 36.267075, -31.225838, 5.041237
0.015000, 36.414293, -31.056220, 5.358073
0.016000, 36.552849, -30.880302, 5.672547
0.017000, 36.684723, -30.702752, 5.981971
0.018000, 36.811735, -30.521274, 6.290461
0.019000, 36.935582, -30.339704, 6.595878
0.020000, 37.057850, -30.160223, 6.897628
0.021000, 37.179854, -29.982860, 7.196994
0.022000, 37.302654, -29.807562, 7.495093
0.023000, 37.426965, -29.638098, 7.788867
0.024000, 37.553018, -29.471272, 8.081746
0.025000, 37.680651, -29.309533, 8.371118
0.026000, 37.809452, -29.151174, 8.658278
0.027000, 37.938948, -28.995757, 8.943191
0.028000, 38.068750, -28.842945, 9.225805
0.029000, 38.198682, -28.694873, 9.503810
0.030000, 38.328763, -28.548704, 9.780059
0.031000, 38.459096, -28.404773, 10.054323
0.032000, 38.589923, -28.263573, 10.326350
0.033000, 38.721782, -28.126222, 10.595560
0.034000, 38.855538, -27.992848, 10.862690
0.035000, 38.992353, -27.865250, 11.127103
0.036000, 39.133787, -27.744743, 11.389044
0.037000, 39.281505, -27.634217, 11.647287
0.038000, 39.436966, -27.533845, 11.903121
0.039000, 39.601412, -27.445589, 12.155823
0.040000, 39.775802, -27.371197, 12.404605
0.041000, 39.960768, -27.311850, 12.648918
0.042000, 40.156548, -27.265332, 12.891216
0.043000, 40.362927, -27.233092, 13.129836
0.044000, 40.579244, -27.215511, 13.363733
0.045000, 40.804230, -27.209203, 13.595028
0.046000, 41.035955, -27.215771, 13.820184
0.047000, 41.271832, -27.231888, 14.039944
0.048000, 41.508783, -27.252746, 14.256037
0.049000, 41.743531, -27.276492, 14.467038
0.050000, 41.972678, -27.298773, 14.673905
0.051000, 42.192745, -27.317670, 14.875075
0.052000, 42.400209, -27.327194, 15.073015
0.053000, 42.591758, -27.326846, 15.264913
0.054000, 42.764454, -27.310459, 15.453995
0.055000, 42.915836, -27.276531, 15.639305
0.056000, 43.044033, -27.222513, 15.821520
0.057000, 43.147807, -27.144257, 16.003550
0.058000, 43.226619, -27.045436, 16.181182
0.059000, 43.280540, -26.921522, 16.359018
0.060000, 43.310128, -26.775206, 16.534921
0.061000, 43.316383, -26.606311, 16.710072
0.062000, 43.300598, -26.415143, 16.885455
0.063000, 43.264143, -26.202928, 17.061216
0.064000, 43.208734, -25.972142, 17.236592
0.065000, 43.136888, -25.722729, 17.414159
0.066000, 43.051959, -25.460518, 17.591441
0.067000, 42.958082, -25.187324, 17.770758
0.068000, 42.859996, -24.906489, 17.953508
0.069000, 42.762753, -24.626144, 18.136610
0.070000, 42.671698, -24.349737, 18.321961
0.071000, 42.592148, -24.083249, 18.508899
0.072000, 42.528961, -23.830350, 18.698611
0.073000, 42.486445, -23.597246, 18.889199
0.074000, 42.468145, -23.387880, 19.080264
0.075000, 42.476497, -23.206273, 19.270224
0.076000, 42.512713, -23.050449, 19.462264
0.077000, 42.576753, -22.923496, 19.653257
0.078000, 42.667271, -22.824817, 19.842454
0.079000, 42.781928, -22.749979, 20.031949
0.080000, 42.917758, -22.700180, 20.217578
0.081000, 43.071244, -22.672871, 20.398373
0.082000, 43.238387, -22.661530, 20.576856
0.083000, 43.414774, -22.660048, 20.754725
0.084000, 43.595924, -22.667593, 20.928332
0.085000, 43.777645, -22.680277, 21.097368
0.086000, 43.956219, -22.692528, 21.263691
0.087000, 44.128680, -22.704360, 21.424319
0.088000, 44.292736, -22.709643, 21.583093
0.089000, 44.446491, -22.706710, 21.739781
0.090000, 44.588420, -22.697622, 21.890798
0.091000, 44.717352, -22.677198, 22.040155
0.092000, 44.832534, -22.645817, 22.186717
0.093000, 44.933902, -22.601020, 22.332882
0.094000, 45.022053, -22.547290, 22.474762
0.095000, 45.097900, -22.481618, 22.616282
0.096000, 45.162701, -22.407929, 22.754772
0.097000, 45.218031, -22.325909, 22.892122
0.098000, 45.265516, -22.235206, 23.030309
0.099000, 45.307074, -22.140007, 23.167067
0.100000, 45.345159, -22.043169, 23.301990
0.101000, 45.382609, -21.945718, 23.436891
0.102000, 45.422344, -21.852054, 23.570290
0.103000, 45.467276, -21.763526, 23.703750
0.104000, 45.520233, -21.685264, 23.834969
0.105000, 45.583491, -21.617328, 23.966163
0.106000, 45.658670, -21.562013, 24.096657
0.107000, 45.746865, -21.522737, 24.224128
0.108000, 45.848460, -21.497294, 24.351165
0.109000, 45.962993, -21.489359, 24.473634
0.110000, 46.089130, -21.493414, 24.595715
0.111000, 46.224609, -21.509026, 24.715583
0.112000, 46.366515, -21.533949, 24.832567
0.113000, 46.511524, -21.563226, 24.948298
0.114000, 46.655889, -21.596770, 25.059119
0.115000, 46.795943, -21.629965, 25.165978
0.116000, 46.928563, -21.658161, 25.270402
0.117000, 47.051137, -21.677852, 25.373286
0.118000, 47.161820, -21.688285, 25.473535
0.119000, 47.259786, -21.687996, 25.571790
0.120000, 47.345166, -21.678368, 25.666798
0.121000, 47.419046, -21.659070, 25.759976
0.122000, 47.483375, -21.630589, 25.852786
0.123000, 47.540661, -21.596409, 25.944252
0.124000, 47.593568, -21.559676, 26.033892
0.125000, 47.644522, -21.519994, 26.124528
0.126000, 47.695661, -21.483240, 26.212421
0.127000, 47.748896, -21.448964, 26.299932
0.128000, 47.805542, -21.419600, 26.385942
0.129000, 47.866358, -21.394789, 26.471569
0.130000, 47.931921, -21.376602, 26.555319
0.131000, 48.002716, -21.365315, 26.637401
0.132000, 48.078934, -21.361087, 26.717847
0.133000, 48.160259, -21.362876, 26.797384
0.134000, 48.245586, -21.370874, 26.874712
0.135000, 48.332768, -21.380975, 26.951793
0.136000, 48.418951, -21.392184, 27.026768
0.137000, 48.500849, -21.401595, 27.099254
0.138000, 48.574823, -21.404650, 27.170173
0.139000, 48.637006, -21.398905, 27.238101
0.140000, 48.683632, -21.378023, 27.305609
0.141000, 48.711384, -21.336200, 27.375183
0.142000, 48.717191, -21.275199, 27.441992
0.143000, 48.698385, -21.189076, 27.509309
0.144000, 48.653014, -21.077836, 27.575177
0.145000, 48.579855, -20.938375, 27.641480
0.146000, 48.478594, -20.767385, 27.711209
0.147000, 48.349929, -20.567110, 27.782819
0.148000, 48.195579, -20.339204, 27.856376
0.149000, 48.018310, -20.083540, 27.934769
0.150000, 47.821780, -19.806462, 28.015317
0.151000, 47.610442, -19.510127, 28.100315
0.152000, 47.389449, -19.200714, 28.188735
0.153000, 47.164555, -18.882598, 28.281957
0.154000, 46.941982, -18.560493, 28.381489
0.155000, 46.728281, -18.243576, 28.484705
0.156000, 46.530264, -17.938521, 28.591743
0.157000, 46.354622, -17.653886, 28.700735
0.158000, 46.207450, -17.391776, 28.815674
0.159000, 46.093985, -17.161767, 28.932219
0.160000, 46.018636, -16.966847, 29.051789
0.161000, 45.985023, -16.812348, 29.172675
0.162000, 45.995745, -16.702295, 29.293450
0.163000, 46.052040, -16.636626, 29.415414
0.164000, 46.153848, -16.618149, 29.535700
0.165000, 46.300102, -16.647521, 29.652582
0.166000, 46.488652, -16.720499, 29.768154
0.167000, 46.716295, -16.837135, 29.879159
0.168000, 46.978880, -16.992701, 29.986178
0.169000, 47.271179, -17.183923, 30.087256
0.170000, 47.586694, -17.403408, 30.183286
0.171000, 47.917771, -17.646730, 30.271041
0.172000, 48.256187, -17.902462, 30.353725
0.173000, 48.593283, -18.164646, 30.428637
0.174000, 48.919926, -18.422083, 30.497844
0.175000, 49.227373, -18.667944, 30.559429
0.176000, 49.508124, -18.890604, 30.617520
0.177000, 49.756193, -19.087022, 30.669170
0.178000, 49.967331, -19.251460, 30.715872
0.179000, 50.139267, -19.382689, 30.756578
0.180000, 50.271847, -19.477080, 30.794768
0.181000, 50.367072, -19.536562, 30.830511
0.182000, 50.428839, -19.564693, 30.864146
0.183000, 50.462383, -19.564937, 30.897446
0.184000, 50.473830, -19.544598, 30.929232
0.185000, 50.469512, -19.508337, 30.961175
0.186000, 50.455314, -19.460685, 30.994629
0.187000, 50.436107, -19.409812, 31.026295
0.188000, 50.415310, -19.356093, 31.059217
0.189000, 50.395101, -19.302558, 31.092544
0.190000, 50.376899, -19.251541, 31.125358
0.191000, 50.361677, -19.204664, 31.157013
0.192000, 50.349860, -19.158445, 31.191416
0.193000, 50.341407, -19.115755, 31.225651
0.194000, 50.336171, -19.075213, 31.260958
0.195000, 50.333799, -19.038351, 31.295448
0.196000, 50.333539, -19.003891, 31.329647
0.197000, 50.334239, -18.969902, 31.364337
0.198000, 50.334305, -18.936688, 31.397618
0.199000, 50.331706, -18.900077, 31.431629
0.200000, 50.324415, -18.857636, 31.466778
0.201000, 50.310628, -18.809427, 31.501201
0.202000, 50.288282, -18.751403, 31.536879
0.203000, 50.254756, -18.682475, 31.572280
0.204000, 50.207345, -18.599277, 31.608068
0.205000, 50.143783, -18.498445, 31.645338
0.206000, 50.062294, -18.377740, 31.684554
0.207000, 49.962168, -18.237039, 31.725129
0.208000, 49.843921, -18.077918, 31.766003
0.209000, 49.708917, -17.897524, 31.811394
0.210000, 49.559357, -17.699996, 31.859361
0.211000, 49.398241, -17.489259, 31.908981
0.212000, 49.229050, -17.267121, 31.961929
0.213000, 49.055368, -17.035376, 32.019991
0.214000, 48.880531, -16.800748, 32.079782
0.215000, 48.707521, -16.562497, 32.145023
0.216000, 48.539139, -16.325505, 32.213634
0.217000, 48.378042, -16.093600, 32.284442
0.218000, 48.226634, -15.868865, 32.357769
0.219000, 48.087021, -15.652077, 32.434943
0.220000, 47.961109, -15.446344, 32.514765
0.221000, 47.850794, -15.254021, 32.596773
0.222000, 47.757805, -15.076639, 32.681166
0.223000, 47.683581, -14.916415, 32.767166
0.224000, 47.629448, -14.774295, 32.855153
0.225000, 47.596525, -14.653076, 32.943449
0.226000, 47.585665, -14.552054, 33.033611
0.227000, 47.597575, -14.474842, 33.122732
0.228000, 47.632850, -14.420502, 33.212347
0.229000, 47.692068, -14.391114, 33.300954
0.230000, 47.775604, -14.386575, 33.389028
0.231000, 47.883475, -14.408576, 33.474899
0.232000, 48.015517, -14.457441, 33.558076
0.233000, 48.171253, -14.532640, 33.638613
0.234000, 48.349565, -14.632546, 33.717019
0.235000, 48.548495, -14.756579, 33.791916
0.236000, 48.765295, -14.904677, 33.860618
0.237000, 48.996483, -15.072389, 33.924094
0.238000, 49.237866, -15.252771, 33.985095
0.239000, 49.484405, -15.444131, 34.040273
0.240000, 49.730121, -15.638997, 34.091124
0.241000, 49.968453, -15.831781, 34.136672
0.242000, 50.192768, -16.013071, 34.179697
0.243000, 50.396701, -16.180302, 34.216399
0.244000, 50.574578, -16.324997, 34.249580
0.245000, 50.722024, -16.442388, 34.279636
0.246000, 50.836090, -16.529748, 34.306342
0.247000, 50.915287, -16.584194, 34.331093
0.248000, 50.959485, -16.604455, 34.355030
0.249000, 50.969537, -16.591636, 34.377901
0.250000, 50.947286, -16.546737, 34.400549
0.251000, 50.895842, -16.472497, 34.423345
0.252000, 50.819550, -16.372814, 34.446736
0.253000, 50.723746, -16.251591, 34.472156
0.254000, 50.614516, -16.115581, 34.498935
0.255000, 50.498344, -15.970773, 34.527570
0.256000, 50.381709, -15.822617, 34.559092
0.257000, 50.270576, -15.676709, 34.593867
