time, T, V, E
0.000000, 0.000000, -32.829894, -32.829894
0.001000, 32.748960, -32.748726, 0.000234
0.002000, 33.046512, -32.660440, 0.386072
0.003000, 33.330374, -32.563538, 0.766836
0.004000, 33.600988, -32.459424, 1.141564
0.005000, 33.858995, -32.348389, 1.510606
0.006000, 34.105084, -32.230680, 1.874404
0.007000, 34.339902, -32.106590, 2.233312
0.008000, 34.564053, -31.977680, 2.586373
0.009000, 34.778238, -31.842334, 2.935904
0.010000, 34.983345, -31.700902, 3.282443
0.011000, 35.180420, -31.556577, 3.623842
0.012000, 35.370729, -31.410366, 3.960363
0.013000, 35.555813, -31.260410, 4.295403
0.014000, 35.737512, -31.112908, 4.624603
0.015000, 35.917756, -30.967112, 4.950644
0.016000, 36.098479, -30.824955, 5.273524
0.017000, 36.281781, -30.688021, 5.593760
0.018000, 36.469920, -30.560955, 5.908966
0.019000, 36.665044, -30.444177, 6.220867
0.020000, 36.869013, -30.340038, 6.528975
0.021000, 37.083204, -30.250887, 6.832316
0.022000, 37.308354, -30.175404, 7.132950
0.023000, 37.544366, -30.116187, 7.428178
0.024000, 37.790135, -30.071769, 7.718367
0.025000, 38.043722, -30.040149, 8.003572
0.026000, 38.302571, -30.017338, 8.285232
0.027000, 38.563587, -30.003695, 8.559892
0.028000, 38.822972, -29.993451, 8.829521
0.029000, 39.076439, -29.982575, 9.093864
0.030000, 39.319619, -29.967505, 9.352114
0.031000, 39.548272, -29.941886, 9.606387
0.032000, 39.758471, -29.902349, 9.856122
0.033000, 39.946760, -29.845394, 10.101365
0.034000, 40.110390, -29.765952, 10.344438
0.035000, 40.247352, -29.664255, 10.583097
0.036000, 40.356145, -29.536086, 10.820059
0.037000, 40.435872, -29.381438, 11.054434
0.038000, 40.486498, -29.199370, 11.287128
0.039000, 40.509193, -28.991212, 11.517980
0.040000, 40.506525, -28.757701, 11.748824
0.041000, 40.482152, -28.504353, 11.977799
0.042000, 40.440446, -28.231389, 12.209057
0.043000, 40.386414, -27.945203, 12.441211
0.044000, 40.325411, -27.649802, 12.675609
0.045000, 40.262942, -27.353456, 12.909486
0.046000, 40.204630, -27.059600, 13.145030
0.047000, 40.156107, -26.774193, 13.381915
0.048000, 40.122850, -26.501722, 13.621128
0.049000, 40.109876, -26.248925, 13.860952
0.050000, 40.121451, -26.021567, 14.099884
0.051000, 40.160725, -25.821205, 14.339520
0.052000, 40.229703, -25.651231, 14.578472
0.053000, 40.329342, -25.513430, 14.815912
0.054000, 40.459615, -25.408434, 15.051181
0.055000, 40.619637, -25.336544, 15.283093
0.056000, 40.807617, -25.295513, 15.512104
0.057000, 41.020899, -25.284958, 15.735940
0.058000, 41.256260, -25.298238, 15.958022
0.059000, 41.510088, -25.336427, 16.173661
0.060000, 41.778238, -25.393993, 16.384245
0.061000, 42.055981, -25.464695, 16.591286
0.062000, 42.338169, -25.547961, 16.790208
0.063000, 42.619386, -25.635068, 16.984319
0.064000, 42.894176, -25.721468, 17.172708
0.065000, 43.157413, -25.800972, 17.356442
0.066000, 43.404362, -25.869195, 17.535167
0.067000, 43.630807, -25.922454, 17.708353
0.068000, 43.833431, -25.956881, 17.876550
0.069000, 44.009802, -25.968154, 18.041648
0.070000, 44.158236, -25.956310, 18.201926
0.071000, 44.277821, -25.918380, 18.359441
0.072000, 44.368470, -25.853388, 18.515082
0.073000, 44.430966, -25.760892, 18.670075
0.074000, 44.467007, -25.644413, 18.822594
0.075000, 44.479085, -25.504062, 18.975024
0.076000, 44.470192, -25.343704, 19.126488
0.077000, 44.443534, -25.166101, 19.277433
0.078000, 44.402497, -24.972648, 19.429850
0.079000, 44.350472, -24.766945, 19.583527
0.080000, 44.290697, -24.553968, 19.736728
0.081000, 44.226262, -24.333396, 19.892866
0.082000, 44.160001, -24.110382, 20.049619
0.083000, 44.094214, -23.886439, 20.207776
0.084000, 44.030328, -23.663540, 20.366789
0.085000, 43.968996, -23.442684, 20.526312
0.086000, 43.910378, -23.222236, 20.688141
0.087000, 43.854402, -23.003477, 20.850924
0.088000, 43.800992, -22.788195, 21.012796
0.089000, 43.750090, -22.573323, 21.176767
0.090000, 43.701667, -22.357733, 21.343933
0.091000, 43.655684, -22.145122, 21.510562
0.092000, 43.612186, -21.933570, 21.678616
0.093000, 43.571537, -21.724651, 21.846886
0.094000, 43.534429, -21.518248, 22.016181
0.095000, 43.501839, -21.316145, 22.185694
0.096000, 43.474797, -21.118109, 22.356689
0.097000, 43.454195, -20.924684, 22.529511
0.098000, 43.440909, -20.738209, 22.702700
0.099000, 43.435936, -20.561727, 22.874209
0.100000, 43.440373, -20.393225, 23.047148
0.101000, 43.455497, -20.237165, 23.218332
0.102000, 43.482924, -20.093264, 23.389660
0.103000, 43.524425, -19.962933, 23.561492
0.104000, 43.581301, -19.848156, 23.733145
0.105000, 43.654140, -19.750706, 23.903435
0.106000, 43.743097, -19.671565, 24.071532
0.107000, 43.847897, -19.611322, 24.236575
0.108000, 43.967747, -19.565290, 24.402458
0.109000, 44.101272, -19.538387, 24.562884
0.110000, 44.246400, -19.524031, 24.722369
0.111000, 44.400505, -19.521172, 24.879333
0.112000, 44.560578, -19.527176, 25.033402
0.113000, 44.723448, -19.541145, 25.182304
0.114000, 44.886085, -19.556856, 25.329228
0.115000, 45.045483, -19.572857, 25.472626
0.116000, 45.198515, -19.586039, 25.612477
0.117000, 45.341866, -19.591015, 25.750851
0.118000, 45.472263, -19.587927, 25.884336
0.119000, 45.586813, -19.570812, 26.016001
0.120000, 45.683069, -19.537229, 26.145840
0.121000, 45.759242, -19.485467, 26.273775
0.122000, 45.814403, -19.415437, 26.398967
0.123000, 45.848468, -19.323454, 26.525014
