time, T, V, E
0.000000, 0.000000, -713.114800, -713.114800
0.001000, 0.172730, -713.287789, -713.115059
0.002000, 0.685849, -713.801868, -713.116019
0.003000, 1.524421, -714.642569, -713.118148
0.004000, 2.664482, -715.784326, -713.119844
0.005000, 4.074334, -717.196706, -713.122372
0.006000, 5.716204, -718.840604, -713.124400
0.007000, 7.548091, -720.674915, -713.126824
0.008000, 9.525680, -722.655583, -713.129903
0.009000, 11.604165, -724.735979, -713.131814
0.010000, 13.739895, -726.874859, -713.134965
0.011000, 15.891742, -729.029888, -713.138146
0.012000, 18.021967, -731.161835, -713.139868
0.013000, 20.096755, -733.239945, -713.143190
0.014000, 22.086463, -735.230101, -713.143639
0.015000, 23.965806, -737.111357, -713.145551
0.016000, 25.714089, -738.860791, -713.146702
0.017000, 27.315325, -740.462309, -713.146984
0.018000, 28.758282, -741.905852, -713.147570
0.019000, 30.035935, -743.181823, -713.145888
0.020000, 31.144493, -744.291421, -713.146928
0.021000, 32.082656, -745.229084, -713.146428
0.022000, 32.850872, -745.997278, -713.146406
0.023000, 33.450883, -746.596447, -713.145565
0.024000, 33.885996, -747.030237, -713.144241
0.025000, 34.161219, -747.304703, -713.143484
0.026000, 34.283098, -747.427358, -713.144259
0.027000, 34.259255, -747.403444, -713.144189
0.028000, 34.098064, -747.241075, -713.143011
0.029000, 33.808614, -746.952549, -713.143936
0.030000, 33.400449, -746.545274, -713.144826
0.031000, 32.883376, -746.029121, -713.145745
0.032000, 32.267544, -745.413743, -713.146199
0.033000, 31.563662, -744.709453, -713.145791
0.034000, 30.783165, -743.929414, -713.146249
0.035000, 29.938307, -743.083661, -713.145354
0.036000, 29.042121, -742.186791, -713.144670
0.037000, 28.108247, -741.253117, -713.144869
0.038000, 27.150650, -740.294601, -713.143951
0.039000, 26.183362, -739.326882, -713.143520
0.040000, 25.220327, -738.362671, -713.142344
0.041000, 24.275217, -737.416690, -713.141473
0.042000, 23.361134, -736.502085, -713.140950
0.043000, 22.490380, -735.632079, -713.141698
0.044000, 21.674292, -734.815627, -713.141335
0.045000, 20.923073, -734.063250, -713.140177
0.046000, 20.245629, -733.384669, -713.139040
0.047000, 19.649368, -732.785931, -713.136563
0.048000, 19.140097, -732.275825, -713.135728
0.049000, 18.721962, -731.855996, -713.134035
0.050000, 18.397453, -731.529749, -713.132296
0.051000, 18.167351, -731.300680, -713.133330
0.052000, 18.030668, -731.165226, -713.134558
0.053000, 17.984703, -731.119717, -713.135014
0.054000, 18.025157, -731.158782, -713.133625
0.055000, 18.146325, -731.279503, -713.133179
0.056000, 18.341216, -731.473564, -713.132348
0.057000, 18.601738, -731.733394, -713.131655
0.058000, 18.918914, -732.049891, -713.130977
0.059000, 19.283114, -732.412937, -713.129823
0.060000, 19.684285, -732.814814, -713.130528
0.061000, 20.112170, -733.241942, -713.129772
0.062000, 20.556454, -733.687949, -713.131494
0.063000, 21.006911, -734.138044, -713.131133
0.064000, 21.453634, -734.585895, -713.132261
0.065000, 21.887307, -735.018734, -713.131427
0.066000, 22.299314, -735.428788, -713.129474
0.067000, 22.681679, -735.810738, -713.129059
0.068000, 23.027099, -736.156204, -713.129105
0.069000, 23.329017, -736.458030, -713.129013
0.070000, 23.581699, -736.712564, -713.130864
0.071000, 23.780441, -736.911322, -713.130882
0.072000, 23.921619, -737.053323, -713.131704
0.073000, 24.002643, -737.134131, -713.131488
0.074000, 24.021987, -737.153443, -713.131457
0.075000, 23.979171, -737.110553, -713.131382
0.076000, 23.874608, -737.004641, -713.130033
0.077000, 23.709510, -736.839241, -713.129731
0.078000, 23.485953, -736.615134, -713.129181
0.079000, 23.206931, -736.333703, -713.126772
0.080000, 22.876399, -736.001052, -713.124653
0.081000, 22.499264, -735.623483, -713.124220
0.082000, 22.081356, -735.204651, -713.123295
0.083000, 21.629382, -734.752681, -713.123299
0.084000, 21.150915, -734.273356, -713.122442
0.085000, 20.654324, -733.777301, -713.122977
0.086000, 20.148601, -733.271254, -713.122653
0.087000, 19.643130, -732.765590, -713.122460
0.088000, 19.147437, -732.268446, -713.121009
0.089000, 18.671012, -731.790533, -713.119522
0.090000, 18.223135, -731.342619, -713.119484
0.091000, 17.812693, -730.932302, -713.119609
0.092000, 17.447963, -730.566434, -713.118471
0.093000, 17.136346, -730.255036, -713.118690
0.094000, 16.884141, -730.002762, -713.118621
0.095000, 16.696303, -729.814314, -713.118012
