time, local energy
0, -3.924475
1, -3.928192
2, -3.924726
4, -3.931077
5, -3.932992
6, -3.919617
8, -3.917763
9, -3.913083
10, -3.917922
11, -3.908827
12, -3.907241
14, -3.916010
15, -3.917260
16, -3.910136
17, -3.923893
19, -3.920944
20, -3.917448
21, -3.916275
22, -3.904050
23, -3.909256
24, -3.911133
25, -3.913565
28, -3.914694
29, -3.914341
32, -3.909630
33, -3.906973
34, -3.916507
35, -3.915893
37, -3.925072
39, -3.928807
40, -3.924821
41, -3.921779
42, -3.920693
43, -3.915256
44, -3.916964
45, -3.913014
46, -3.905451
47, -3.918159
48, -3.896270
49, -3.889930
50, -3.883089
51, -3.887346
53, -3.881541
54, -3.882001
55, -3.874671
56, -3.870345
58, -3.876083
60, -3.874008
61, -3.873142
62, -3.867774
63, -3.864838
65, -3.873535
66, -3.876919
67, -3.878991
68, -3.872736
69, -3.873425
71, -3.871925
72, -3.870655
73, -3.875032
74, -3.875914
75, -3.870485
76, -3.865438
77, -3.866498
78, -3.868937
79, -3.867232
80, -3.866952
81, -3.872962
82, -3.874503
83, -3.872910
84, -3.876880
85, -3.874103
86, -3.882731
89, -3.882535
91, -3.883667
94, -3.880897
95, -3.883767
96, -3.882012
97, -3.878787
98, -3.877554
99, -3.879255
100, -3.872549
101, -3.871220
102, -3.872683
103, -3.868068
104, -3.865147
105, -3.866995
106, -3.870932
108, -3.874613
109, -3.868200
110, -3.866290
112, -3.866244
113, -3.865476
114, -3.858287
118, -3.858691
119, -3.857727
120, -3.855113
121, -3.851928
122, -3.855871
125, -3.856759
126, -3.855443
127, -3.856941
128, -3.860324
129, -3.862450
130, -3.861545
131, -3.859203
133, -3.862120
134, -3.858211
135, -3.857110
136, -3.858997
137, -3.857169
138, -3.853526
139, -3.856517
140, -3.858013
142, -3.857312
143, -3.857465
145, -3.856869
146, -3.859415
147, -3.855548
151, -3.856320
152, -3.854773
154, -3.855104
156, -3.855090
157, -3.857301
158, -3.858533
159, -3.863206
160, -3.861237
161, -3.858281
162, -3.856446
164, -3.850967
165, -3.848168
168, -3.847147
171, -3.847738
172, -3.847354
173, -3.845508
174, -3.848947
175, -3.851803
176, -3.853688
177, -3.856153
178, -3.854576
180, -3.854507
181, -3.862354
182, -3.856446
183, -3.857738
184, -3.859747
185, -3.865730
186, -3.865032
188, -3.871121
189, -3.869762
190, -3.870641
194, -3.869086
195, -3.875065
196, -3.870811
197, -3.867647
198, -3.868947
199, -3.873273
200, -3.872924
201, -3.867756
202, -3.870481
204, -3.862644
205, -3.863079
206, -3.860185
207, -3.856652
209, -3.856887
213, -3.859900
214, -3.854144
215, -3.860262
217, -3.858325
218, -3.861820
219, -3.860975
220, -3.860840
221, -3.858732
222, -3.865722
223, -3.866204
224, -3.866867
225, -3.864733
226, -3.865417
228, -3.868023
229, -3.863735
230, -3.862656
232, -3.860943
233, -3.863776
234, -3.858340
235, -3.865159
236, -3.862467
237, -3.863829
240, -3.870311
241, -3.868183
242, -3.869059
243, -3.870679
244, -3.868172
246, -3.868237
247, -3.873500
248, -3.872079
249, -3.867271
250, -3.871296
252, -3.870863
253, -3.868866
254, -3.873948
255, -3.872153
256, -3.874640
257, -3.874735
258, -3.881284
259, -3.885899
261, -3.884265
262, -3.881370
263, -3.883637
264, -3.889103
265, -3.891282
266, -3.890362
268, -3.889884
269, -3.890824
270, -3.890928
273, -3.895027
274, -3.893890
275, -3.894830
276, -3.893192
277, -3.888959
279, -3.887419
282, -3.888721
283, -3.891529
284, -3.893210
285, -3.895872
287, -3.896039
289, -3.895192
290, -3.893272
291, -3.893557
292, -3.894670
294, -3.892619
295, -3.893585
296, -3.895019
297, -3.891573
298, -3.891513
299, -3.889566
300, -3.886123
301, -3.889512
302, -3.891953
304, -3.892719
305, -3.894943
306, -3.896810
307, -3.900739
308, -3.903116
309, -3.901825
310, -3.901037
312, -3.900956
314, -3.899800
315, -3.899021
316, -3.896891
317, -3.899108
318, -3.899375
320, -3.899876
321, -3.899754
322, -3.899246
